name,label,bert_pred,graph_pred,summary,description
anaconda-tui,工具,库,库, Textual user interface for the Anaconda installer, This package contains textual user interface for the Anaconda installer.
clevis-udisks2,工具,库,库, UDisks2/Storaged integration for clevis," Automatically unlocks LUKS block devices in desktop environments that
use UDisks2 or storaged (like GNOME)."
imake,工具,库,库, imake source code configuration and build system," Imake is a deprecated source code configuration and build system which
has traditionally been supplied by and used to build the X Window System
in X11R6 and previous releases.  As of the X Window System X11R7 release,
the X Window system has switched to using GNU autotools as the primary
build system, and the Imake system is now deprecated, and should not be
used by new software projects.  Software developers are encouraged to
migrate software to the GNU autotools system."
pcp-pmda-json,服务,库,库, Performance Co-Pilot (PCP) metrics for JSON data," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics output in JSON."
cockpit-machines,服务,库,库, Cockpit user interface for virtual machines," The Cockpit components for managing virtual machines.

If ""virt-install"" is installed, you can also create new virtual machines."
kacst-title-fonts,其它,库,库, Fonts for arabic from arabeyes project, This package contains title type fonts for the display of Arabic
ghostscript-tools-fonts,工具,库,库, Ghostscript's font utilities," This package provides utilities which are useful when you are working with AFM,
PFB or PFA files, mostly for conversion purposes."
sgml-common,工具,库,库,Common SGML catalog and DTD files ,"The sgml-common package contains a collection of entities and DTDs
that are useful for processing SGML, but that don't need to be
included in multiple packages.  Sgml-common also includes an
up-to-date Open Catalog file. "
perl-File-CheckTree,库,其它,库, Run many file-test checks on a tree," File::CheckTree::validate() routine takes a single multi-line string
consisting of directives, each containing a file name plus a file test to try
on it. (The file test may also be a ""cd"", causing subsequent relative file
names to be interpreted relative to that directory.) After the file test you
may put || die to make it a fatal error if the file test fails. The default is
|| warn.  The file test may optionally have a ""!' prepended to test for the
opposite condition. If you do a cd and then list some relative file names, you
may want to indent them slightly for readability. If you supply your own die()
or warn() message, you can use $file to interpolate the file name."
bpg-algeti-fonts,其它,库,库, Algeti Family of BPG Georgian Fonts," BPG Fonts are a set of GPL licensed Georgian Unicode fonts.

This package contains the Algeti font family."
texlive-collection-latexrecommended,工具,库,库, LaTeX recommended packages," A collection of recommended add-on packages for LaTeX which
have widespread use."
gfs2-utils,工具,库,库,Utilities for managing the global file system (GFS2) ,"The gfs2-utils package contains a number of utilities for creating, checking,
modifying, and correcting inconsistencies in GFS2 file systems. "
grub2-tools-extra,工具,库,库, Support tools for GRUB.," 
The GRand Unified Bootloader (GRUB) is a highly configurable and
customizable bootloader with modular architecture.  It supports a rich
variety of kernel formats, file systems, computer architectures and
hardware devices.

This subpackage provides tools for support of all platforms."
emacs-filesystem,工具,库,库,Emacs filesystem layout ,"This package provides some directories which are required by other
packages that add functionality to Emacs. "
tesseract-langpack-kat_old,工具,库,库, Georgian (Old) language data for tesseract-tessdata," This package contains the fast integer version of the Georgian (Old) language
trained models for the Tesseract Open Source OCR Engine."
brltty-docs,服务,库,库, Documentation for BRLTTY, This package provides the documentation for BRLTTY.
kernel-abi-stablelists,其它,库,库,The Red Hat Enterprise Linux kernel ABI symbol stablelists ,"The kABI package contains information pertaining to the Red Hat Enterprise
Linux kernel ABI, including lists of kernel symbols that are needed by
external Linux kernel modules, and a yum plugin to aid enforcement. "
evolution-data-server,工具,库,库, Backend data server for Evolution," The evolution-data-server package provides a unified backend for programs that work
with contacts, tasks, and calendar information.

It was originally developed for Evolution (hence the name), but is now used
by other packages."
WALinuxAgent,服务,库,库, Microsoft Azure Linux Agent," The Azure Linux Agent supports the provisioning and running of Linux
VMs in the Azure cloud. This package should be installed on Linux disk
images that are built to run in the Azure environment."
texlive-ms,工具,库,库, Various LaTeX packages by Martin Schroder," A bundle of LaTeX packages by Martin Schroder; the collection
comprises: - count1to, make use of fixed TeX counters; -
everysel, set commands to execute every time a font is
selected; - everyshi, set commands to execute whenever a page
is shipped out; - multitoc, typeset the table of contents in
multiple columns; - prelim2e, mark typeset pages as
preliminary; and - ragged2e, typeset ragged text and allow
hyphenation."
tesseract-langpack-nep,工具,库,库, Nepali language data for tesseract-tessdata," This package contains the fast integer version of the Nepali language
trained models for the Tesseract Open Source OCR Engine."
maven-wagon-http-shared,工具,库,库, http-shared module for maven-wagon, http-shared module for maven-wagon.
google-noto-sans-yi-fonts,其它,库,库, Sans Yi font," Noto fonts aims to remove tofu from web by providing fonts for all
Unicode supported scripts. Its design goal is to achieve visual harmonization
between multiple scripts. Noto family supports almost all scripts available
in Unicode.

Noto Sans font for Yi."
osbuild-ostree,工具,库,库, OSTree support," Contains the necessary stages, assembler and source
to build OSTree based images."
