keyword,class,num_lib,num_tool,num_service,num_other
library,库,1306,171,53,5
interface,库,322,110,51,5
api,库,67,13,23,0
static,库,84,4,5,0
runtime,库,159,42,15,0
dynamic,库,62,34,18,0
java,库,281,33,3,2
python,库,357,49,7,0
encode,库,51,19,0,2
daemon,服务,20,27,111,0
task,服务,48,24,4,0
network,服务,84,70,82,9
request,服务,38,7,10,0
monitor,服务,20,26,31,0
container,服务,35,18,16,1
virtualize,服务,1,3,5,0
authentic,服务,35,19,25,0
service,服务,70,49,73,3
tool,工具,256,405,62,2
util,工具,149,299,38,13
utility,工具,111,246,34,0
command,工具,102,193,20,0
graphical,工具,18,37,7,0
processor,工具,17,20,1,0
gnu,工具,11,8,1,0
compile,工具,128,70,4,1
debug,工具,96,55,2,3
font,其它,16,118,5,326
