,,应用工具,a52dec,"
liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3","
A free ATSC A/52 stream decoder, also known as AC-3 or AC3.",,,,,,,,,,,
,,字体,aajohan-comfortaa-fonts,"
Comfortaa is a sans-serif font comfortable in every aspect with
Bold, Regular, and Thin variants.
It has very good European language coverage and decent Cyrillic coverage.","
Modern style true type font.",,,,,,,,,,,
,,字体,abattis-cantarell-fonts,,,"
Cantarell is a set of fonts designed by Dave Crossland.
It is a sans-serif humanist typeface family.","
Cantarell, a Humanist sans-serif font family.",,,,,,,,,
,,应用工具,abrt,"
New generation command line interface for ABRT
A small script which prints a count of detected problems when someone logs in
to the shell
Virtual package to install all necessary packages for usage from desktop
environment.
This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events.
This package contains a configuration snippet to enable automatic generation
of sosreports for abrt events.
This package contains python 3 hook and handling uncaught exception in python 3
programs in container.","
abrt's improved command line interface.
ABRT console notification script.
Virtual package to make easy default installation on desktop environments.
abrt's plugin to generate machine_id based off dmidecode.
abrt's plugin for building automatic sosreports.
abrt's container addon for catching Python 3 exceptions.","
abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality.
This package contains abrt's C/C++ analyzer plugin.
This package contains hook for C/C++ crashed programs.
This package contains plugin for collecting kernel crash information from
system log.
This package contains plugin for collecting kernel oopses from pstore storage.
This package contains plugin for collecting kernel crash information from
vmcore files.
This package contains plugin for collecting Xorg crash information from Xorg
log.
Virtual package to install all necessary packages for usage from command line
environment.
ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data.
GTK+ wizard for convenient bug reporting.
Libraries for abrt-gui.
Libraries for abrt.
This package contains a simple command line client for processing abrt reports
in command line environment.
High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3.
This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs.","
Automatic bug detection and reporting tool.
abrt's C/C++ addon.
abrt's /proc/sys/kernel/core_pattern helper.
abrt's kerneloops addon.
abrt's pstore oops addon.
abrt's vmcore addon.
abrt's Xorg addon.
Virtual package to make easy default installation on non-graphical environments.
ABRT DBus service.
abrt's gui.
Libraries for abrt-gui.
Libraries for abrt.
abrt's command line interface.
ABRT Python 3 API.
abrt's addon for catching and analyzing Python 3 exceptions.",,,,,,,,,
,,系统库,abrt-java-connector,"
JNI library providing an agent capable to process both caught and uncaught
exceptions and transform them to ABRT problems","
JNI Agent library converting Java exceptions to ABRT problems.",,,,,,,,,,,
,,应用工具,accel-config,"
Utility library for configuring the accelerator subsystem.
Libraries for accel-config.","
Configure accelerator subsystem devices.
Configuration library for accelerator subsystem devices.",,,,,,,,,,,
,,应用库,accountsservice,"
The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon.","
Client-side library to talk to accountsservice.","
The accountsservice project provides a set of D-Bus interfaces for
querying and manipulating user account information and an implementation
of these interfaces, based on the useradd, usermod and userdel commands.","
D-Bus interfaces for querying and manipulating user account information.",,,,,,,,,
,,核心工具,acl,,,"
This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.
This package contains the libacl.so dynamic library which contains
the POSIX 1003.1e draft standard 17 functions for manipulating access
control lists.","
Access control list utilities.
Dynamic library for access control list support.",,,,,,,,,
,,系统工具,acpica-tools,"
The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license.","
ACPICA tools for the development and debug of ACPI tables.",,,,,,,,,,,
,,系统服务,acpid,"
acpid is a daemon that dispatches ACPI events to user-space programs.","
ACPI Event Daemon.",,,,,,,,,,,
,,应用工具,adcli,"
adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls.","
Active Directory enrollment.",,,,,,,,,,,
,,应用工具,adobe-mappings-cmap,,,"
CMap (Character Map) resources are used to unidirectionally map character codes,
such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a
CIDFont resource.

These CMap resources are useful for some applications (e.g. Ghostscript) to
correctly display text containing Japanese, (Traditional) Chinese, or Korean
characters.
This sub-package contains currently deprecated CMap resources that some
applications might still require to function properly.","
CMap resources for Adobe's character collections.
Deprecated CMap resources for Adobe's character collections.",,,,,,,,,
,,应用工具,adobe-mappings-pdf,,,"
Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly.","
PDF mapping resources from Adobe.",,,,,,,,,
,,桌面,adwaita-icon-theme,,,"
The adwaita-cursor-theme package contains a modern set of cursors originally
designed for the GNOME desktop.
This package contains the Adwaita icon theme used by the GNOME desktop.","
Adwaita cursor theme.
Adwaita icon theme.",,,,,,,,,
,,应用库,adwaita-qt,"
Adwaita theme variant for applications utilizing Qt5.
Adwaita Qt5 library.","
Adwaita Qt5 theme.
Adwaita Qt5 library.",,,,,,,,,,,
,,应用工具,aide,"
AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program.","
Intrusion detection environment.",,,,,,,,,,,
,,系统服务,alsa-firmware,,,"
This package contains the firmware binaries for a number of sound cards.
Some (but not all of these) require firmware loaders which are included in
the alsa-tools-firmware package.","
Firmware for several ALSA-supported sound cards.",,,,,,,,,
,,系统库,alsa-lib,"
The Advanced Linux Sound Architecture (ALSA) Universal Configuration
Manager allows configuration of Audio input/output names and routing","
ALSA Use Case Manager configuration.","
The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs.","
The Advanced Linux Sound Architecture (ALSA) library.",,,,,,,,,
,,系统工具,alsa-plugins,"
This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device.
This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes.
This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss"".
This plugin allows any program that uses the ALSA API to access a PulseAudio
sound daemon. In other words, native ALSA applications can play and record
sound across a network. There are two plugins in the suite, one for PCM and
one for mixer control.
This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo.
The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API.
The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option.
The usbstream plugin is for snd-usb-us122l driver. It converts PCM
stream to USB specific stream.
The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround"".","
Arcam AV amplifier plugin for ALSA.
Maemo plugin for ALSA.
Oss PCM output plugin for ALSA.
Alsa to PulseAudio backend.
External rate converter plugin for ALSA.
Rate Converter Plugin Using Speex Resampler.
Upmixer channel expander plugin for ALSA.
USB stream plugin for ALSA.
Downmixer to stereo plugin for ALSA.",,,,,,,,,,,
,,系统服务,alsa-sof-firmware,"
This package contains the debug files for the Sound Open Firmware project.","
Debug files for Sound Open Firmware project.","
This package contains the firmware binaries for the Sound Open Firmware project.","
Firmware and topology files for Sound Open Firmware project.",,,,,,,,,
,,系统工具,alsa-tools,,,"
This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards","
ALSA tools for uploading firmware to some soundcards.",,,,,,,,,
,,系统工具,alsa-utils,"
This package contains tool for basic audio testing using Advanced Linux Sound
Architecture (ALSA) framework and Fast Fourier Transform library.","
Advanced Linux Sound Architecture (ALSA) - Basic Audio Tester.","
This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA).","
Advanced Linux Sound Architecture (ALSA) utilities.",,,,,,,,,
,,应用工具,amanda,"
The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine.
This package contains basic Amanda libraries, which are used by all
Amanda programs.
The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed.","
The client component of the AMANDA tape backup system.
Amanda libraries.
The server side of the AMANDA tape backup system.","
AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well.","
A network-capable tape backup solution.",,,,,,,,,
,,系统工具,anaconda,"
The 'anaconda' dracut module handles installer-specific boot tasks and
options. This includes driver disks, kickstarts, and finding the anaconda
runtime on NFS/HTTP/FTP servers or local disks.","
The anaconda dracut module.","
The anaconda package is a metapackage for the Anaconda installer.
The anaconda-core package contains the program which was used to install your
system.
This package contains graphical user interface for the Anaconda installer.
The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well.
This package contains textual user interface for the Anaconda installer.
This package contains a set of custom GTK+ widgets used by the anaconda installer.","
Graphical system installer.
Core of the Anaconda installer.
Graphical user interface for the Anaconda installer.
Installation environment specific dependencies.
Textual user interface for the Anaconda installer.
A set of custom GTK+ widgets for use with anaconda.",,,,,,,,,
,,系统工具,anaconda-user-help,,,"
This package provides content for the Anaconda built-in help system.","
Content for the Anaconda built-in help system.",,,,,,,,,
,,应用工具,annobin,"
Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package.
Installs the annocheck program which uses the notes generated by annobin to
check that the specified files were compiled with the correct security
hardening options.","
Annotate and examine compiled binary files.
A tool for checking the security hardening status of binaries.",,,,,,,,,,,
,,基础环境,anolis-indexhtml,"
The anolis-indexhtml package provides a welcome page shown by a web browser
after successful installation of Anolis OS.

This web page advises users on how to register their Anolis OS software and how
to get any support they might need.","
Browser default start page for Anolis OS.",,,,,,,,,,,
,,基础环境,anolis-logos,"
Licensed only for approved usage, see COPYING for details.
Licensed only for approved usage, see COPYING for details.","
Anolis OS related icons and pictures.
Anolis OS related icons and pictures used by httpd.",,,,,,,,,,,
,,基础环境,anolis-rawhide-release,"
This package contains the EPAO Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.
This package contains the Experimental Packages for Anolis OS 8 repository
GPG key as well as configuration for yum.","
EPAO Packages for Anolis OS 8 repository configuration.
Experimental Packages for Anolis OS 8 repository configuration.",,,,,,,,,,,
,,基础环境,anolis-release,"
Anolis OS 8 release files","
Anolis OS 8 release file.","
Anolis OS RPM signature keys
Anolis OS package repository files for yum and dnf","
Anolis OS RPM keys.
Anolis OS package repositories.",,,,,,,,,
,,应用工具,ansible-collection-microsoft-sql,"
This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9.","
The Ansible collection for Microsoft SQL Server management.",,,,,,,,,,,
,,应用工具,ansible-core,,,"
Ansible is a radically simple model-driven configuration management,
multi-node deployment, and remote task execution system. Ansible works
over SSH and does not require any software or daemons to be installed
on remote nodes. Extension modules can be written in any language and
are transferred to managed machines automatically.","
SSH-based configuration management, deployment, and task execution system.",,,,,,,,,
,,应用工具,ansible-freeipa,,,"
Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas
and clients. Also modules management.

Note: The Ansible playbooks and roles require a configured Ansible environment
where the Ansible nodes are reachable and are properly set up to have an IP
address and a working package manager.

Features

- Server, replica and client deployment
- Cluster deployments: Server, replicas and clients in one playbook
- One-time-password (OTP) support for client installation
- Repair mode for clients
- Backup and restore, also to and from controller
- Modules for automembership rule management
- Modules for automount key management
- Modules for automount location management
- Modules for automount map management
- Modules for config management
- Modules for delegation management
- Modules for dns config management
- Modules for dns forwarder management
- Modules for dns record management
- Modules for dns zone management
- Modules for group management
- Modules for hbacrule management
- Modules for hbacsvc management
- Modules for hbacsvcgroup management
- Modules for host management
- Modules for hostgroup management
- Modules for location management
- Modules for permission management
- Modules for privilege management
- Modules for pwpolicy management
- Modules for role management
- Modules for self service management
- Modules for server management
- Modules for service management
- Modules for sudocmd management
- Modules for sudocmdgroup management
- Modules for sudorule management
- Modules for topology management
- Modules for trust management
- Modules for user management
- Modules for vault management

Supported FreeIPA Versions

FreeIPA versions 4.6 and up are supported by all roles.

The client role supports versions 4.4 and up, the server role is working with
versions 4.5 and up, the replica role is currently only working with versions
4.6 and up.

Supported Distributions

- RHEL/CentOS 7.4+
- Fedora 26+
- Ubuntu
- Debian 10+ (ipaclient only, no server or replica!)

Requirements

  Controller
  - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)
  - /usr/bin/kinit is required on the controller if a one time password (OTP)
    is used

  Node
  - Supported FreeIPA version (see above)
  - Supported distribution (needed for package installation only, see above)

Limitations

External signed CA is now supported. But the currently needed two step process
is an issue for the processing in a simple playbook.
Work is planned to have a new method to handle CSR for external signed CAs in
a separate step before starting the server installation.","
Roles and playbooks to deploy FreeIPA servers, replicas and clients.",,,,,,,,,
,,应用工具,ansible-pcp,"
A collection containing roles for Performance Co-Pilot (PCP) and related
software such as Redis and Grafana.  The collection is made up of several
Ansible roles, including:

redhat.rhel_metrics.pcp
A role for core PCP capabilities, configuring live performance analysis
with a large base set of metrics from the kernel and system services, as
well as data recording and rule inference.

redhat.rhel_metrics.redis
A role for configuring a local Redis server, suitable for use with a
Performance Co-Pilot archive repository (for single or many hosts) and
fast, scalable querying of metrics.

redhat.rhel_metrics.grafana
A role for configuring a local Grafana server, providing web frontend
visuals for Performance Co-Pilot metrics, both live and historically.
Data sources for Vector (live), Redis (historical) and interactive
bpftrace (eBPF) scripts can be configured by this role.  The PCP REST
API service (from the core pcp role) should be configured in order to
use this role.

redhat.rhel_metrics.bpftrace
A role that extends the core PCP role, providing metrics from bpftrace
scripts using Linux eBPF facilities.  Configuring authentication of a
local user capable of running bpftrace scripts via the PCP agent is a
key task of this role.

redhat.rhel_metrics.elasticsearch
A role that extends the core PCP role, providing metrics from a live
ElasticSearch instance for PCP analysis or exporting of PCP metric
values (and metadata) to ElasticSearch for the indexing and querying
of performance data.","
Ansible Metric collection for Performance Co-Pilot.",,,,,,,,,,,
,,应用库,aom,"
The Alliance for Open Media’s focus is to deliver a next-generation
video format that is:

 - Interoperable and open;
 - Optimized for the Internet;
 - Scalable to any modern device at any bandwidth;
 - Designed with a low computational footprint and optimized for hardware;
 - Capable of consistent, highest-quality, real-time video delivery; and
 - Flexible for both commercial and non-commercial content, including
   user-generated content.

This package contains the reference encoder and decoder.
Library files for aom, the royalty-free next-generation
video format.","
Royalty-free next-generation video format.
Library files for aom.",,,,,,,,,,,
,,应用库,appstream-data,,,"
This package provides the distribution specific AppStream metadata required
for the GNOME and KDE software centers.","
Cached AppStream metadata.",,,,,,,,,
,,应用库,apr,,,"
The mission of the Apache Portable Runtime (APR) is to provide a
free library of C data structures and routines, forming a system
portability layer to as many operating systems as possible,
including Unices, MS Win32, BeOS and OS/2.","
Apache Portable Runtime library.",,,,,,,,,
,,应用工具,apr-util,"
The mission of the Apache Portable Runtime (APR) is to provide a
free library of C data structures and routines.  This library
contains additional utility interfaces for APR; including support
for XML, LDAP, database interfaces, URI parsing and more.
This package provides the Berkeley DB driver for the apr-util
DBM (database abstraction) interface.
This package provides the MySQL driver for the apr-util DBD
(database abstraction) interface.
This package provides the ODBC driver for the apr-util DBD
(database abstraction) interface.
This package provides the OpenSSL crypto support for the apr-util.
This package provides the PostgreSQL driver for the apr-util
DBD (database abstraction) interface.
This package provides the SQLite driver for the apr-util DBD
(database abstraction) interface.","
Apache Portable Runtime Utility library.
APR utility library Berkeley DB driver.
APR utility library MySQL DBD driver.
APR utility library ODBC DBD driver.
APR utility library OpenSSL crypto support.
APR utility library PostgreSQL DBD driver.
APR utility library SQLite DBD driver.","
This package provides the LDAP support for the apr-util.","
APR utility library LDAP support.",,,,,,,,,
,,应用工具,arpwatch,"
The arpwatch package contains arpwatch and arpsnmp.  Arpwatch and
arpsnmp are both network monitoring tools.  Both utilities monitor
Ethernet or FDDI network traffic and build databases of Ethernet/IP
address pairs, and can report certain changes via email.

Install the arpwatch package if you need networking monitoring devices
which will automatically keep track of the IP addresses on your
network.","
Network monitoring tools for tracking IP addresses on a network.",,,,,,,,,,,
,,应用工具,asciidoc,"
AsciiDoc is a text document format for writing short documents,
articles, books and UNIX man pages. AsciiDoc files can be translated
to HTML and DocBook markups using the asciidoc(1) command.","
Text based document generation.",,,,,,,,,,,
,,应用工具,aspell,,,"
GNU Aspell is a spell checker designed to eventually replace Ispell. It can
either be used as a library or as an independent spell checker. Its main
feature is that it does a much better job of coming up with possible
suggestions than just about any other spell checker out there for the
English language, including Ispell and Microsoft Word. It also has many
other technical enhancements over Ispell such as using shared memory for
dictionaries and intelligently handling personal dictionaries when more
than one Aspell process is open at once.","
Spell checker.",,,,,,,,,
,,应用工具,aspell-en,"
Provides the word list/dictionaries for the following: English, Canadian
English, British English","
English dictionaries for Aspell.",,,,,,,,,,,
,,系统工具,at,"
At and batch read commands from standard input or from a specified
file. At allows you to specify that a command will be run at a
particular time. Batch will execute commands when the system load
levels drop to a particular level. Both commands use user's shell.

You should install the at package if you need a utility for
time-oriented job control. Note: If it is a recurring job that will
need to be repeated at the same time every day/week, etc. you should
use crontab instead.","
Job spooling tools.",,,,,,,,,,,
,,系统库,atk,,,"
The ATK library provides a set of interfaces for adding accessibility
support to applications and graphical user interface toolkits. By
supporting the ATK interfaces, an application or toolkit can be used
with tools such as screen readers, magnifiers, and alternative input
devices.","
Interfaces for accessibility support.",,,,,,,,,
,,系统库,atkmm,"
atkmm provides a C++ interface for the ATK library. Highlights
include typesafe callbacks, widgets extensible via inheritance and a
comprehensive set of widget classes that can be freely combined to
quickly create complex user interfaces.","
C++ interface for the ATK library.",,,,,,,,,,,
,,系统工具,atlas,,,"
The ATLAS (Automatically Tuned Linear Algebra Software) project is an
ongoing research effort f(ocusing on applying empirical techniques in
order to provide portable performance. At present, it provides C and
Fortran77 interfaces to a portably efficient BLAS implementation, as
well as a few routines from LAPACK.

The performance improvements in ATLAS are obtained largely via
compile-time optimizations and tend to be specific to a given hardware
configuration. In order to package ATLAS some compromises
are necessary so that good performance can be obtained on a variety
of hardware. This set of ATLAS binary packages is therefore not
necessarily optimal for any specific hardware configuration.  However,
the source package can be used to compile customized ATLAS packages;
see the documentation for information.
This package contains the ATLAS (Automatically Tuned Linear Algebra
Software) libraries compiled with optimizations for the Corei2 (Ivy/Sandy bridge)
CPUs. The base ATLAS builds for the x86_64 architecture are made for the hammer64 CPUs.","
Automatically Tuned Linear Algebra Software.
ATLAS libraries for Corei2 (Ivy/Sandy bridge) CPUs.",,,,,,,,,
,应用工具,系统工具,at-spi2-atk,"
at-spi allows assistive technologies to access GTK-based
applications. Essentially it exposes the internals of applications for
automation, so tools such as screen readers, magnifiers, or even
scripting interfaces can query and interact with GUI controls.

This version of at-spi is a major break from previous versions.
It has been completely rewritten to use D-Bus rather than
ORBIT / CORBA for its transport protocol.

This package includes a gtk-module that bridges ATK to the new
D-Bus based at-spi.","
A GTK+ module that bridges ATK to D-Bus at-spi.",,,,,,,,,,,
