src_name,zero_description,zero_summary,description,summary,primary_rpm_name,primary_description,primary_summary,rpm_name
ModemManager,,,,,,,,
NetworkManager,,,,,,,,
OpenIPMI,,,,,,,,
aajohan-comfortaa-fonts,,,"Comfortaa is a sans-serif font comfortable in every aspect with
Bold, Regular, and Thin variants.
It has very good European language coverage and decent Cyrillic coverage.
","Modern style true type font
",aajohan-comfortaa-fonts,"Comfortaa is a sans-serif font comfortable in every aspect with
Bold, Regular, and Thin variants.
It has very good European language coverage and decent Cyrillic coverage.",Modern style true type font,"aajohan-comfortaa-fonts
"
accel-config,,,,,,,,
acl,,,"This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.
This package contains the libacl.so dynamic library which contains
the POSIX 1003.1e draft standard 17 functions for manipulating access
control lists.
","Access control list utilities
Dynamic library for access control list support
",acl,"This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.",Access control list utilities,"libacl
"
acpica-tools,,,"The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license.
","ACPICA tools for the development and debug of ACPI tables
",acpica-tools,"The ACPI Component Architecture (ACPICA) project provides an OS-independent
reference implementation of the Advanced Configuration and Power Interface
Specification (ACPI).  ACPICA code contains those portions of ACPI meant to
be directly integrated into the host OS as a kernel-resident subsystem, and
a small set of tools to assist in developing and debugging ACPI tables.

This package contains only the user-space tools needed for ACPI table
development, not the kernel implementation of ACPI.  The following commands
are installed:
   -- iasl: compiles ASL (ACPI Source Language) into AML (ACPI Machine
      Language), suitable for inclusion as a DSDT in system firmware.
      It also can disassemble AML, for debugging purposes.
   -- acpibin: performs basic operations on binary AML files (e.g.,
      comparison, data extraction)
   -- acpidump: write out the current contents of ACPI tables
   -- acpiexec: simulate AML execution in order to debug method definitions
   -- acpihelp: display help messages describing ASL keywords and op-codes
   -- acpinames: display complete ACPI name space from input AML
   -- acpisrc: manipulate the ACPICA source tree and format source files
      for specific environments
   -- acpixtract: extract binary ACPI tables from acpidump output (see
      also the pmtools package)

This version of the tools is being released under GPLv2 license.",ACPICA tools for the development and debug of ACPI tables,"acpica-tools
"
adcli,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls.
","Active Directory enrollment
",,,adcli,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls.",Active Directory enrollment,"adcli
"
alsa-sof-firmware,"This package contains the debug files for the Sound Open Firmware project.
This package contains the firmware binaries for the Sound Open Firmware project.
","Debug files for Sound Open Firmware project
Firmware and topology files for Sound Open Firmware project
",,,alsa-sof-firmware,This package contains the firmware binaries for the Sound Open Firmware project.,Firmware and topology files for Sound Open Firmware project,"alsa-sof-firmware-debug
alsa-sof-firmware
"
anolis-release,,,"Anolis OS package repository files for yum and dnf
Anolis OS 8 release files
Anolis OS RPM signature keys
","Anolis OS package repositories
Anolis OS 8 release file
Anolis OS RPM keys
",anolis-release,Anolis OS 8 release files,Anolis OS 8 release file,"anolis-repos
anolis-release
anolis-gpg-keys
"
