rpm_name,zero_description,zero_summary,description,summary,src_name,分层分类
389-ds-base-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02,,,"389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration.",389 Directory Server (base),389-ds-base-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02.src.rpm,系统工具
389-ds-base-legacy-tools-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02,,,"Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools.",Legacy utilities for 389 Directory Server,389-ds-base-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02.src.rpm,系统工具
389-ds-base-libs-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02,,,"Core libraries for the 389 Directory Server base package.  These libraries
are used by the main package and the -devel package.  This allows the -devel
package to be installed with just the -libs package and without the main package.",Core libraries for 389 Directory Server,389-ds-base-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02.src.rpm,系统库
389-ds-base-snmp-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02,,,SNMP Agent for the 389 Directory Server base package.,SNMP Agent for 389 Directory Server,389-ds-base-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02.src.rpm,系统工具
python3-lib389-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02,,,"This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server.","A library for accessing, testing, and configuring the 389 Directory Server",389-ds-base-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02.src.rpm,系统库
389-ds-base-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5,,,"389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration.",389 Directory Server (base),389-ds-base-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5.src.rpm,系统工具
389-ds-base-legacy-tools-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5,,,"Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools.",Legacy utilities for 389 Directory Server,389-ds-base-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5.src.rpm,系统工具
389-ds-base-libs-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5,,,"Core libraries for the 389 Directory Server base package.  These libraries
are used by the main package and the -devel package.  This allows the -devel
package to be installed with just the -libs package and without the main package.",Core libraries for 389 Directory Server,389-ds-base-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5.src.rpm,系统库
389-ds-base-snmp-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5,,,SNMP Agent for the 389 Directory Server base package.,SNMP Agent for 389 Directory Server,389-ds-base-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5.src.rpm,系统工具
python3-lib389-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5,,,"This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server.","A library for accessing, testing, and configuring the 389 Directory Server",389-ds-base-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5.src.rpm,系统库
