src_name,zero_description,zero_summary,description,summary,primary_rpm_name,primary_description,primary_summary,rpm_name,分层分类
389-ds-base-1.4.3.28-6.0.1.module+an8.6.0+10687+7e442c02.src.rpm,,,"Core libraries for the 389 Directory Server base package.  These libraries
are used by the main package and the -devel package.  This allows the -devel
package to be installed with just the -libs package and without the main package.
389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration.
Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools.
SNMP Agent for the 389 Directory Server base package.
This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server.
","Core libraries for 389 Directory Server
389 Directory Server (base)
Legacy utilities for 389 Directory Server
SNMP Agent for 389 Directory Server
A library for accessing, testing, and configuring the 389 Directory Server
",389-ds-base,"389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration.",389 Directory Server (base),"389-ds-base-libs
389-ds-base-legacy-tools
389-ds-base-snmp
python3-lib389
",系统工具
389-ds-base-1.4.3.28-7.0.1.module+an8.6.0+10824+c021c8e5.src.rpm,,,"Core libraries for the 389 Directory Server base package.  These libraries
are used by the main package and the -devel package.  This allows the -devel
package to be installed with just the -libs package and without the main package.
389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration.
Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools.
SNMP Agent for the 389 Directory Server base package.
This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server.
","Core libraries for 389 Directory Server
389 Directory Server (base)
Legacy utilities for 389 Directory Server
SNMP Agent for 389 Directory Server
A library for accessing, testing, and configuring the 389 Directory Server
",389-ds-base,"389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration.",389 Directory Server (base),"389-ds-base-libs
389-ds-base-legacy-tools
389-ds-base-snmp
python3-lib389
",系统工具
a52dec-0.7.4-32.el8.src.rpm,,,"liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3
","A free ATSC A/52 stream decoder, also known as AC-3 or AC3
","liba52
","liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3
","A free ATSC A/52 stream decoder, also known as AC-3 or AC3
","liba52
",应用工具
aajohan-comfortaa-fonts-3.001-2.el8.src.rpm,,,"Comfortaa is a sans-serif font comfortable in every aspect with
Bold, Regular, and Thin variants.
It has very good European language coverage and decent Cyrillic coverage.
","Modern style true type font
",aajohan-comfortaa-fonts,"Comfortaa is a sans-serif font comfortable in every aspect with
Bold, Regular, and Thin variants.
It has very good European language coverage and decent Cyrillic coverage.",Modern style true type font,"aajohan-comfortaa-fonts
",字体
abattis-cantarell-fonts-0.0.25-6.an8.src.rpm,,,"Cantarell is a set of fonts designed by Dave Crossland.
It is a sans-serif humanist typeface family.
","Cantarell, a Humanist sans-serif font family
",abattis-cantarell-fonts,"Cantarell is a set of fonts designed by Dave Crossland.
It is a sans-serif humanist typeface family.","Cantarell, a Humanist sans-serif font family","abattis-cantarell-fonts
",字体
abrt-2.10.9-21.0.3.an8.src.rpm,,,"This package contains plugin for collecting kernel crash information from
system log.
This package contains abrt's C/C++ analyzer plugin.
High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3.
This package contains python 3 hook and handling uncaught exception in python 3
programs in container.
New generation command line interface for ABRT
Libraries for abrt-gui.
Virtual package to install all necessary packages for usage from desktop
environment.
A small script which prints a count of detected problems when someone logs in
to the shell
This package contains plugin for collecting kernel oopses from pstore storage.
This package contains plugin for collecting kernel crash information from
vmcore files.
GTK+ wizard for convenient bug reporting.
This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs.
ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data.
This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events.
abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality.
This package contains plugin for collecting Xorg crash information from Xorg
log.
This package contains a simple command line client for processing abrt reports
in command line environment.
This package contains a configuration snippet to enable automatic generation
of sosreports for abrt events.
Libraries for abrt.
Virtual package to install all necessary packages for usage from command line
environment.
This package contains hook for C/C++ crashed programs.
","abrt's kerneloops addon
abrt's C/C++ addon
ABRT Python 3 API
abrt's container addon for catching Python 3 exceptions
abrt's improved command line interface
Libraries for abrt-gui
Virtual package to make easy default installation on desktop environments
ABRT console notification script
abrt's pstore oops addon
abrt's vmcore addon
abrt's gui
abrt's addon for catching and analyzing Python 3 exceptions
ABRT DBus service
abrt's plugin to generate machine_id based off dmidecode
Automatic bug detection and reporting tool
abrt's Xorg addon
abrt's command line interface
abrt's plugin for building automatic sosreports
Libraries for abrt
Virtual package to make easy default installation on non-graphical environments
abrt's /proc/sys/kernel/core_pattern helper
",abrt,"abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality.",Automatic bug detection and reporting tool,"abrt-addon-kerneloops
abrt-addon-ccpp
python3-abrt-container-addon
abrt-cli-ng
abrt-gui-libs
abrt-desktop
abrt-console-notification
abrt-addon-pstoreoops
abrt-addon-vmcore
abrt-gui
python3-abrt-addon
abrt-dbus
abrt-plugin-machine-id
abrt-addon-xorg
abrt-tui
abrt-plugin-sosreport
abrt-libs
abrt-cli
abrt-addon-coredump-helper
",应用工具
abrt-java-connector-1.1.0-16.0.1.an8.src.rpm,,,"JNI library providing an agent capable to process both caught and uncaught
exceptions and transform them to ABRT problems
","JNI Agent library converting Java exceptions to ABRT problems
",abrt-java-connector,"JNI library providing an agent capable to process both caught and uncaught
exceptions and transform them to ABRT problems",JNI Agent library converting Java exceptions to ABRT problems,"abrt-java-connector
",应用库
accel-config-3.4.2-1.an8.src.rpm,,,"Libraries for accel-config.
Utility library for configuring the accelerator subsystem.
","Configuration library for accelerator subsystem devices
Configure accelerator subsystem devices
",accel-config,Utility library for configuring the accelerator subsystem.,Configure accelerator subsystem devices,"accel-config-libs
accel-config
",应用库
accountsservice-0.6.55-4.an8.src.rpm,,,"The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon.
The accountsservice project provides a set of D-Bus interfaces for
querying and manipulating user account information and an implementation
of these interfaces, based on the useradd, usermod and userdel commands.
","Client-side library to talk to accountsservice
D-Bus interfaces for querying and manipulating user account information
",accountsservice,"The accountsservice project provides a set of D-Bus interfaces for
querying and manipulating user account information and an implementation
of these interfaces, based on the useradd, usermod and userdel commands.",D-Bus interfaces for querying and manipulating user account information,"accountsservice-libs
accountsservice
",应用服务
acl-2.2.53-1.el8.src.rpm,,,"This package contains the libacl.so dynamic library which contains
the POSIX 1003.1e draft standard 17 functions for manipulating access
control lists.
This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.
","Dynamic library for access control list support
Access control list utilities
",acl,"This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.",Access control list utilities,"libacl
acl
",核心库
