idx,name,y_true,y_predict
0,GConf2,库,工具
1,GeoIP,库,库
2,GeoIP-GeoLite-data,库,库
3,HdrHistogram_c,工具,工具
4,Judy,库,库
5,LibRaw,库,工具
6,ModemManager,工具,工具
7,NetworkManager,服务,库
8,NetworkManager-libreswan,库,库
9,OpenEXR,库,工具
10,OpenIPMI,库,工具
11,PackageKit,库,工具
12,PyYAML,编程语言,工具
13,SDL,库,库
14,WALinuxAgent,服务,工具
15,Xaw3d,工具,工具
16,a52dec,工具,库
17,aajohan-comfortaa-fonts,其它,其它
18,abattis-cantarell-fonts,其它,其它
19,abrt,工具,工具
20,abrt-java-connector,库,编程语言
21,accel-config,工具,工具
22,accountsservice,库,工具
23,acl,工具,工具
24,acpica-tools,工具,工具
25,acpid,服务,工具
26,adcli,工具,工具
27,adobe-mappings-cmap,工具,库
28,adobe-mappings-pdf,工具,工具
29,adwaita-icon-theme,其它,其它
30,adwaita-qt,库,库
31,alsa-firmware,服务,工具
32,alsa-lib,库,工具
33,alsa-plugins,工具,工具
34,alsa-sof-firmware,服务,工具
35,alsa-tools,工具,工具
36,alsa-utils,工具,工具
37,amanda,工具,工具
38,anaconda,工具,工具
39,anaconda-user-help,工具,工具
40,anolis-logos,服务,库
41,anolis-release,服务,编程语言
42,ansible-core,工具,工具
43,ansible-freeipa,工具,工具
44,ant,工具,工具
45,aom,库,库
46,apache-commons-cli,库,编程语言
47,apache-commons-codec,库,库
48,apache-commons-collections,库,库
49,apache-commons-compress,库,库
50,apache-commons-io,库,库
51,apache-commons-jxpath,库,库
52,apache-commons-lang3,库,库
53,apache-commons-logging,库,库
54,apache-commons-net,库,库
55,appstream-data,库,编程语言
56,apr,库,库
57,apr-util,工具,库
58,arpwatch,工具,工具
59,asciidoc,工具,工具
60,aspell,工具,工具
61,aspell-en,工具,库
62,at,工具,工具
63,at-spi2-atk,工具,工具
64,at-spi2-core,工具,工具
65,atk,库,库
66,atkmm,库,库
67,atlas,工具,工具
68,attr,工具,工具
69,audit,工具,工具
70,augeas,服务,工具
71,authselect,工具,工具
72,autoconf,工具,工具
73,autoconf-archive,库,库
74,autofs,服务,工具
75,autogen,工具,库
76,automake,工具,工具
77,autotrace,工具,工具
78,avahi,服务,工具
79,awscli,工具,编程语言
80,babel,工具,工具
81,babeltrace,工具,工具
82,babl,库,库
83,bacula,工具,工具
84,baobab,工具,库
85,basesystem,服务,工具
86,bash,工具,工具
87,bash-completion,工具,编程语言
88,bc,工具,工具
89,bcc,工具,工具
90,bind,服务,工具
91,bind9.16,服务,工具
92,binutils,工具,工具
93,biosdevname,工具,工具
94,bison,库,工具
95,bitmap-fonts,其它,库
96,blktrace,工具,工具
97,bluez,工具,工具
98,blur-effect,库,库
99,bogofilter,工具,工具
100,bolt,服务,工具
101,boom-boot,工具,工具
102,boost,库,工具
103,booth,工具,工具
104,bpftrace,工具,工具
105,brasero,工具,库
106,breeze-icon-theme,其它,库
107,brltty,工具,工具
108,brotli,库,工具
109,bubblewrap,库,工具
110,byteman,工具,工具
111,byzanz,其它,工具
112,bzip2,工具,工具
113,c-ares,库,编程语言
114,c2esp,库,库
115,ca-certificates,工具,库
116,cachefilesd,服务,工具
117,cairo,库,库
118,cairomm,库,库
119,cdparanoia,库,工具
120,cdrdao,工具,库
121,cdrkit,库,工具
122,celt051,库,库
