idx,name,y_true,y_predict
0,389-ds-base,系统,应用
1,389-ds-base-legacy-tools,系统,系统
2,389-ds-base-libs,系统,核心
3,389-ds-base-snmp,系统,应用
4,python3-lib389,系统,系统
5,liba52,系统,应用
6,aajohan-comfortaa-fonts,其它,其它
7,abattis-cantarell-fonts,其它,其它
8,abrt,系统,系统
9,abrt-addon-ccpp,应用,核心
10,abrt-addon-coredump-helper,应用,核心
11,abrt-addon-kerneloops,应用,系统
12,abrt-addon-pstoreoops,应用,系统
13,abrt-addon-vmcore,应用,核心
14,abrt-addon-xorg,应用,系统
15,abrt-cli,应用,系统
16,abrt-cli-ng,应用,系统
17,abrt-console-notification,应用,应用
18,abrt-dbus,应用,系统
19,abrt-desktop,应用,系统
20,abrt-gui,应用,系统
21,abrt-gui-libs,应用,应用
22,abrt-libs,应用,应用
23,abrt-plugin-machine-id,应用,应用
24,abrt-plugin-sosreport,应用,应用
25,abrt-tui,应用,系统
26,python3-abrt,系统,应用
27,python3-abrt-addon,系统,系统
28,python3-abrt-container-addon,系统,应用
29,abrt-java-connector,应用,应用
30,accel-config,应用,应用
31,accel-config-libs,应用,核心
32,accountsservice,应用,应用
33,accountsservice-libs,应用,核心
34,acl,核心,核心
35,libacl,核心,核心
36,acpica-tools,系统,应用
37,acpid,系统,应用
38,adcli,应用,应用
39,adobe-mappings-cmap,应用,应用
40,adobe-mappings-cmap-deprecated,应用,应用
41,adobe-mappings-pdf,应用,应用
42,adwaita-cursor-theme,应用,应用
43,adwaita-icon-theme,应用,核心
44,adwaita-qt5,应用,应用
45,libadwaita-qt5,应用,应用
46,aide,应用,系统
47,alsa-firmware,系统,应用
48,alsa-lib,系统,核心
49,alsa-ucm,系统,系统
50,alsa-plugins-arcamav,系统,系统
51,alsa-plugins-maemo,系统,系统
52,alsa-plugins-oss,系统,系统
53,alsa-plugins-pulseaudio,系统,系统
54,alsa-plugins-samplerate,系统,系统
55,alsa-plugins-speex,系统,应用
56,alsa-plugins-upmix,系统,系统
57,alsa-plugins-usbstream,系统,系统
58,alsa-plugins-vdownmix,系统,系统
59,alsa-sof-firmware,系统,其它
60,alsa-tools-firmware,系统,系统
61,alsa-utils,系统,系统
62,alsa-utils-alsabat,系统,应用
63,amanda,应用,系统
64,amanda-client,应用,系统
65,amanda-libs,应用,应用
66,amanda-server,应用,系统
67,anaconda,系统,应用
68,anaconda-core,系统,系统
69,anaconda-dracut,系统,核心
70,anaconda-gui,系统,核心
71,anaconda-install-env-deps,系统,核心
72,anaconda-tui,系统,应用
73,anaconda-widgets,系统,应用
74,anaconda-user-help,系统,应用
75,annobin,应用,应用
76,annobin-annocheck,应用,核心
77,anolis-indexhtml,核心,核心
78,anolis-backgrounds,核心,核心
79,anolis-logos,核心,核心
80,anolis-logos-httpd,核心,核心
81,anolis-logos-ipa,核心,核心
82,anolis-epao-release,核心,核心
83,anolis-experimental-release,核心,核心
84,anolis-gpg-keys,核心,核心
85,anolis-release,核心,核心
86,anolis-repos,核心,核心
87,ansible-collection-microsoft-sql,应用,应用
