idx,name,y_true,Bow_predict,df_predict
"Bow 分类正确, df 分类错误"
389-ds-base-libs,库,库,工具
abrt-addon-kerneloops,工具,工具,服务
abrt-addon-xorg,工具,工具,服务
abrt-plugin-machine-id,工具,工具,服务
accel-config-libs,库,库,工具
acpica-tools,工具,工具,库
acpid,服务,服务,库
adobe-mappings-pdf,工具,工具,库
adwaita-qt5,库,库,工具
amanda,工具,工具,库
apache-commons-collections-testframework,库,库,工具
apache-commons-exec-javadoc,库,库,工具
apache-commons-jxpath-javadoc,库,库,工具
attr,工具,工具,库
autotrace,工具,工具,库
avahi-ui,库,库,工具
bacula-console,工具,工具,库
bacula-logwatch,工具,工具,库
bcc,工具,工具,库
beust-jcommander-javadoc,库,库,工具
bind9.16-dnssec-utils,工具,工具,库
boost-build,库,库,工具
byacc,工具,工具,库
byteman,工具,工具,库
cdi-api-javadoc,库,库,工具
cdparanoia,工具,工具,库
cgdcbxd,服务,服务,库
chrome-gnome-shell,工具,工具,服务
chrony,服务,服务,工具
pam_cifscreds,工具,工具,库
clutter,库,库,工具
cmake-data,工具,工具,库
netavark,服务,服务,库
coreos-installer-dracut,工具,工具,服务
corosync-qdevice,服务,服务,工具
cpio,工具,工具,库
crda,服务,服务,工具
createrepo_c-libs,库,库,服务
crun,库,库,工具
crypto-policies-scripts,工具,工具,服务
ctags,工具,工具,库
curl,工具,工具,服务
dbus-libs,库,库,工具
dbxtool,工具,工具,服务
dde-api,服务,服务,库
dde-calendar,服务,服务,工具
libdde-file-manager,库,库,工具
deepin-authenticate,服务,服务,库
delve,工具,工具,库
device-mapper-multipath-libs,库,库,工具
dhcp-libs,库,库,服务
diffstat,工具,工具,库
dnf-data,工具,工具,库
dos2unix,工具,工具,库
dotnet-apphost-pack-3.0,库,库,工具
dotnet-apphost-pack-3.1,库,库,工具
dotnet-apphost-pack-5.0,库,库,工具
doxygen,工具,工具,库
dwz,工具,工具,库
dyninst,工具,工具,库
eclipse-p2-discovery,工具,工具,库
eclipse-emf-runtime,工具,工具,库
elfutils,工具,工具,库
enca,工具,工具,库
enchant,库,库,工具
enchant2,库,库,工具
ethtool,工具,工具,库
exfat-utils,工具,工具,库
fcitx,工具,工具,服务
fcitx-pinyin,工具,工具,库
fcitx-qw,工具,工具,库
felix-gogo-command,工具,工具,库
felix-gogo-shell,工具,工具,库
felix-osgi-compendium-javadoc,库,库,工具
felix-osgi-core-javadoc,库,库,工具
felix-osgi-foundation-javadoc,库,库,工具
felix-utils-javadoc,库,库,工具
libavdevice,库,库,工具
python3-firewall,库,库,服务
fontconfig,工具,工具,库
foomatic-db,服务,服务,工具
freeradius,服务,服务,工具
libwinpr,库,库,工具
ftp,工具,工具,库
fxload,工具,工具,库
gawk,工具,工具,库
gcc-c++,工具,工具,库
gcc-toolset-9-ltrace,工具,工具,库
gdb-headless,工具,工具,库
genwqe-vpd,工具,工具,库
geoclue2-libs,库,库,工具
GeoIP,库,库,工具
geronimo-annotation-javadoc,库,库,工具
ghostscript,工具,工具,库
ghostscript-tools-fonts,工具,工具,其它
ghostscript-x11,工具,工具,库
git-email,工具,工具,库
perl-Git,库,库,工具
git-lfs,工具,工具,库
gnome-abrt,服务,服务,库
gnome-autoar,服务,服务,库
gnome-calculator,服务,服务,库
gnome-disk-utility,服务,服务,库
gnome-logs,服务,服务,工具
gnome-session,服务,服务,工具
gnome-terminal-nautilus,服务,服务,库
gnu-efi,库,库,其它
gnutls-dane,库,库,工具
golang-bin,工具,工具,库
grafana,服务,服务,工具
grep,工具,工具,库
gsound,库,库,工具
gtk2-devel-docs,库,库,工具
gtkmm24-docs,库,库,工具
gvfs-mtp,工具,工具,库
hawtjni-javadoc,库,库,工具
hexedit,工具,工具,库
mod_ssl,服务,服务,工具
ibus-table-chinese,工具,工具,库
icedtea-web,库,库,工具
initial-setup,工具,工具,服务
ipa-server,服务,服务,工具
ipa-server-trust-ad,服务,服务,库
ipcalc,工具,工具,库
ipmitool,工具,工具,库
iproute-tc,工具,工具,库
iptraf-ng,工具,工具,库
iputils,工具,工具,库
ipvsadm,服务,服务,库
ipxe-bootimgs-aarch64,服务,服务,工具
ipxe-bootimgs-x86,服务,服务,工具
jansi-javadoc,库,库,工具
jansi-native-javadoc,库,库,工具
jemalloc,库,库,工具
jline-javadoc,库,库,工具
jsr-305-javadoc,库,库,工具
jtidy-javadoc,库,库,工具
kabi-dw,工具,工具,库
kdecoration,库,库,服务
