name,y_true,y_predict
libasan6,工具,服务
tdb-tools,库,工具
opendnssec,库,服务
qt5-qtbase-mysql,库,服务
qemu-kvm-block-ssh,工具,服务
pptp,工具,服务
qt5-qtvirtualkeyboard,库,工具
corosynclib,库,服务
openblas-srpm-macros,库,工具
ruby-hivex,库,工具
qatengine,工具,服务
xmvn-minimal,库,工具
ucx-ib,库,工具
cups-libs,库,服务
anaconda-core,工具,服务
scala,工具,库
libinput-utils,库,工具
python3-schedutils,库,服务
libguestfs-winsupport,库,工具
libnetfilter_cthelper,库,服务
shadow-utils,工具,服务
bind-utils,工具,服务
sblim-sfcc,库,服务
jq,工具,库
slf4j-jcl,库,服务
libtpms,库,服务
speech-dispatcher-espeak-ng,库,服务
xmvn-api,库,服务
sblim-sfcCommon,库,服务
python3-boom,工具,服务
glibc-utils,工具,库
python3-pymongo,库,工具
texlive-luaotfload,工具,其它
texlive-tipa,工具,其它
target-restore,库,工具
libguestfs-gfs2,库,工具
gperf,工具,库
texlive-fontware,工具,其它
baobab,工具,服务
qt5-qtquickcontrols2,库,工具
perl-macros,库,服务
libguestfs-man-pages-uk,库,工具
teamd,库,服务
luksmeta,库,工具
python2-numpy-f2py,库,工具
http-parser,库,工具
apr-util-pgsql,工具,服务
deepin-fcitxconfigtool-plugin,服务,工具
opensm,工具,服务
xmlsec1-nss,库,服务
LibRaw,库,工具
ant-apache-bcel,库,工具
fftw-libs-single,库,工具
python3-pymongo-gridfs,库,工具
texlive-philokalia,工具,其它
rsyslog-kafka,服务,工具
apr-util-sqlite,工具,服务
pcm,库,服务
libssh-config,库,工具
hyphen-nb,工具,库
mingw64-freetype-static,工具,库
cockpit-storaged,库,工具
clevis-systemd,工具,服务
jack-audio-connection-kit-dbus,库,服务
syslinux-extlinux,工具,服务
lm_sensors-libs,工具,服务
texlive-parskip,工具,库
python-podman-api,库,工具
hexchat,工具,服务
harfbuzz-icu,库,服务
freeglut,库,工具
xorg-x11-utils,工具,服务
iptables-services,服务,工具
iperf3,工具,服务
git-daemon,工具,服务
maven-javadoc,工具,库
texlive-marvosym,工具,其它
xmvn-install,库,服务
rpmemd,库,服务
qt5-qtdoc,库,工具
perl-ph,库,工具
perl-NDBM_File,库,工具
perl-IPC-Open3,库,工具
PackageKit-gtk3-module,服务,其它
bind-pkcs11-libs,服务,库
texlive-fpl,工具,其它
booth-arbitrator,工具,服务
texlive-euenc,工具,其它
clufter-lib-general,库,工具
ant-junit,库,工具
qt5-qtwayland,库,服务
perl-CPAN-Meta,库,工具
coreos-installer,工具,服务
mod_intercept_form_submit,库,服务
perl-Errno,库,工具
x265,库,服务
libblockdev-plugins-all,库,服务
fftw-libs-long,库,工具
librhsm,库,工具
perl-Locale-Codes,库,工具
ibus-table-chinese-erbi,工具,库
m17n-db,库,工具
python3-reportlab,库,工具
breeze-cursor-theme,工具,库
ant-apache-log4j,库,工具
libselinux-static,库,工具
cairo-gobject,库,工具
microdnf,工具,库
bluez,工具,库
infiniband-diags,库,工具
istack-commons-runtime,库,服务
liba52,库,工具
pcp-selinux,服务,工具
gcc-toolset-11-systemtap,工具,服务
anaconda-user-help,工具,服务
atk,库,工具
flatpak,服务,工具
