name,label,text,y,summary,description,y_predict
jsoup,库," Java library for working with real-world HTML  jsoup is a Java library for working with real-world HTML.  It provides a very convenient API for extracting and manipulating data,  using the best of DOM, CSS, and jquery-like methods.    jsoup implements the WHATWG HTML5 specification,  and parses HTML to the same DOM as modern browsers do.     - scrape and parse HTML from a URL, file, or string   - find and extract data, using DOM traversal or CSS selectors   - manipulate the HTML elements, attributes, and text   - clean user-submitted content against a safe white-list,     to prevent XSS attacks   - output tidy HTML    jsoup is designed to deal with all varieties of HTML found in the wild;  from pristine and validating, to invalid tag-soup;  jsoup will create a sensible parse tree.",0, Java library for working with real-world HTML," jsoup is a Java library for working with real-world HTML.
It provides a very convenient API for extracting and manipulating data,
using the best of DOM, CSS, and jquery-like methods.

jsoup implements the WHATWG HTML5 specification,
and parses HTML to the same DOM as modern browsers do.

 - scrape and parse HTML from a URL, file, or string
 - find and extract data, using DOM traversal or CSS selectors
 - manipulate the HTML elements, attributes, and text
 - clean user-submitted content against a safe white-list,
   to prevent XSS attacks
 - output tidy HTML

jsoup is designed to deal with all varieties of HTML found in the wild;
from pristine and validating, to invalid tag-soup;
jsoup will create a sensible parse tree.",0
libX11,库, Core X11 protocol client library  Core X11 protocol client library.,0, Core X11 protocol client library, Core X11 protocol client library.,0
python3-suds,库, A python SOAP client  The suds project is a python soap web services client lib.  Suds leverages  python meta programming to provide an intuitive API for consuming web  services.  Objectification of types defined in the WSDL is provided  without class generation.  Programmers rarely need to read the WSDL since  services and WSDL based objects can be easily inspected.,0, A python SOAP client," The suds project is a python soap web services client lib.  Suds leverages
python meta programming to provide an intuitive API for consuming web
services.  Objectification of types defined in the WSDL is provided
without class generation.  Programmers rarely need to read the WSDL since
services and WSDL based objects can be easily inspected.",0
mingw64-expat,库," MinGW Windows port of expat XML parser library  This is expat, the C library for parsing XML, written by James Clark. Expat  is a stream oriented XML parser. This means that you register handlers with  the parser prior to starting the parse. These handlers are called when the  parser discovers the associated structures in the document being parsed. A  start tag is an example of the kind of structures for which you may  register handlers.",0, MinGW Windows port of expat XML parser library," This is expat, the C library for parsing XML, written by James Clark. Expat
is a stream oriented XML parser. This means that you register handlers with
the parser prior to starting the parse. These handlers are called when the
parser discovers the associated structures in the document being parsed. A
start tag is an example of the kind of structures for which you may
register handlers.",0
rubygem-xmlrpc,库, XMLRPC is a lightweight protocol that enables remote procedure calls over HTTP  XMLRPC is a lightweight protocol that enables remote procedure calls over  HTTP.,0, XMLRPC is a lightweight protocol that enables remote procedure calls over HTTP," XMLRPC is a lightweight protocol that enables remote procedure calls over
HTTP.",0
texlive-sectsty,工具," Control sectional headers  A LaTeX2e package to help change the style of any or all of  LaTeX's sectional headers in the article, book, or report  classes. Examples include the addition of rules above or below  a section title.",1, Control sectional headers," A LaTeX2e package to help change the style of any or all of
LaTeX's sectional headers in the article, book, or report
classes. Examples include the addition of rules above or below
a section title.",1
felix-osgi-foundation-javadoc,库, API documentation for felix-osgi-foundation  This package contains API documentation for felix-osgi-foundation.,0, API documentation for felix-osgi-foundation, This package contains API documentation for felix-osgi-foundation.,0
texlive-fancyvrb,工具," Sophisticated verbatim text  Flexible handling of verbatim text including: verbatim commands  in footnotes; a variety of verbatim environments with many  parameters; ability to define new customized verbatim  environments; save and restore verbatim text and environments;  write and read files in verbatim mode; build ""example""  environments (showing both result and verbatim source).",1, Sophisticated verbatim text," Flexible handling of verbatim text including: verbatim commands
in footnotes; a variety of verbatim environments with many
parameters; ability to define new customized verbatim
environments; save and restore verbatim text and environments;
write and read files in verbatim mode; build ""example""
environments (showing both result and verbatim source).",1
tesseract-langpack-mya,工具, Burmese language data for tesseract-tessdata  This package contains the fast integer version of the Burmese language  trained models for the Tesseract Open Source OCR Engine.,1, Burmese language data for tesseract-tessdata," This package contains the fast integer version of the Burmese language
trained models for the Tesseract Open Source OCR Engine.",1
texlive-dvisvgm,工具," Convert DVI files to Scalable Vector Graphics format (SVG)  Dvisvgm is a command line utility that converts TeX DVI files  to the XML-based Scalable Vector Graphics (SVG) format. It  provides full font support including virtual fonts, font maps,  and sub-fonts. If necessary, dvisvgm vectorizes Metafont's  bitmap output in order to always create lossless scalable  output. The embedded SVG fonts can optionally be replaced with  graphics paths so that applications that don't support SVG  fonts are enabled to render the graphics properly. Besides many  other features, dvisvgm also supports color, emTeX, tpic, PDF  mapfile and PostScript specials. Users will need a working TeX  installation including the kpathsea library. For more detailed  information, see the project page.",1, Convert DVI files to Scalable Vector Graphics format (SVG)," Dvisvgm is a command line utility that converts TeX DVI files
to the XML-based Scalable Vector Graphics (SVG) format. It
provides full font support including virtual fonts, font maps,
and sub-fonts. If necessary, dvisvgm vectorizes Metafont's
bitmap output in order to always create lossless scalable
output. The embedded SVG fonts can optionally be replaced with
graphics paths so that applications that don't support SVG
fonts are enabled to render the graphics properly. Besides many
other features, dvisvgm also supports color, emTeX, tpic, PDF
mapfile and PostScript specials. Users will need a working TeX
installation including the kpathsea library. For more detailed
information, see the project page.",1
