pkg,summary,description,summary_bert_key,description_bert_key,summary_textrank_key,description_textrank_key,predict_label,real_label
golang-github-axgle-mahonia,"
This repository holds supplementary Go image libraries.","
This repository holds supplementary Go image libraries.

This package contains library source intended for
building other packages which use import path with
%{import_path} prefix.",libraries supplementary image ,import_path libraries path image supplementary ,repository hold supplementary ,library package building import intend ,0,golang语言
golang-github-gosexy-gettext,"
This repository holds supplementary Go go-pinyin libraries.","
This repository holds supplementary Go go-pinyin libraries.
This package contains library source intended for
building other packages which use import path with
%{import_path} prefix.",pinyin libraries supplementary ,pinyin import_path path import libraries ,repository hold supplementary ,library package building import intend ,0,golang语言
golang-github-kelvins-sunrisesunset,"
This repository holds supplementary Go go-pinyin libraries.","
This repository holds supplementary Go go-pinyin libraries.

This package contains library source intended for
building other packages which use import path with
%{import_path} prefix.",pinyin libraries supplementary ,pinyin import_path path import libraries ,repository hold supplementary ,library package building import intend ,0,golang语言
golang-github-msteinert-pam,"
This repository holds supplementary Go go-pinyin libraries.","
This repository holds supplementary Go go-pinyin libraries.

This package contains library source intended for
building other packages which use import path with
%{import_path} prefix.",pinyin libraries supplementary ,pinyin import_path path import libraries ,repository hold supplementary ,library package building import intend ,0,golang语言
golang-github-rickb777-date,"
This repository holds supplementary Go rickb777 libraries.","
This repository holds supplementary Go rickb777 libraries.

This package contains library source intended for
building other packages which use import path with
%{import_path} prefix.",rickb777 libraries supplementary ,import_path libraries import packages rickb777 ,repository hold supplementary ,library package building import intend ,0,golang语言
golang-x-image,"
Go supplementary image libraries.","
Go supplementary image libraries

This package contains library source intended for
building other packages which use import path with
golang.org/x/image prefix.",supplementary libraries image ,golang path libraries image supplementary ,supplementary image library ,package contain building import library ,0,golang语言
java-11-openjdk,"
OpenJDK 11 Runtime Environment.
OpenJDK 11 Demos.
OpenJDK 11 Headless Runtime Environment.
OpenJDK 11 API documentation.
OpenJDK 11 API documentation compressed in a single archive.
JMods for OpenJDK 11.
OpenJDK 11 libraries for static linking.
OpenJDK 11 Source Bundle.","
The OpenJDK 11 runtime environment.
The OpenJDK 11 demos.
The OpenJDK 11 runtime environment without audio and video support.
The OpenJDK 11 API documentation.
The OpenJDK 11 API documentation compressed in a single archive.
The JMods for OpenJDK 11.
The OpenJDK 11 libraries for static linking.
The java-11-openjdk-src sub-package contains the complete OpenJDK 11
class library source code for use by IDE indexers and debuggers.",openjdk documentation 11 ,openjdk libraries runtime audio 11 ,openjdk documentation compress ,openjdk library class complete source ,0,java
sat4j,"
A library of SAT solvers written in Java.","
The aim of the SAT4J library is to provide an efficient library of SAT
solvers in Java. The SAT4J library targets first users of SAT ""black
boxes"", those willing to embed SAT technologies into their application
without worrying about the details.",solvers sat java ,sat4j sat java solvers library ,library solver write ,library technology user embed black ,0,none
rubygem-pg,"
A Ruby interface to the PostgreSQL RDBMS.","
This is the extension library to access a PostgreSQL database from Ruby.
This library works with PostgreSQL 9.1 and later.",ruby postgresql rdbms ,postgresql ruby database library access ,ruby interface postgresql ,library postgresql access database extension ,0,none
rubygem-abrt,"
ABRT support for Ruby.","
Provides ABRT reporting support for libraries/applications written using Ruby.",ruby abrt support ,ruby abrt reporting libraries applications ,abrt support ruby ,report support libraries/applications abrt write ,0,none
postgres-decoderbufs,"
PostgreSQL Protocol Buffers logical decoder plugin.","
A PostgreSQL logical decoder output plugin to deliver data
as Protocol Buffers messages.",decoder postgresql buffers ,decoder postgresql protocol buffers messages ,protocol buffers logical ,plugin deliver output data decoder ,0,none
perl-Compress-Raw-Lzma,"
Low-level interface to lzma compression library.","
This module provides a Perl interface to the lzma compression library.
It is used by IO::Compress::Lzma.",compression library lzma ,compression perl compress lzma library ,low-level interface lzma ,perl interface lzma provide compression ,0,none
netcf,"
Cross-platform network configuration library.
Libraries for netcf.","
Netcf is a library used to modify the network configuration of a
system. Network configurations are expressed in a platform-independent
XML format, which netcf translates into changes to the system's
'native' network configuration files.
The libraries for netcf.",netcf libraries configuration ,netcf network configuration libraries xml ,cross-platform network configuration ,network configuration netcf system's translate ,0,none
mysql,"
MySQL client programs and shared libraries.
The shared files required for MySQL server and client.
The error messages files required by MySQL server.
The shared libraries required for MySQL clients.
The MySQL server and related files.","
MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. The base package
contains the standard MySQL client programs and generic MySQL files.
The mysql-common package provides the essential shared files for any
MySQL program. You will need to install this package to use any other
MySQL package.
The package provides error messages files for the MySQL daemon
The mysql-libs package provides the essential shared libraries for any
MySQL client program or interface. You will need to install this package
to use any other MySQL package or any clients that need to connect to a
MySQL server.
MySQL is a multi-user, multi-threaded SQL database server. MySQL is a
client/server implementation consisting of a server daemon (mysqld)
and many different client programs and libraries. This package contains
the MySQL server and some accompanying files and directories.",mysql libraries shared ,mysql mysqld database libraries install ,mysql require file ,mysql package server client file ,0,none
libzip,"
C library for reading, creating, and modifying zip archives.
Command line tools from libzip.","
libzip is a C library for reading, creating, and modifying zip archives. Files
can be added from data buffers, files, or compressed data copied directly from
other zip archives. Changes made without closing the archive can be reverted.
The API is documented by man pages.
The libzip-tools package provides command line tools split off libzip:
- zipcmp
- zipmerge
- ziptool",libzip zip library ,libzip zipcmp zipmerge ziptool library ,command line tool ,archive libzip line split tool ,0,none
