out,in
java-1.8.0-openjdk-headless-fastdebug,libgcc
perl,perl-filetest
smc-meera-fonts,smc-fonts-common
python3-custodia,platform-python
texlive-bidi,texlive-natbib
pg_repack,libpq
gedit-plugin-drawspaces,pango
deepin-compressor,deepin-shortcut-viewer
maven-artifact-resolver,javapackages-filesystem
java-1.8.0-openjdk-devel-slowdebug,libX11
hyphen-en,hyphen
kf5-frameworkintegration-libs,libstdc++
thermald,systemd
libreoffice-langpack-zh-Hans,autocorr-zh
libreoffice-langpack-zh-Hant,autocorr-zh
google-noto-sans-thai-ui-fonts,fontpackages-filesystem
google-noto-sans-bengali-fonts,fontpackages-filesystem
gcc-toolset-10-ltrace,libstdc++
gcc-toolset-11-ltrace,libstdc++
qt5-qtbase-mysql,mariadb-connector-c
hexchat,gdk-pixbuf2
system-lsb-languages,perl-Class-ISA
policycoreutils-newrole,pam
postgresql-pltcl,bash
qt5-qtquickcontrols2,libglvnd-glx
lightdm-gtk,libX11
gcc-toolset-9-gdb-gdbserver,libstdc++
apr-util-sqlite,glibc
libdde-file-manager,openssl-libs
pacemaker-cluster-libs,bzip2-libs
ant-jdepend,ant
system-config-printer-libs,python3-pycurl
virt-manager,vte291
maven-shared,javapackages-filesystem
aajohan-comfortaa-fonts,fontpackages-filesystem
urw-base35-nimbus-sans-fonts,xorg-x11-server-utils
criu,libnet
qt5-qtquickcontrols2-examples,glibc
jetty-servlet,javapackages-filesystem
vte291,libgcc
xorg-x11-drivers,xorg-x11-drv-vesa
tigervnc,libXft
kmod,xz-libs
jackson-databind,jackson-annotations
javassist,javapackages-tools
bacula-common,shadow-utils
utf8proc,glibc
gcc-toolset-10-systemtap-initscript,gcc-toolset-10-runtime
gcc-toolset-11-systemtap-initscript,gcc-toolset-11-runtime
system-lsb-desktop,mesa-libGL
deepin-pw-check,cracklib
system-lsb-core,util-linux
maven-doxia-sitetools,plexus-containers-component-annotations
kernel-debug-core,mysql-server
perl-IO-String,perl-IO
inkscape,fontconfig
qt5-qtwebchannel-examples,glibc
maven-plugin-tools-generators,maven-reporting-api
pango,fribidi
php-snmp,net-snmp
libgio-qt,glib2
maven-plugin-tools-javadoc,javapackages-tools
librdkafka,libgcc
texlive-bibtopic,texlive-base
amanda,perl-parent
gnome-boxes,libsecret
texlive-ulem,texlive-kpathsea
gpac-libs,liba52
mingw32-zlib,mingw32-crt
texlive-collection-fontsrecommended,texlive-base
java-1.8.0-openjdk-devel-fastdebug,libstdc++
cryptsetup-libs,glibc
deepin-default-settings-tuning,bash
logwatch,grep
dde,dtkgui
libgio-qt,glibc
gmock,glibc
mod_security-mlogc,mod_security
dde,deepin-picker
perl-Error,perl-libs
mod_security,yajl
perl-Unicode-LineBreak,perl-Exporter
boost,boost-fiber
rubygem-mysql2,rubygem-bigdecimal
perl-Error,perl-Carp
evolution-ews,webkit2gtk3-jsc
evolution-pst,webkit2gtk3-jsc
python2,glibc
ghostscript-tools-fonts,bash
dde-device-formatter,udisks2-qt5
systemtap,systemtap-client
pcp-parfait-agent,bash
maven-reporting-impl-javadoc,javapackages-filesystem
pcp-zeroconf,pcp-libs
tesseract-langpack-kor_vert,tesseract
tesseract-langpack-jpn_vert,tesseract
pcp-testsuite,bc
neon,ca-certificates
pcp-testsuite,pcp-pmda-netcheck
ipmitool,ncurses-libs
libsoup,sqlite-libs
libgpod,sqlite-libs
libguestfs-appliance,bzip2
qt5-qt3d,qt5-qtbase
ffmpeg-libs,vapoursynth-libs
gnome-settings-daemon,cups-libs
rpm-plugin-selinux,libcap
java-11-openjdk-src,java-11-openjdk-headless
texlive-float,texlive-base
libpurple,cyrus-sasl-plain
python3-virtualenv,bash
epel-rpm-macros,python-srpm-macros
epel-rpm-macros,python2-rpm-macros
python3-sphinx,python3-imagesize
samba-winbind-modules,libtalloc
libva,libglvnd-glx
gcc-toolset-9-ltrace,elfutils-libs
dde-desktop,libgcc
qt5-doctools,libgcc
libadwaita-qt5,libstdc++
python3-abrt,abrt
libgdata,liboauth
perl-Test-Pod-Coverage,perl-Pod-Coverage
quota-nld,glibc
nfs-utils,python3-pyyaml
postgresql-plpython3,glibc
texlive-fmtcount,texlive-latex
hyphen-or,hyphen
evolution,pango
pcp-export-pcp2elasticsearch,python3-pcp
opencryptoki-tpmtok,opencryptoki-libs
egl-wayland,libwayland-server
gnome-disk-utility,libdvdread
vim-X11,hicolor-icon-theme
texlive-pstricks,texlive-base
cyrus-sasl-sql,mariadb-connector-c
open-vm-tools,systemd
libvirt-daemon-driver-storage-disk,libvirt-daemon-driver-storage-core
perl,perl-File-Path
cjose,glibc
libwsman1,glibc
gimp,poppler-glib
texinfo,perl-Unicode-Normalize
mod_auth_mellon-diagnostics,glib2
usbguard,bash
usbutils,bash
bpg-ucnobi-fonts,bpg-fonts-common
geoclue2,glibc
rpm-cron,rpm
gegl04,suitesparse
unique,freetype
c-ares,glibc
mod_auth_mellon-diagnostics,glibc
