name,layer_true,layer_pred,summary,description
liba52,系统,核心,"A free ATSC A/52 stream decoder, also known as AC-3 or AC3","liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3"
abrt,系统,应用,Automatic bug detection and reporting tool,"abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality."
abrt-addon-ccpp,应用,系统,abrt's C/C++ addon,This package contains abrt's C/C++ analyzer plugin.
abrt-addon-coredump-helper,应用,核心,abrt's /proc/sys/kernel/core_pattern helper,This package contains hook for C/C++ crashed programs.
abrt-addon-kerneloops,应用,核心,abrt's kerneloops addon,"This package contains plugin for collecting kernel crash information from
system log."
abrt-addon-vmcore,应用,系统,abrt's vmcore addon,"This package contains plugin for collecting kernel crash information from
vmcore files."
abrt-addon-xorg,应用,核心,abrt's Xorg addon,"This package contains plugin for collecting Xorg crash information from Xorg
log."
abrt-cli,应用,系统,Virtual package to make easy default installation on non-graphical environments,"Virtual package to install all necessary packages for usage from command line
environment."
abrt-cli-ng,应用,系统,abrt's improved command line interface,New generation command line interface for ABRT
abrt-desktop,应用,核心,Virtual package to make easy default installation on desktop environments,"Virtual package to install all necessary packages for usage from desktop
environment."
python3-abrt,系统,应用,ABRT Python 3 API,"High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3."
python3-abrt-container-addon,系统,应用,abrt's container addon for catching Python 3 exceptions,"This package contains python 3 hook and handling uncaught exception in python 3
programs in container."
accel-config-libs,应用,核心,Configuration library for accelerator subsystem devices,Libraries for accel-config.
accountsservice-libs,应用,系统,Client-side library to talk to accountsservice,"The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon."
