idx,name,y_true,y_predict,跨层依赖数,被跨层依赖数,分类错误,反向依赖数,被反向依赖数
0,GConf2,系统,核心,0,1,-1,2,0
1,GeoIP,应用,应用,0,0,0,0,0
2,GeoIP-GeoLite-data,应用,系统,0,0,-1,0,0
3,HdrHistogram_c,应用,核心,0,0,-1,0,0
4,Judy,应用,应用,0,0,0,0,0
5,LibRaw,应用,应用,1,0,0,0,0
6,ModemManager,应用,核心,2,0,-1,1,1
7,NetworkManager,系统,核心,0,0,-1,10,0
8,NetworkManager-libreswan,系统,其它,0,0,1,0,0
9,OpenEXR,应用,应用,2,0,0,0,0
10,OpenIPMI,应用,核心,3,0,-1,1,0
11,PackageKit,应用,核心,2,0,-1,2,0
12,PyYAML,应用,核心,1,0,-1,0,0
13,SDL,应用,应用,1,0,0,0,0
14,WALinuxAgent,应用,系统,0,0,-1,0,0
15,Xaw3d,应用,应用,0,0,0,0,0
16,a52dec,应用,应用,0,0,0,0,0
17,aajohan-comfortaa-fonts,其它,其它,0,0,0,0,0
18,abattis-cantarell-fonts,其它,其它,0,0,0,0,0
19,abrt,应用,系统,1,0,-1,0,0
20,abrt-java-connector,系统,应用,0,0,1,0,0
21,accel-config,应用,应用,0,0,0,0,0
22,accountsservice,应用,核心,3,0,-1,1,0
23,acl,核心,核心,0,9,0,0,0
24,acpica-tools,系统,系统,0,0,0,0,0
25,acpid,系统,核心,0,0,-1,1,0
26,adcli,应用,系统,1,0,-1,0,0
27,adobe-mappings-cmap,应用,其它,0,0,1,0,0
28,adobe-mappings-pdf,应用,其它,0,0,1,0,0
29,adwaita-icon-theme,其它,其它,0,0,0,0,0
30,adwaita-qt,应用,应用,0,0,0,0,0
31,alsa-firmware,系统,核心,0,0,-1,0,0
32,alsa-lib,系统,应用,0,0,1,0,0
33,alsa-plugins,系统,其它,0,0,1,0,0
34,alsa-sof-firmware,系统,应用,0,0,1,0,0
35,alsa-tools,系统,其它,0,0,1,0,0
36,alsa-utils,系统,应用,0,0,1,0,0
37,amanda,应用,核心,0,0,-1,0,0
38,anaconda,系统,系统,0,0,0,25,0
39,anaconda-user-help,系统,其它,0,0,1,0,0
40,anolis-logos,核心,核心,0,0,0,0,0
41,anolis-release,核心,核心,0,0,0,0,0
42,ansible-core,应用,其它,0,0,1,0,0
43,ansible-freeipa,应用,应用,0,0,0,0,0
44,ant,应用,应用,0,0,0,0,0
45,aom,应用,应用,0,0,0,0,0
46,apache-commons-cli,应用,应用,0,0,0,0,0
47,apache-commons-codec,应用,其它,0,0,1,0,0
48,apache-commons-collections,应用,系统,0,0,-1,0,0
49,apache-commons-compress,应用,应用,0,0,0,0,0
50,apache-commons-io,应用,应用,0,0,0,0,0
51,apache-commons-jxpath,应用,应用,0,0,0,0,0
52,apache-commons-lang3,应用,应用,0,0,0,0,0
53,apache-commons-logging,应用,应用,0,0,0,0,0
54,apache-commons-net,应用,应用,0,0,0,0,0
55,appstream-data,应用,其它,0,0,1,0,0
56,apr,应用,核心,0,0,-1,0,0
57,apr-util,应用,应用,0,0,0,0,0
58,arpwatch,应用,核心,2,0,-1,1,0
59,asciidoc,应用,系统,0,0,-1,0,0
60,aspell,应用,应用,3,0,0,0,0
61,aspell-en,应用,应用,0,0,0,0,0
62,at,系统,核心,0,0,-1,1,0
63,at-spi2-atk,系统,系统,0,0,0,0,0
64,at-spi2-core,系统,系统,0,0,0,0,0
65,atk,系统,系统,0,8,0,0,0
66,atkmm,系统,应用,0,0,1,1,0
67,atlas,系统,系统,0,0,0,0,0
68,attr,核心,核心,0,5,0,0,0
69,audit,核心,核心,0,8,0,6,0
70,augeas,应用,系统,2,0,-1,0,0
71,authselect,系统,核心,0,0,-1,2,0
72,autoconf,应用,系统,2,0,-1,0,1
73,autoconf-archive,系统,应用,0,0,1,0,0
74,autofs,应用,核心,8,0,-1,1,0
75,autogen,应用,应用,0,0,0,0,1
76,automake,应用,核心,1,0,-1,0,2
77,autotrace,应用,应用,0,0,0,0,0
78,avahi,应用,核心,3,0,-1,2,1
79,awscli,应用,应用,0,0,0,0,0
80,babel,应用,系统,0,0,-1,0,0
81,babeltrace,应用,核心,2,0,-1,0,2
82,babl,应用,应用,1,0,0,0,0
83,bacula,应用,核心,0,0,-1,1,0
84,baobab,应用,系统,1,0,-1,0,0
85,basesystem,核心,核心,0,0,0,0,0
86,bash,核心,核心,0,115,0,1,0
87,bash-completion,应用,应用,0,0,0,0,0
88,bc,系统,系统,0,0,0,0,0
89,bcc,应用,系统,0,0,-1,0,0
90,bind,系统,核心,0,0,-1,6,0
91,bind9.16,系统,系统,0,0,0,0,0
92,binutils,系统,系统,0,0,0,0,0
93,biosdevname,系统,应用,0,0,1,0,0
94,bison,应用,系统,3,0,-1,0,0
95,bitmap-fonts,其它,其它,0,0,0,0,0
96,blktrace,系统,系统,0,0,0,4,0
97,bluez,系统,核心,0,0,-1,4,0
98,blur-effect,应用,应用,0,0,0,0,0
99,bogofilter,应用,其它,0,0,1,0,0
100,bolt,应用,其它,2,0,1,1,0
101,boom-boot,系统,其它,0,0,1,0,0
102,boost,应用,核心,3,0,-1,0,2
103,booth,应用,其它,0,0,1,0,0
104,bpftrace,应用,核心,0,0,-1,0,0
105,brasero,应用,其它,0,0,1,1,0
106,breeze-icon-theme,其它,其它,0,0,0,0,0
107,brltty,应用,系统,0,0,-1,0,0
108,brotli,应用,核心,1,0,-1,0,1
109,bubblewrap,应用,应用,3,0,0,0,1
110,byteman,应用,系统,0,0,-1,0,1
111,byzanz,其它,其它,0,0,0,0,0
112,bzip2,核心,核心,0,12,0,0,0
113,c-ares,应用,应用,0,0,0,0,0
114,c2esp,应用,系统,0,0,-1,0,0
115,ca-certificates,系统,应用,0,0,1,0,0
116,cachefilesd,系统,核心,0,0,-1,1,0
117,cairo,系统,系统,0,9,0,3,0
118,cairomm,系统,系统,0,0,0,2,0
119,cdparanoia,应用,系统,0,0,-1,0,0
120,cdrdao,应用,应用,0,0,0,0,0
121,cdrkit,应用,核心,0,0,-1,0,0
122,celt051,应用,应用,0,0,0,0,0
123,ceph,其它,核心,2,0,-1,0,1
124,certmonger,应用,应用,0,0,0,0,0
125,chan,应用,核心,0,0,-1,0,0
126,check,应用,应用,3,0,0,0,0
127,checkpolicy,系统,系统,0,0,0,0,0
128,cheese,其它,应用,7,0,-1,0,0
129,chkconfig,系统,系统,0,0,0,1,0
130,chrome-gnome-shell,其它,其它,0,0,0,0,0
131,chrony,应用,核心,5,0,-1,1,1
132,chrpath,应用,应用,1,0,0,0,0
133,cifs-utils,应用,应用,0,0,0,0,0
134,cim-schema,应用,其它,0,0,1,0,0
135,cjose,应用,系统,2,0,-1,0,0
136,clang,应用,系统,0,0,-1,0,0
137,cldr-emoji-annotation,应用,其它,0,0,1,0,0
138,clevis,应用,系统,0,0,-1,0,0
139,cloud-init,其它,系统,0,0,-1,0,0
140,clucene,应用,应用,0,0,0,0,0
141,clufter,系统,系统,0,0,0,0,0
142,clutter,系统,核心,0,1,-1,14,0
143,clutter-gst2,系统,应用,0,0,1,0,0
144,clutter-gst3,系统,应用,0,0,1,0,0
145,clutter-gtk,系统,应用,0,0,1,0,0
146,cmake,应用,系统,2,0,-1,0,0
147,cockpit,应用,核心,7,0,-1,1,0
148,cockpit-appstream,应用,其它,0,0,1,0,0
149,cockpit-composer,应用,应用,0,0,0,0,0
150,cockpit-session-recording,应用,其它,0,0,1,0,0
151,codemodel,应用,应用,0,0,0,0,0
152,cogl,应用,应用,1,0,0,0,1
153,color-filesystem,应用,其它,0,0,1,0,0
154,colord,应用,核心,2,0,-1,1,1
155,colord-gtk,应用,应用,0,0,0,0,0
156,compat-libtiff3,应用,应用,0,0,0,0,0
157,conntrack-tools,应用,核心,0,0,-1,0,0
158,container-exception-logger,应用,其它,0,0,1,0,0
159,containerd,应用,其它,0,0,1,0,0
160,convmv,应用,核心,0,0,-1,0,0
161,copy-jdk-configs,应用,其它,0,0,1,0,0
