idx,name
0,GConf2
1,GeoIP
2,GeoIP-GeoLite-data
3,HdrHistogram_c
4,Judy
5,LibRaw
6,ModemManager
7,NetworkManager
8,NetworkManager-libreswan
9,OpenEXR
10,OpenIPMI
11,PackageKit
12,PyYAML
13,SDL
14,WALinuxAgent
15,Xaw3d
16,aajohan-comfortaa-fonts
17,abattis-cantarell-fonts
18,abrt
19,abrt-java-connector
20,accel-config
21,accountsservice
22,acl
23,acpica-tools
24,acpid
25,adcli
26,adobe-mappings-cmap
27,adobe-mappings-pdf
28,adwaita-icon-theme
29,adwaita-qt
30,alsa-firmware
31,alsa-lib
32,alsa-plugins
33,alsa-sof-firmware
34,alsa-tools
35,alsa-utils
36,amanda
37,anaconda
38,anaconda-user-help
39,anolis-logos
40,anolis-release
41,ansible-core
42,ansible-freeipa
43,ant
44,aom
45,apache-commons-cli
46,apache-commons-codec
47,apache-commons-collections
48,apache-commons-compress
49,apache-commons-io
50,apache-commons-jxpath
51,apache-commons-lang3
52,apache-commons-logging
53,apache-commons-net
54,appstream-data
55,apr
56,apr-util
57,arpwatch
58,asciidoc
59,aspell
60,aspell-en
61,at
62,at-spi2-atk
63,at-spi2-core
64,atk
65,atkmm
66,atlas
67,attr
68,audit
69,augeas
70,authselect
71,autoconf
72,autoconf-archive
73,autofs
74,autogen
75,automake
76,autotrace
77,avahi
78,awscli
79,babel
80,babeltrace
81,babl
82,bacula
83,baobab
84,basesystem
85,bash
86,bash-completion
87,bc
88,bcc
89,bind
90,bind9.16
91,binutils
92,biosdevname
93,bison
94,bitmap-fonts
95,blktrace
96,bluez
97,blur-effect
98,bogofilter
99,bolt
100,boom-boot
101,boost
102,booth
103,bpftrace
104,brasero
105,breeze-icon-theme
106,brltty
107,brotli
108,bubblewrap
109,byteman
110,byzanz
111,bzip2
112,c-ares
113,c2esp
114,ca-certificates
115,cachefilesd
116,cairo
117,cairomm
118,cdparanoia
119,cdrdao
120,cdrkit
121,celt051
122,ceph
123,certmonger
124,chan
125,check
126,checkpolicy
127,cheese
128,chkconfig
129,chrome-gnome-shell
130,chrony
131,chrpath
132,cifs-utils
133,cim-schema
134,cjose
135,clang
136,cldr-emoji-annotation
137,clevis
138,cloud-init
139,clucene
140,clufter
141,clutter
142,clutter-gst2
143,clutter-gst3
144,clutter-gtk
145,cmake
146,cockpit
147,cockpit-appstream
148,cockpit-composer
149,cockpit-session-recording
150,codemodel
151,cogl
152,color-filesystem
153,colord
154,colord-gtk
155,compat-libtiff3
156,conntrack-tools
157,container-exception-logger
158,containerd
159,convmv
160,copy-jdk-configs
161,coreutils
162,corosync
163,corosync-qdevice
164,cpio
165,cppcheck
166,cppunit
167,cracklib
168,crash
169,crash-gcore-command
170,crash-ptdump-command
171,crash-trace-command
172,crda
173,createrepo_c
174,cronie
175,crontabs
176,crypto-policies
177,cryptsetup
178,cscope
179,ctags
180,culmus-fonts
181,cups
182,cups-filters
183,cups-pk-helper
184,curl
185,cyrus-imapd
186,cyrus-sasl
187,dav1d
188,dbus
189,dbus-c++
190,dbus-glib
191,dbus-python
192,dbusmenu-qt
193,dbxtool
194,dconf
195,dconf-editor
196,dcraw
197,dde
198,dde-account-faces
199,dde-api
200,dde-calendar
201,dde-clipboard
202,dde-control-center
203,dde-daemon
204,dde-device-formatter
205,dde-dock
206,dde-file-manager
207,dde-kwin
208,dde-launcher
209,dde-network-utils
210,dde-polkit-agent
211,dde-printer
212,dde-qt-dbus-factory
213,dde-qt5integration
214,dde-qt5platform-plugins
215,dde-server-industry-config
216,dde-session-shell
217,dde-session-ui
218,deepin-anything
219,deepin-authenticate
220,deepin-boot-maker
221,deepin-calculator
222,deepin-compressor
223,deepin-default-settings
224,deepin-desktop-base
225,deepin-desktop-schemas
226,deepin-devicemanager
227,deepin-diskmanager
228,deepin-editor
229,deepin-fcitxconfigtool-plugin
230,deepin-font-manager
231,deepin-gettext-tools
232,deepin-gtk-theme
233,deepin-icon-theme
234,deepin-image-viewer
235,deepin-log-viewer
236,deepin-manual
237,deepin-menu
238,deepin-picker
239,deepin-pw-check
240,deepin-reader
241,deepin-screen-recorder
242,deepin-shortcut-viewer
243,deepin-sound-theme
244,deepin-system-monitor
245,deepin-terminal
246,deepin-turbo
247,deepin-wallpapers
248,dejagnu
249,dejavu-fonts
250,desktop-file-utils
251,devhelp
252,device-mapper-multipath
253,device-mapper-persistent-data
254,dhcp
255,dialog
256,diffstat
257,diffutils
258,ding-libs
259,disomaster
260,djvulibre
261,dleyna-connector-dbus
262,dleyna-core
263,dleyna-renderer
264,dleyna-server
265,dlm
266,dmidecode
267,dnf
268,dnf-plugins-core
