idx,name,y_true,y_predict,feature
0,GConf2,系统,核心,administration backends configuration database feature nannan pluggable process store support transparent user
1,GeoIP,应用,应用,address base basis country cron database enable file hostname instal ipv4 ipv6 library mapping nannan optionally organization package update user
2,GeoIP-GeoLite-data,应用,其它,address available com contain country create data database free http include ipv4 ipv6 number package plus product www
3,HdrHistogram_c,应用,核心,dynamic high nannan port range
4,Judy,应用,应用,advantage array available benefit consume core declare design dynamic dynamically efficiency element extensible general high implement large library machine memory nannan number performance pre provide purpose scalability scale simply size sparse state technology
5,LibRaw,应用,应用,base camera code digital eliminate file future library nannan obtain read source utility
6,ModemManager,应用,系统,application broadband client consistent contain device easy functionality glib interact libraries library make management mobile modem package provide service support
7,NetworkManager,系统,核心,address advanced allow alternative applet application automatic automatically backward base based behave bluetooth bridge bring broadband compatibility config configuration connection contain default deployment device dhcp different dispatcher easy editor environment ethernet file functionality graphical infiniband initscripts instal installs instead intend interface legacy libraries library like make manage manager mobile network networking networkmanager non open operation package particular perform plugin policy replace routing rule script scripts server service static stop support talk team text user variety
8,NetworkManager-libreswan,系统,其它,capability contain desktop file files gnome integrate nannan networkmanager package plug plugin server software
9,OpenEXR,应用,应用,libraries library nannan runtime
10,OpenIPMI,应用,核心,access allow application base binary binding bindings code contain develop information intelligent interface ipmi language library libs management nannan network open package perl platform project python runtime share tool
11,PackageKit,应用,核心,abstraction access allow application architecture automatically bus codecs command configured cron cross font glib gstreamer gtk3 helper install layer library line manage management module offer package pango plugin program related repository secure service session simple user utility
12,PyYAML,应用,系统,allow applicable arbitrary capable complete complex configuration data design error extension feature file format human interaction language message nannan object parser provide python range readability represent script serialization specific standard support task unicode yaml
13,SDL,应用,应用,access audio buffer cross design device fast frame graphic layer library multimedia nannan platform provide simple
14,WALinuxAgent,应用,系统,agent build cloud disk environment image instal linux machines microsoft package provisioning rule running specific support udev virtual
15,Xaw3d,应用,应用,application change code dimensional enhanced incorporate install like look minimal nannan source version widget window
16,a52dec,应用,应用,application decode decoder digital free include know library nannan standard stream variety
17,aajohan-comfortaa-fonts,其它,其它,aspect coverage cyrillic european font good language modern nannan regular sans serif style true type variant
18,abattis-cantarell-fonts,其它,其它,design family font nannan sans serif typeface
19,abrt,应用,系统,access addon analyze analyzer application automatic base build catch client collect command configuration console contain container convenient count crash create data dbus default desktop detect detection easy enable environment event exception extend file freedesktop functionality generate generation graphical gtk gui handle help helper high hook improved information install installation interface kernel level libraries line make manipulate necessary need non notification org package plugin policykit print problem process program provide python query report reporting script service shell simple small storage tool usage user virtual xorg
20,abrt-java-connector,系统,应用,agent capable convert exception java library nannan problem process provide transform
21,accel-config,应用,应用,config configuration configure device devices libraries library nannan subsystem utility
22,accountsservice,应用,核心,account application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query talk user want
23,acl,核心,核心,access contain control draft dynamic function library list manipulate nannan need package posix standard support utility
24,acpica-tools,系统,系统,advanced architecture assist basic binary code codes command comparison compiles complete component configuration contain contains content current data debug definition develop development directly display environment execution extract extraction file firmware following format help host implementation inclusion independent input instal integrate interface kernel language license machine manipulate message method nannan need operation order os output package performs portion power project provide purpose reference release resident small source space specific specification subsystem suitable table tables tool tree user version write
25,acpid,系统,核心,daemon event nannan program space user
26,adcli,应用,系统,active directory domain enrollment join kerberos ldap nannan standard tool
27,adobe-mappings-cmap,应用,其它,adobe application character chinese code collection contain contains correctly currently deprecate display encode form function ghostscript glyph japanese korean mean nannan package properly require resource sub text traditional unicode useful
28,adobe-mappings-pdf,应用,其它,adobe application character code different file function ghostscript mapping nannan properly resource share structure syntax type useful variety
29,adwaita-icon-theme,其它,其它,contain cursor design desktop gnome icon modern nannan originally package theme
30,adwaita-qt,应用,应用,application library nannan theme variant
31,alsa-firmware,系统,其它,alsa binary card contain firmware include loader nannan number package require sound supported tools
32,alsa-lib,系统,核心,advanced allow alsa application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide runtime simplify sound support universal
33,alsa-plugins,系统,其它,access allow alsa application apps backend channel control convert converter daemon determine device driver easy expand explicitly expose external gateway http input kind like mono nannan native network node number option output play plugin plugins pre process processing program protocol provide public pulseaudio rate record signal simple sound specific speex stream suite task type use using virtual word www
34,alsa-sof-firmware,系统,核心,binary contain debug file firmware open package project sound topology
35,alsa-tools,系统,其它,alsa available card certain contain firmware flash following loader nannan package second sound tool upload
36,alsa-utils,系统,应用,advanced alsa architecture audio basic command contain fast framework library line linux package sound test tool transform utility
37,amanda,应用,系统,administrator advanced allow archiver attach automatic backup basic capable client component contain core device disk drive dump facility file host include instal install large library machine master microsoft multiple native need network note number package program server single solution tape unix version workstation write
38,anaconda,系统,系统,anaconda boot contain core custom depend dependency disk dracut driver environment graphical gtk handle http include initial install installation installer interface list local main make module option package possible program pull runtime server setup specific task textual time user widget
39,anaconda-user-help,系统,其它,anaconda built content help nannan package provide
40,anolis-logos,核心,核心,anolis copying httpd icon licensed nannan picture related usage
41,anolis-release,核心,核心,anolis file package release repository signature
42,ansible-core,应用,其它,automatically based configuration daemon deployment driven execution extension instal language machine manage management model module multi nannan node remote require simple software task transfer work write
43,ansible-freeipa,应用,系统,address backup bin client cluster collection config configured controller currently deploy deployment distribution environment external features fedora freeipa group handle host install installation issue location management manager method mode modules nannan need node note package password permission plan privilege process processing properly record repair require restore role rule self separate server service sign simple start step support supported time topology trust user usr version work working zone
44,ant,应用,应用,allow apache application build built command compile core dependent drive extension file generally instance java known library line main mission nannan number pilot point process supply target task term test tool type usage
45,aom,应用,应用,alliance bandwidth capable commercial consistent contain content decoder deliver device encoder file flexible focus footprint format free generated generation hardware include internet library media modern nannan non open optimize optimized package quality real reference scalable time user video
46,apache-commons-cli,应用,应用,argument command easy interface java library line nannan option provide simple work
47,apache-commons-codec,应用,其它,attempt codec common commonly commons decoder encoders examples implementation include nannan provide urls
48,apache-commons-collections,应用,应用,access adapter apis array certain class closure collection commons component container core create custom data development easy fast feature implementation interface java leave method nannan need object package powerful programming property provides purpose quick ready reduce set special structure style test typical union utility
49,apache-commons-compress,应用,应用,apache bzip2 commons compress compressed decompression defines dump file form gzip java library nannan package read remove support unix version work
50,apache-commons-io,应用,应用,assist class commons contains develop file filter functionality implementation io library nannan stream utilities utility
51,apache-commons-jxpath,应用,其它,context defines expression graph include interpreter kind language nannan object servlet simple xpath
52,apache-commons-lang3,应用,应用,additionally apache artifact basic building change class commons compatibility component contain core create creation dedicate developer exception extra fail file help helper host java library manipulation method multiple nannan numerical object package property provide provides serialization series standard string structure support type utility version
53,apache-commons-logging,应用,应用,abstraction addition allow apache basic choose commons component developer difference heavily implementation interface log logging mean minimize nannan number org orient package particular provide runtime simple small standalone user want wrapper
54,apache-commons-net,应用,应用,abstraction access command develop fundamental internet java level library like miscellaneous nannan originally pop3 protocol provide purpose smtp suite support telnet time version
55,appstream-data,应用,其它,center distribution gnome metadata nannan package provide require software specific
56,apr,应用,核心,apache data form free include layer library mission nannan operate os portability portable possible provide routine runtime structure win32
57,apr-util,应用,系统,abstraction additional apache berkeley contain crypto data database driver free include interface ldap library mission mysql odbc openssl package parsing portable postgresql provide routine runtime sqlite structure support util utility
58,arpwatch,应用,核心,address automatically build certain change contain database device email ethernet install ip monitor monitoring nannan need network package pair report tool track traffic utility
59,asciidoc,应用,系统,base book command docbook document file format generation html markup nannan page short text translate unix write
60,aspell,应用,系统,checker come design dictionary english enhancement eventually feature good handle include independent language library main memory microsoft nannan open possible process replace shared spell technical word
61,aspell-en,应用,应用,dictionaries dictionary english following list nannan provides word
62,at,系统,核心,allows batch command control drop execute file input install instead level load nannan need note oriented package particular read shell specify standard time tools user utility
63,at-spi2-atk,系统,系统,access allows application assistive base based break bridge bus completely control essentially expose gtk include interact interface internals major module nannan package previous protocol query reader rewrite screen script technology tools transport version
64,at-spi2-core,系统,系统,access allows application assistive based break bus completely control daemon definition essentially expose gtk interact interface internals major nannan previous protocol query reader rewrite screen script technology tools transport version
65,atk,系统,系统,alternative application device graphical input interface interfaces library nannan provide reader screen support tool toolkit user
66,atkmm,系统,应用,callback class combine complex comprehensive create extensible freely highlights include inheritance interface library nannan provide quickly user widget
67,atlas,系统,系统,apply architecture automatically base binary bridge build compile configuration contain cpus documentation efficient effort good hardware implementation improvement information interface libraries library linear make nannan necessary obtain optimal optimization order package performance portable present project provide routine software source specific technique time variety
68,attr,核心,核心,attribute command compatible contain dynamic extend filesystem function irix library manage manipulate nannan object package particular provide support tool utilities
69,audit,核心,核心,application audit binding configure contain database directory dispatcher dynamic event facility forward framework generate incoming interface kernel later library libs like linux machine management need os package plugin plugins provide python3 real record relay remote search server service space store subsystem thing time tool user utility
70,augeas,应用,系统,change comment configuration control definition edit expose file format hard libraries library make parse preserve public read structure transformation tree work write
71,authselect,系统,核心,administrator approach authentication build case command common configuration configure design different feature file identity instead library line package potential potentially profile replacement ship solve source stack support test time tool use utility
72,autoconf,应用,系统,allow autoconf automatically build code configurable configuration configure create develop end generated generation instal install like makefiles nannan need note option package portable programmer require script shell software source specify tool user using various
73,autoconf-archive,系统,应用,archive autoconf cause collection contribute free friendly internet macro nannan software
74,autofs,应用,核心,automatically cd daemon filesystems floppy include later mount nannan network tool
75,autogen,应用,应用,automated base command consist document eliminate library line nannan nearly option parser parsing powerful process template time
76,automake,应用,系统,ability automatically coding compliant create develop file generate install like makefile makefiles nannan software standard standards tool
77,autotrace,应用,应用,bitmap convert format graphic include input nannan output postscript produce program supported utility vector
78,avahi,应用,核心,able address application automatic avahi binding central computer configuration contain convenient daemon dhcp discovery dynamic easy facilitate file glib gobject ietf implement intend ipv4 kind libraries library libs link local macos mean need network package people plug primarily print printer program protocol python3 range run server service share technology time view wrapper
79,awscli,应用,应用,amazon command environment interface line nannan package provide services unified universal
80,babel,应用,系统,access application build catalog common compose data date display formatting gettext interface internationalize library locale major message nannan number provide python repository tool various work
81,babeltrace,应用,系统,allow common conversion converter create format library nannan plugin project provide read trace write
82,babl,应用,应用,buffer conversion creation dynamic exist facilitate format help image library nannan pixel provide store type
83,bacula,应用,系统,allow alternative architecture backup base basic catalog client command common computer console contain daemon data device different drive file library line manage management network package preferred program receive recovery script select server storage tape verification write
84,baobab,应用,系统,able analyzer auto branch change device directory filesystem graphical home include make nannan order real representation scan size specific time tree user
85,basesystem,核心,核心,basic component define example installation nannan order package remove simple
86,bash,核心,核心,bash command compatible feature incorporate interpreter language modification nannan script shell useful
87,bash-completion,应用,应用,advantage bash collection completion feature function nannan programmable shell
88,bc,系统,系统,arbitrary arithmetic base calculator capability handling include install interactive language like mode nannan need number package precision processing stack text
89,bcc,应用,系统,analysis berkeley binding collection command compiler control create easy ebpf efficient example extend feature include instrumentation kernel know line linux llvm make manipulation network packet performance program python python3 suit task tool toolkit trace traffic useful wrapper write
90,bind,系统,核心,application berkeley bind build contain dhcp domain export implementation internet library libs nannan package version
91,bind9.16,系统,系统,16 address application based berkeley bind code collection contain contains domain environment file host implementation include information install interfacing internet libraries library license need network operate package program properly provide query resolve resolver routine runtime server suite tool tree utilities utility utils verify version
92,binutils,系统,系统,address archive assembler binary binutils collection content convert copying create data detailed discard display extract family file generate graph include index information line linker list modify nannan objdump object printable profile readelf section size string strip symbol translate utility
93,biosdevname,系统,应用,argument bios device directly form helper kernel label names nannan necessary return simple udev
94,bison,应用,系统,able available binary calculator change compatible complex contain context convert correctly depend description develop development ensure file free general generate generated generator grammar information install internationalization know lalr language manual nannan need package packages parse parser program programming purpose range runtime section simple support wide work write yacc
95,bitmap-fonts,其它,其它,anaconda bitmap compatibility contain convert design encode family file font fonts instal intend location meta native number package provide select terminal xorg
96,blktrace,系统,系统,block collect data detailed event format gather include information install kernel layer linux mechanism nannan need operation package pattern perform provide queue request space trace user utilities utility
97,bluez,系统,核心,adapter application automatically bluetooth button configuration connect contact contain content daemon device example exchange file function include instal install keyboard libraries like make manual mobile mode mouse need note object package pair phone regular require rule script share ship start support switch udev utilities utility want work
98,blur-effect,应用,应用,draw graphic hardware library picture pretty
99,bogofilter,应用,系统,algorithm analysis berkeley check code design directly email fast filter filtering good include indicate input list mail message mode nannan normal operation process production return site speed standard status text tune word
100,bolt,应用,核心,automatically bus command connect control daemon database device different enrollment introduce line list local manage manager mode nannan perform previously remove require security signal store task tool
101,boom-boot,系统,核心,boot bootloader compatible configuration entry file function integration library linux loader manage manager module package patch project provide python3 require script specification support systemd tool
