name,label,summary,description,predict
389-ds-base,系统, 389 Directory Server (base)," 389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration.",系统
389-ds-base-legacy-tools,系统, Legacy utilities for 389 Directory Server," Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools.",系统
389-ds-base-snmp,系统, SNMP Agent for 389 Directory Server, SNMP Agent for the 389 Directory Server base package.,应用
liba52,系统," A free ATSC A/52 stream decoder, also known as AC-3 or AC3"," liba52 is a free library for decoding ATSC A/52 streams. The A/52
standard is used in a variety of applications, including digital
television and DVD. It is also known as AC-3 or AC3",应用
abrt-addon-ccpp,应用, abrt's C/C++ addon, This package contains abrt's C/C++ analyzer plugin.,应用
abrt-addon-kerneloops,应用, abrt's kerneloops addon," This package contains plugin for collecting kernel crash information from
system log.",应用
abrt-addon-pstoreoops,应用, abrt's pstore oops addon, This package contains plugin for collecting kernel oopses from pstore storage.,应用
abrt-addon-vmcore,应用, abrt's vmcore addon," This package contains plugin for collecting kernel crash information from
vmcore files.",应用
abrt-cli,应用, Virtual package to make easy default installation on non-graphical environments," Virtual package to install all necessary packages for usage from command line
environment.",应用
abrt-desktop,应用, Virtual package to make easy default installation on desktop environments," Virtual package to install all necessary packages for usage from desktop
environment.",应用
abrt-libs,应用, Libraries for abrt, Libraries for abrt.,应用
abrt-plugin-machine-id,应用, abrt's plugin to generate machine_id based off dmidecode," This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events.",应用
python3-abrt-addon,应用, abrt's addon for catching and analyzing Python 3 exceptions," This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs.",应用
acl,核心, Access control list utilities," This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.",系统
adcli,应用,Active Directory enrollment ,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls. ",应用
adobe-mappings-pdf,应用, PDF mapping resources from Adobe," Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly.",应用
adwaita-qt5,应用, Adwaita Qt5 theme, Adwaita theme variant for applications utilizing Qt5.,应用
aide,应用, Intrusion detection environment," AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program.",系统
alsa-lib,系统, The Advanced Linux Sound Architecture (ALSA) library," The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs.",系统
alsa-plugins-maemo,系统, Maemo plugin for ALSA," This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes.",系统
alsa-plugins-upmix,系统, Upmixer channel expander plugin for ALSA," The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option.",系统
alsa-plugins-vdownmix,系统, Downmixer to stereo plugin for ALSA," The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround"".",系统
alsa-tools-firmware,系统, ALSA tools for uploading firmware to some soundcards," This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards",应用
annobin,应用, Annotate and examine compiled binary files," Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package.",系统
anolis-indexhtml,核心,Browser default start page for Anolis OS ,"The anolis-indexhtml package provides a welcome page shown by a web browser
after successful installation of Anolis OS.

This web page advises users on how to register their Anolis OS software and how
to get any support they might need. ",核心
anolis-backgrounds,核心, Anolis OS related desktop backgrounds," Licensed only for approved usage, see COPYING for details.",应用
anolis-logos,核心,Anolis OS related icons and pictures ,"Licensed only for approved usage, see COPYING for details. ",核心
anolis-logos-ipa,核心, Anolis OS related icons and pictures used by ipa," Licensed only for approved usage, see COPYING for details.",核心
