idx1,idx2
0,68
0,112
0,115
1,68
1,119
2,5
2,91
3,5
5,53
5,68
5,193
6,68
6,109
6,118
6,120
6,199
7,5
7,13
7,68
7,91
7,130
7,167
7,311
8,68
9,5
9,80
9,202
9,203
9,283
11,12
12,10
12,11
13,68
13,160
13,162
13,261
14,67
14,68
14,130
14,292
15,68
16,11
16,282
17,68
17,112
17,115
17,118
17,160
18,68
19,5
19,53
19,68
19,74
19,91
19,188
19,311
20,5
20,68
20,86
20,311
21,20
22,68
22,77
22,146
22,151
22,160
22,195
22,263
24,5
24,23
24,256
25,34
25,68
25,99
25,116
25,174
25,199
26,68
26,123
26,199
26,311
27,68
27,109
27,120
27,124
27,176
28,30
28,291
30,1
30,5
30,29
30,31
30,32
30,50
30,68
30,119
30,160
30,292
31,68
31,292
32,31
32,68
32,292
33,5
33,34
33,68
33,160
33,162
33,291
33,292
33,301
34,33
34,68
34,160
34,162
34,292
35,5
35,6
35,17
35,36
35,37
35,59
35,68
35,80
35,92
35,93
35,96
35,109
35,118
35,119
35,120
35,199
35,283
35,291
35,292
37,68
37,292
38,5
38,68
38,91
39,5
39,264
40,157
41,5
41,17
41,18
41,53
41,54
41,68
41,80
41,86
41,106
41,107
41,130
41,137
41,262
41,283
41,291
41,294
41,301
41,308
42,5
42,35
42,41
42,93
42,96
43,5
43,41
43,290
44,46
44,47
44,68
44,123
46,68
46,311
47,8
47,45
47,46
47,68
47,181
47,309
47,311
49,68
49,141
50,68
51,52
51,68
51,311
52,68
52,311
54,5
54,68
54,91
54,160
56,57
56,58
56,68
56,106
56,130
57,55
57,68
58,68
59,53
59,68
59,74
59,163
59,188
59,275
60,5
60,7
60,68
60,74
60,91
60,130
60,132
60,188
60,311
61,62
61,68
61,193
61,275
62,68
65,5
65,66
65,67
65,68
65,91
65,122
65,130
65,132
65,171
65,179
65,193
66,67
66,68
66,122
66,130
66,132
66,167
66,171
66,179
66,193
67,5
67,68
67,77
67,129
67,130
67,144
67,160
67,207
67,311
68,69
69,5
69,68
69,160
69,299
70,5
70,68
70,130
71,68
72,68
72,69
73,68
73,69
74,68
75,5
75,8
75,68
75,77
75,114
75,131
75,133
75,138
75,172
75,196
75,197
75,275
75,289
75,311
76,68
76,75
76,114
76,131
76,133
76,138
76,275
77,23
77,68
77,74
77,135
77,168
77,171
77,194
77,202
77,203
78,68
78,75
78,114
78,133
79,68
80,5
80,68
80,91
80,207
81,5
81,68
81,130
81,167
81,283
82,5
83,5
83,34
83,51
83,65
83,68
83,82
83,201
83,280
83,306
83,309
84,5
84,34
84,65
84,68
84,82
84,309
85,5
85,54
85,68
85,83
85,84
85,280
85,301
86,5
86,17
86,68
86,91
87,68
87,208
88,5
88,68
90,68
90,105
90,199
90,296
91,5
91,68
91,193
91,311
92,68
93,5
93,46
93,68
93,117
93,124
93,141
93,160
94,5
94,68
94,95
94,141
94,147
94,148
94,149
94,153
95,68
95,153
96,5
96,68
96,118
96,135
96,199
96,291
97,68
97,74
98,68
99,68
100,5
100,68
100,101
100,102
100,204
104,5
104,8
104,41
104,42
104,43
104,46
104,47
104,49
104,68
104,130
104,184
104,193
104,288
104,291
104,309
104,311
105,68
106,5
106,68
106,130
106,199
106,309
106,311
107,68
107,130
107,199
107,309
107,311
108,5
108,34
108,68
109,5
109,17
109,23
109,59
109,68
109,80
109,105
109,120
109,160
109,175
109,199
109,283
111,5
111,68
111,193
112,68
112,115
113,8
113,68
113,112
113,179
113,181
113,183
113,199
113,309
113,311
114,68
114,133
115,68
116,68
116,174
117,46
117,68
117,311
118,68
119,68
120,68
121,50
121,68
121,179
121,311
122,67
122,68
122,179
123,68
123,109
123,120
123,150
123,199
123,311
124,68
124,199
125,68
125,124
125,199
126,67
126,68
126,78
126,99
126,130
126,133
126,142
126,156
126,165
126,166
126,167
126,199
126,280
126,289
127,68
127,199
