idx,name
0,acl
1,audit-libs
2,autoconf
3,automake
4,basesystem
5,bash
6,bind-export-libs
7,binutils
8,bzip2-libs
9,ca-certificates
10,centos-gpg-keys
11,centos-linux-release
12,centos-linux-repos
13,chkconfig
14,conmon
15,containernetworking-plugins
16,containers-common
17,coreutils-single
18,cpio
19,cpp
20,cracklib
21,cracklib-dicts
22,criu
23,crypto-policies
24,crypto-policies-scripts
25,cryptsetup-libs
26,curl
27,cyrus-sasl-lib
28,dbus
29,dbus-common
30,dbus-daemon
31,dbus-libs
32,dbus-tools
33,device-mapper
34,device-mapper-libs
35,dhcp-client
36,dhcp-common
37,dhcp-libs
38,diffutils
39,dnf
40,dnf-data
41,dracut
42,dracut-network
43,dracut-squash
44,elfutils-debuginfod-client
45,elfutils-default-yama-scope
46,elfutils-libelf
47,elfutils-libs
48,emacs-filesystem
49,ethtool
50,expat
51,file
52,file-libs
53,filesystem
54,findutils
55,fuse-common
56,fuse-overlayfs
57,fuse3
58,fuse3-libs
59,gawk
60,gcc
61,gdbm
62,gdbm-libs
63,geolite2-city
64,geolite2-country
65,gettext
66,gettext-libs
67,glib2
68,glibc
69,glibc-common
70,glibc-devel
71,glibc-headers
72,glibc-langpack-en
73,glibc-minimal-langpack
74,gmp
75,gnupg2
76,gnupg2-smime
77,gnutls
78,gpgme
79,gpm-libs
80,grep
81,groff-base
82,grub2-common
83,grub2-tools
84,grub2-tools-minimal
85,grubby
86,gzip
87,hardlink
88,hostname
89,hwdata
90,ima-evm-utils
91,info
92,ipcalc
93,iproute
94,iptables
95,iptables-libs
96,iputils
97,isl
98,jansson
99,json-c
100,kbd
101,kbd-legacy
102,kbd-misc
103,kernel-headers
104,kexec-tools
105,keyutils-libs
106,kmod
107,kmod-libs
108,kpartx
109,krb5-libs
110,langpacks-en
111,less
112,libacl
113,libarchive
114,libassuan
115,libattr
116,libblkid
117,libbpf
118,libcap
119,libcap-ng
120,libcom_err
121,libcomps
122,libcroco
123,libcurl-minimal
124,libdb
125,libdb-utils
126,libdnf
127,libevent
128,libfdisk
129,libffi
130,libgcc
131,libgcrypt
132,libgomp
133,libgpg-error
134,libibverbs
135,libidn2
136,libkcapi
137,libkcapi-hmaccalc
138,libksba
139,libmaxminddb
140,libmetalink
141,libmnl
142,libmodulemd
143,libmodulemd1
144,libmount
145,libmpc
146,libnet
147,libnetfilter_conntrack
148,libnfnetlink
149,libnftnl
150,libnghttp2
151,libnl3
152,libnsl2
153,libpcap
154,libpkgconf
155,libpwquality
156,librepo
157,libreport-filesystem
158,libseccomp
159,libsecret
160,libselinux
161,libsemanage
162,libsepol
163,libsigsegv
164,libslirp
165,libsmartcols
166,libsolv
167,libstdc++
168,libtasn1
169,libtirpc
170,libtool
171,libunistring
172,libusbx
173,libutempter
174,libuuid
175,libverto
176,libxcrypt
177,libxcrypt-devel
178,libxkbcommon
179,libxml2
180,libyaml
181,libzstd
182,lua-libs
183,lz4-libs
184,lzo
185,m4
186,make
187,memstrack
188,mpfr
189,ncurses
190,ncurses-base
191,ncurses-c++-libs
192,ncurses-devel
193,ncurses-libs
194,nettle
195,nftables
196,npth
197,openldap
198,openssl
199,openssl-libs
200,openssl-pkcs11
201,os-prober
202,p11-kit
203,p11-kit-trust
204,pam
205,pciutils
206,pciutils-libs
207,pcre
208,pcre2
209,perl-Carp
210,perl-Data-Dumper
211,perl-Digest
212,perl-Digest-MD5
213,perl-Encode
214,perl-Errno
215,perl-Exporter
216,perl-File-Path
217,perl-File-Temp
218,perl-Getopt-Long
219,perl-HTTP-Tiny
220,perl-IO
221,perl-IO-Socket-IP
222,perl-IO-Socket-SSL
223,perl-MIME-Base64
224,perl-Mozilla-CA
225,perl-Net-SSLeay
226,perl-PathTools
227,perl-Pod-Escapes
228,perl-Pod-Perldoc
229,perl-Pod-Simple
230,perl-Pod-Usage
231,perl-Scalar-List-Utils
232,perl-Socket
233,perl-Storable
234,perl-Term-ANSIColor
235,perl-Term-Cap
236,perl-Text-ParseWords
237,perl-Text-Tabs+Wrap
238,perl-Thread-Queue
239,perl-Time-Local
240,perl-URI
241,perl-Unicode-Normalize
242,perl-constant
243,perl-interpreter
244,perl-libnet
245,perl-libs
246,perl-macros
247,perl-parent
248,perl-podlators
249,perl-threads
250,perl-threads-shared
251,pigz
252,pinentry
253,pkgconf
254,pkgconf-m4
255,pkgconf-pkg-config
256,platform-python
257,platform-python-pip
258,platform-python-setuptools
259,podman
260,podman-catatonit
261,popt
262,procps-ng
263,protobuf-c
264,python3-dnf
265,python3-gpg
266,python3-hawkey
267,python3-libcomps
268,python3-libdnf
269,python3-libs
270,python3-pip-wheel
271,python3-rpm
272,python3-setuptools-wheel
273,python3-unbound
274,rdma-core
275,readline
276,readline-devel
277,rootfiles
278,rpm
279,rpm-build-libs
280,rpm-libs
281,rpm-plugin-systemd-inhibit
282,runc
283,sed
284,setup
285,shadow-utils
286,shared-mime-info
287,slirp4netns
288,snappy
289,sqlite-libs
290,squashfs-tools
291,systemd
292,systemd-libs
293,systemd-pam
294,systemd-udev
295,tar
296,tpm2-tss
297,trousers
298,trousers-lib
299,tzdata
300,unbound-libs
301,util-linux
302,vim-common
303,vim-enhanced
304,vim-filesystem
305,vim-minimal
306,which
307,xkeyboard-config
308,xz
309,xz-libs
310,yum
311,zlib
312,zlib-devel
