idx1,idx2
5,6
6,7
7,3
7,8
8,3
8,9
9,6
9,10
9,8
10,6
11,6
11,12
11,9
12,6
12,13
12,9
13,6
14,6
14,15
14,16
15,6
15,5
15,11
17,6
17,18
17,19
17,9
18,6
18,5
18,21
18,22
18,10
18,23
18,24
18,25
18,9
19,6
19,10
19,20
19,9
21,6
21,9
22,18
22,30
22,6
22,5
22,31
22,11
22,32
22,33
22,34
22,35
22,36
22,37
22,38
22,23
22,27
22,39
22,29
22,12
22,40
22,25
22,9
23,6
24,6
25,6
25,10
25,26
25,27
25,28
25,29
26,6
27,6
29,6
29,28
30,6
30,29
30,9
31,6
33,6
33,47
33,48
33,49
33,50
33,51
33,9
34,6
34,43
35,6
36,6
36,41
36,42
36,43
36,44
36,34
36,26
36,45
40,22
41,6
41,46
42,6
42,26
42,20
42,9
43,6
43,20
44,6
46,6
47,6
48,6
48,51
49,6
50,6
50,49
50,51
51,6
52,6
53,52
53,18
53,6
53,54
53,9
54,6
57,53
57,18
57,22
57,58
57,59
57,60
57,40
57,9
58,22
58,6
58,63
58,64
58,65
58,66
58,40
58,9
59,6
59,61
59,19
59,62
59,26
59,8
60,6
60,51
61,6
62,6
62,26
63,6
63,58
63,65
64,6
64,5
65,6
65,5
65,13
65,18
65,36
65,46
65,9
66,6
67,22
67,6
67,9
68,18
68,22
68,6
68,58
68,65
68,9
69,6
69,29
69,9
71,6
71,5
71,72
71,55
71,9
71,25
72,6
72,73
74,6
74,5
74,75
74,11
74,32
75,6
77,6
78,6
79,6
79,15
79,65
79,25
79,9
80,6
80,9
81,22
81,6
81,82
81,5
81,18
81,83
81,84
81,9
82,6
82,85
82,29
82,25
82,9
83,6
84,6
84,5
85,6
86,9
87,22
87,6
87,15
87,70
87,84
87,9
90,6
90,10
90,22
91,6
91,22
91,9
92,6
92,22
92,9
93,6
93,10
93,94
93,35
93,65
93,95
93,9
94,6
94,35
94,65
95,6
95,35
96,6
96,5
97,6
97,1
97,9
98,6
98,99
98,85
98,65
99,6
99,85
99,72
99,65
99,23
100,6
100,18
100,10
100,19
100,9
101,18
101,22
101,6
101,12
101,25
101,9
101,30
102,14
102,52
102,18
102,69
102,22
102,30
102,6
102,97
102,5
102,15
102,103
102,11
102,16
102,65
102,104
102,23
102,105
102,12
102,25
102,9
103,6
103,107
103,108
104,52
104,6
105,6
105,51
105,37
105,106
105,9
106,6
108,6
108,18
108,104
109,6
109,5
109,23
109,18
109,9
111,6
113,6
113,33
113,19
113,48
113,51
113,114
113,26
113,9
114,6
116,6
116,78
116,85
117,22
117,6
117,18
117,19
117,65
117,36
117,84
117,40
117,9
118,22
118,119
118,25
118,9
119,11
119,18
119,22
119,30
119,6
119,90
119,120
119,121
119,12
119,122
119,8
119,123
119,25
119,9
120,22
120,6
121,6
121,25
121,9
122,6
122,9
123,6
124,6
124,5
124,125
124,126
124,127
124,121
124,128
124,12
124,25
124,9
125,6
126,6
126,10
126,19
127,6
127,10
127,9
129,22
129,6
129,19
129,18
129,130
129,131
129,9
130,6
131,6
131,66
131,130
132,6
135,6
136,0
136,6
137,6
138,6
138,22
139,6
139,140
140,6
141,6
141,142
142,6
143,6
144,6
144,5
144,107
144,108
144,45
145,6
145,4
145,5
145,15
145,11
145,39
146,6
146,18
148,6
148,15
148,149
148,35
148,65
148,84
149,6
149,35
149,95
149,150
150,6
150,5
150,138
150,76
150,19
150,111
150,72
150,151
150,35
150,36
150,39
150,95
150,9
151,6
151,35
152,6
152,153
153,6
153,5
153,121
153,9
154,6
154,43
154,34
155,6
156,6
156,5
157,6
157,103
158,6
158,65
160,6
160,66
161,6
162,6
162,139
162,143
162,140
162,72
163,6
163,22
163,65
164,6
165,6
165,10
166,6
167,6
167,15
167,65
168,6
168,5
168,15
168,66
169,6
169,4
169,5
169,15
169,11
169,32
169,39
169,29
172,6
172,9
173,6
174,6
174,110
174,10
174,65
174,24
174,9
175,22
175,6
175,34
175,27
175,9
176,6
176,9
177,6
177,5
177,10
177,9
178,6
179,18
179,22
179,3
179,6
179,90
179,85
179,65
179,12
179,59
179,122
179,8
179,25
179,9
180,6
180,9
181,6
182,6
182,31
183,6
183,136
183,65
183,184
183,9
184,6
184,5
184,156
184,39
184,9
185,6
185,65
185,184
185,9
186,18
186,6
186,187
186,122
186,9
187,52
187,188
187,189
187,119
188,6
188,15
188,43
188,10
188,65
188,167
188,20
188,9
189,6
189,5
190,6
190,65
190,46
192,6
192,18
192,184
192,66
192,12
192,25
192,9
194,6
194,9
196,6
196,20
196,9
199,6
199,65
199,66
199,40
200,30
200,9
201,22
201,30
201,6
201,25
201,9
202,6
202,85
203,6
204,6
204,5
204,156
204,65
204,184
205,6
206,6
206,5
206,97
208,6
208,85
208,9
