idx,name
0,"""xkeyboard-config"""
1,hwdata
2,tzdata
3,setup
4,zstd
5,zlib
6,glibc
7,basesystem
8,filesystem
9,bash
10,ncurses
11,xz
12,grep
13,pcre
14,xmlsec1
15,libxml2
16,libtool
17,xfsprogs
18,"""util-linux"""
19,readline
20,texinfo
21,libutempter
22,systemd
23,libxcrypt
24,"""libcap-ng"""
25,coreutils
26,gmp
27,libcap
28,attr
29,acl
30,sed
31,pcre2
32,lz4
33,iptables
34,libidn2
35,"""libgpg-error"""
36,gnutls
37,elfutils
38,cryptsetup
39,bzip2
40,dbus
41,"""p11-kit"""
42,nettle
43,libunistring
44,libtasn1
45,"""crypto-policies"""
46,libffi
47,libpcap
48,libnftnl
49,libnfnetlink
50,libnetfilter_conntrack
51,libmnl
52,which
53,"""virt-what"""
54,dmidecode
55,vim
56,unbound
57,tuned
58,polkit
59,gawk
60,ethtool
61,libsigsegv
62,mpfr
63,"""polkit-pkla-compat"""
64,mozjs60
65,glib2
66,expat
67,trousers
68,timedatex
69,tar
70,sysfsutils
71,sudo
72,openldap
73,"""cyrus-sasl"""
74,"""squashfs-tools"""
75,lzo
76,sqlite
77,snappy
78,slang
79,"""shared-mime-info"""
80,sg3_utils
81,rsyslog
82,logrotate
83,libfastjson
84,curl
85,popt
86,rootfiles
87,"""rng-tools"""
88,pyOpenSSL
89,pycairo
90,"""procps-ng"""
91,prefixdevname
92,plymouth
93,pinentry
94,libsecret
95,libassuan
96,pigz
97,pciutils
98,passwd
99,libuser
100,parted
101,"""os-prober"""
102,"""open-vm-tools"""
103,libtirpc
104,fuse
105,iproute
106,libdb
107,krb5
108,e2fsprogs
109,openssh
110,numactl
111,npth
112,nghttp2
113,nftables
114,jansson
115,"""nfs-utils"""
116,newt
117,NetworkManager
118,microcode_ctl
119,dracut
120,libkcapi
121,gzip
122,findutils
123,cpio
124,"""man-db"""
125,libpipeline
126,gdbm
127,less
128,groff
129,lvm2
130,libaio
131,"""device-mapper-persistent-data"""
132,lsscsi
133,lshw
134,"""linux-firmware"""
135,libyaml
136,libxkbcommon
137,libverto
138,libusbx
139,libtevent
140,libtalloc
141,libteam
142,libnl3
143,libtdb
144,libssh
145,libsolv
146,libSM
147,libreport
148,librepo
149,gpgme
150,gnupg2
151,libksba
152,libpwquality
153,cracklib
154,libpsl
155,libproxy
156,libpng
157,libnsl2
158,libnotify
159,lbibndp
160,libmetalink
161,libmaxminddb
162,libldb
163,libgudev
164,libevent
165,libedit
166,libdaemon
167,libcroco
168,libcomps
169,libarchive
170,langpacks
171,keyutils
172,kbd
173,"""json-c"""
174,irqbalance
175,iputils
176,ipset
177,iprutils
178,ipcalc
179,initscripts
180,hostname
181,hdparm
182,hardlink
183,gtk3
184,freetype
185,gtk2
186,grubby
187,grub2
188,gettext
189,file
190,"""gobject-introspection"""
191,fontpackages
192,fontconfig
193,emacs
194,ebtables
195,"""ding-libs"""
196,diffutils
197,dhcp
198,"""device-mapper-multipath"""
199,"""dbus-glib"""
200,crontabs
201,cronie
202,chkconfig
203,"""c-ares"""
204,cairo
205,brotli
206,biosdevname
207,bind
208,authselect
