pkg_name,desc_keyword,pagerank,in_degree,out_degree,label
acl,"[('utility', '1.0120436277663654'), ('need', '1.0120436277663654'), ('setfacl', '0.8995894517555412'), ('manipulate', '0.8995894517555412'), ('getfacl', '0.7901584707653591')]",0.000479233,0,3,system_tool
audit-libs,"[('need', '1.6659671603825494'), ('contain', '1.0973101236555483'), ('library', '1.0162893730003877'), ('utility', '0.9884621440921622'), ('package', '0.9866937311608447')]",0.000479233,11,2,unknown
autoconf,"[('package', '3.0775741279297635'), ('autoconf', '2.401143224288149'), ('need', '2.0522571313181337'), ('create', '1.5082617765935458'), ('configure', '1.4093125100305954')]",0.000479233,0,2,unknown
automake,"[('package', '2.9987543938041723'), ('autoconf', '2.282498820351472'), ('need', '2.023345025441457'), ('software', '1.4817321709050641'), ('create', '1.4356906886858787')]",0.000479233,0,1,unknown
basesystem,"[('package', '3.838966345751955'), ('autoconf', '2.3457670121895515'), ('need', '2.0730527601386837'), ('software', '1.523050737038711'), ('system', '1.4791988065891408')]",0.000479233,0,0,basic_kernel
bash,"[('package', '3.8685043677815574'), ('autoconf', '2.380825672627437'), ('need', '2.0789788202600175'), ('shell', '1.9874597773386784'), ('script', '1.7644635036381018')]",0.000479233,72,3,system_tool
bind-export-libs,"[('package', '4.092832260610602'), ('autoconf', '2.3605926784488833'), ('need', '2.024022618621342'), ('shell', '1.982440461683563'), ('system', '1.9475505962428052')]",0.000479233,1,5,unknown
binutils,"[('package', '3.9871727732056983'), ('file', '3.0286960520380948'), ('autoconf', '2.29038766838116'), ('create', '2.1398201118686933'), ('archive', '1.9610598594091109')]",0.000479233,1,7,kernel_tool
bzip2-libs,"[('package', '4.001784154319528'), ('file', '3.0293295305981567'), ('autoconf', '2.2943183863053345'), ('create', '2.141915340282026'), ('archive', '1.9617404256264113')]",0.000479233,13,1,unknown
ca-certificates,"[('package', '4.310832018132287'), ('file', '3.029160353298302'), ('autoconf', '2.294715700031875'), ('create', '2.142025485084377'), ('archive', '1.9615632787437483')]",0.000479233,3,5,system_tool
centos-gpg-keys,"[('package', '4.6489035500361355'), ('file', '3.059188046249013'), ('autoconf', '2.3274633607818562'), ('create', '2.1709748466447074'), ('archive', '1.9821380172221401')]",0.000479233,1,0,unknown
centos-linux-release,"[('package', '4.639847943687105'), ('file', '3.4522727969041185'), ('autoconf', '2.3286945723181676'), ('create', '2.1737314049427994'), ('archive', '1.9962610837577994')]",0.001232827,3,1,unknown
centos-linux-repos,"[('package', '4.871749393787764'), ('file', '3.7078378474456217'), ('autoconf', '2.3202963220918216'), ('create', '2.1668640572836115'), ('archive', '1.991352107856997')]",0.000886581,1,2,unknown
chkconfig,"[('package', '4.8026540195194185'), ('file', '3.7074371775214305'), ('system', '3.3218746033025135'), ('autoconf', '2.3108256693001734'), ('create', '2.15755812832672')]",0.000479233,4,4,system_tool
conmon,"[('package', '4.802623906732162'), ('file', '3.707413872926615'), ('system', '3.321855154422649'), ('autoconf', '2.3108107977635943'), ('create', '2.1575439993242225')]",0.000479233,1,4,unknown
containernetworking-plugins,"[('package', '4.7004589432133965'), ('file', '3.654522351676448'), ('system', '3.25458586075829'), ('autoconf', '2.288579175670242'), ('library', '2.1536191750421705')]",0.000479233,1,1,unknown
containers-common,"[('package', '4.870304356874059'), ('file', '4.57311682732214'), ('system', '3.238717686521025'), ('container', '2.697723162351691'), ('autoconf', '2.2519663089112933')]",0.000479233,1,2,unknown
coreutils-single,"[('package', '5.272110242104958'), ('file', '4.5751179569245'), ('system', '3.241956577670724'), ('container', '2.6983541774619204'), ('autoconf', '2.253631393029842')]",0.000479233,7,5,unknown
cpio,"[('file', '6.479514632377934'), ('package', '5.274157163752688'), ('archive', '4.119944890886592'), ('system', '3.225523953028443'), ('binary', '2.7308410472951')]",0.000479233,1,1,app_tool
cpp,"[('file', '7.5049544968660555'), ('package', '5.170600496411346'), ('archive', '4.020161226065624'), ('program', '3.2666080432616993'), ('system', '3.149677370543381')]",0.000479233,0,7,unknown
cracklib,"[('file', '7.488564143520798'), ('package', '5.630488500697896'), ('program', '4.3306367388894556'), ('archive', '4.016319871690982'), ('password', '3.1693410841009557')]",0.000479233,3,4,system_lib
cracklib-dicts,"[('file', '7.4459245933239675'), ('package', '5.6853888590412'), ('program', '4.279158669702791'), ('archive', '3.9912293751699908'), ('system', '3.6417741288920156')]",0.000479233,1,1,unknown
criu,"[('file', '7.398389666305588'), ('package', '5.666367403678424'), ('program', '4.25906010326889'), ('archive', '3.984342290061659'), ('system', '3.6364809140113006')]",0.00129393,1,7,unknown
crypto-policies,"[('file', '7.72086063521751'), ('package', '5.735861609311565'), ('program', '4.2486163218823645'), ('archive', '3.9798640017190268'), ('system', '3.63230508185269')]",0.000479233,4,0,system_tool
crypto-policies-scripts,"[('file', '7.8855026332617'), ('package', '6.647673106665899'), ('program', '4.197857374996925'), ('system', '4.164974217754073'), ('archive', '3.9633284781187728')]",0.000479233,0,3,unknown
cryptsetup-libs,"[('file', '7.894428782130557'), ('package', '6.862496816387017'), ('program', '4.202080339358242'), ('system', '4.1695018558782'), ('archive', '3.965900551602755')]",0.000479233,2,6,unknown
curl,"[('file', '9.377227905649036'), ('package', '6.808004553298422'), ('program', '4.187695397187446'), ('system', '4.154622411920173'), ('archive', '3.925048320358423')]",0.000479233,1,4,system_lib
cyrus-sasl-lib,"[('file', '9.377480400701348'), ('package', '6.990550809404397'), ('program', '4.18830253990937'), ('system', '4.156324352227854'), ('archive', '3.9244623446033384')]",0.000479233,1,5,unknown
dbus,"[('file', '9.379428061415357'), ('package', '6.995499049663095'), ('system', '4.605748014610334'), ('program', '4.189115396855687'), ('archive', '3.924745987321118')]",0.001579073,1,2,kernel_service
dbus-common,"[('file', '9.673193947368858'), ('package', '7.131039238322862'), ('system', '4.683030992893686'), ('program', '4.170071603234762'), ('archive', '3.912093801014831')]",0.000479233,1,0,unknown
dbus-daemon,"[('file', '9.673193947368858'), ('package', '7.131039238322862'), ('system', '4.683030992893686'), ('program', '4.170071603234762'), ('archive', '3.912093801014831')]",0.00129393,1,10,unknown
dbus-libs,"[('file', '9.638956942108418'), ('package', '7.273911471422611'), ('system', '4.662008781595292'), ('program', '4.162385427477485'), ('archive', '3.905580859233954')]",0.000479233,3,2,unknown
dbus-tools,"[('file', '9.632665543955753'), ('package', '7.267739235853381'), ('system', '4.647163193466498'), ('program', '4.160433174811443'), ('archive', '3.904155569233094')]",0.000479233,1,3,unknown
device-mapper,"[('file', '9.630254135418792'), ('package', '7.436910595265159'), ('system', '4.648862150644425'), ('program', '4.159897567084304'), ('contain', '3.9057384159446933')]",0.000479233,2,8,unknown
device-mapper-libs,"[('file', '9.628004381560718'), ('package', '7.613219259652392'), ('system', '4.6463657575807495'), ('contain', '4.181387862275387'), ('program', '4.159023069139087')]",0.000479233,5,5,unknown
dhcp-client,"[('file', '9.582737777914776'), ('package', '7.765625146449866'), ('system', '4.631117115252466'), ('contain', '4.145793414767198'), ('program', '4.1445363818616086')]",0.002108626,1,19,unknown
dhcp-common,"[('file', '9.742674051552447'), ('package', '7.8356817866318'), ('system', '4.626808505776221'), ('program', '4.141798726327174'), ('contain', '4.132744286235769')]",0.000479233,1,0,unknown
dhcp-libs,"[('file', '9.713164917145956'), ('package', '7.767200476778189'), ('system', '4.615033474594918'), ('contain', '4.271003883814486'), ('program', '4.134366628689218')]",0.000479233,1,2,unknown
diffutils,"[('file', '11.480733364140843'), ('package', '7.745252783312351'), ('contain', '4.773665320257916'), ('system', '4.613183388627618'), ('program', '4.123943762533561')]",0.000479233,0,3,app_tool
dnf,"[('file', '11.458377085171616'), ('package', '7.801525680829112'), ('contain', '4.7723891111282875'), ('system', '4.74434225508421'), ('program', '4.101766903799108')]",0.003500739,1,2,unknown
dnf-data,"[('file', '11.513349771273'), ('package', '7.793757290125754'), ('contain', '4.766436356960899'), ('system', '4.74152283931867'), ('program', '4.098935029321894')]",0.000886581,1,1,unknown
dracut,"[('file', '11.50300703751155'), ('package', '8.156090705293865'), ('contain', '5.520583438161395'), ('system', '4.744720329152015'), ('program', '4.096084670366938')]",0.002454872,3,18,kernel_tool
dracut-network,"[('file', '11.452642995272633'), ('package', '8.17348402286754'), ('contain', '5.467114245095706'), ('system', '4.721276567129021'), ('program', '4.079827414997784')]",0.002271565,1,5,unknown
