label,count,precision,recall,f1-score
基础环境,13,0,0.0,
核心库,13,0,0.0,
核心工具,22,0.5714285714285714,0.5454545454545454,0.5581395348837208
系统服务,25,0.2692307692307692,0.84,0.40776699029126207
系统库,24,0.7391304347826086,0.7083333333333334,0.723404255319149
系统工具,23,0.55,0.4782608695652174,0.5116279069767442
应用服务,23,1.0,0.6521739130434783,0.7894736842105263
应用库,24,0.8,0.6666666666666666,0.7272727272727272
应用工具,20,1.0,0.55,0.7096774193548387
编程语言,24,0.7096774193548387,0.9166666666666666,0.7999999999999999
其它,8,0,0.0,

模型整体 accuracy: 0.5707762557077626
