idx,name,y_true,y_predict
0,NetworkManager,系统服务,应用工具
1,acl,核心工具,核心工具
2,acpid,系统服务,核心库
3,alsa-firmware,系统服务,系统服务
4,alsa-sof-firmware,系统服务,系统服务
5,anolis-logos,基础环境,应用服务
6,augeas,应用服务,核心库
7,ca-certificates,系统工具,核心工具
8,cachefilesd,系统服务,核心库
9,checkpolicy,系统工具,核心库
10,cryptsetup,核心工具,核心工具
11,dconf-editor,应用工具,应用工具
12,dde-session-ui,其它,其它
13,dleyna-server,应用服务,应用服务
14,dotnet3.1,应用服务,核心工具
15,efibootmgr,核心工具,核心库
16,elfutils,核心工具,核心工具
17,epel-aliyuncs-release,基础环境,基础环境
18,epel-release,基础环境,基础环境
19,filesystem,基础环境,基础环境
20,firewalld,系统服务,系统库
21,gcc-toolset-11-make,系统工具,应用服务
22,gcc-toolset-11-valgrind,系统工具,系统工具
23,gcc-toolset-9-binutils,系统工具,系统工具
24,glibc,核心库,核心库
25,gnome-logs,其它,应用工具
26,gnutls,核心库,核心库
27,golang-github-disintegration-imaging,编程语言,编程语言
28,golang-github-fsnotify-fsnotify,编程语言,核心库
29,golang-github-gosexy-gettext,编程语言,编程语言
30,golang-github-msteinert-pam,编程语言,编程语言
31,golang-github-stretchr-testify,编程语言,核心库
32,golang-gopkg-alecthomas-kingpin,编程语言,编程语言
33,golang-x-image,编程语言,编程语言
34,google-roboto-slab-fonts,其它,应用工具
35,graphite2,应用服务,核心库
36,grilo,应用库,核心库
37,grub2,系统服务,系统库
38,hunspell-dsb,应用库,应用库
39,hunspell-nl,应用库,应用库
40,hwdata,基础环境,应用工具
41,hyphen-fa,应用工具,应用工具
42,hyphen-fr,应用工具,应用工具
43,icu,系统库,系统库
44,kexec-tools,核心工具,核心库
45,keyutils,系统工具,核心工具
46,kf5-kauth,其它,应用工具
47,libblockdev,系统库,系统库
48,libcap,核心库,核心库
49,libcap-ng,核心库,核心库
50,libffado,应用库,应用库
51,libgcrypt,核心库,核心库
52,libgpg-error,核心库,核心工具
53,libgudev,系统库,系统库
54,libidn2,核心库,核心库
55,libselinux,核心库,核心库
56,libtirpc,系统库,核心工具
57,libusbx,系统库,系统库
58,linux-firmware,核心工具,核心工具
59,lua,系统工具,核心库
60,mariadb-java-client,其它,应用服务
61,mingw-gstreamer1,应用工具,应用工具
62,mod_lookup_identity,应用服务,应用服务
63,mutt,应用工具,应用工具
64,mythes-sk,应用库,应用库
65,nginx,应用服务,核心库
66,ninja-build,应用工具,核心工具
67,nodejs,编程语言,核心工具
68,numad,应用服务,核心库
69,openssl,核心工具,核心工具
70,pam,核心工具,核心工具
71,patchutils,应用工具,核心工具
72,pcre2,核心库,核心工具
73,perl-Carp,系统库,系统库
74,perl-Exporter,系统库,系统库
75,perl-XML-DOM,应用库,应用库
76,perl-bignum,应用库,应用库
77,perl-parent,系统库,系统库
78,perl-threads-shared,系统库,核心库
79,pipewire0.2,应用服务,应用服务
80,python-gssapi,应用库,应用库
81,python-markupsafe,应用库,应用库
82,python-qt5,系统库,系统库
83,python-rtslib,应用库,应用服务
84,python3x-six,其它,应用库
85,rear,应用工具,应用工具
86,rootfiles,基础环境,系统库
87,setup,基础环境,基础环境
88,shim,系统服务,系统服务
89,sssd,系统服务,系统工具
90,system-lsb,基础环境,基础环境
91,tk,应用工具,应用服务
92,unzip,应用工具,核心库
93,util-linux,核心工具,核心工具
94,xorg-x11-drv-fbdev,应用服务,应用服务
95,xorg-x11-xauth,应用服务,应用服务
96,xz,核心工具,核心工具
97,zlib,核心库,核心工具
98,zsh,系统工具,核心库
