name,y_true,y_bert_predict,y_graph_predict
xdp-tools,服务,库,库
pacemaker-schemas,服务,工具,工具
dde-qt5wayland-plugin,服务,工具,工具
lynx,工具,服务,服务
systemd-journal-remote,其它,服务,服务
nss_hesiod,库,服务,服务
hspell,工具,库,库
spice-gtk-tools,库,服务,服务
libcgroup,库,工具,服务
qemu-guest-agent,工具,服务,服务
qemu-kvm-ui-spice,工具,服务,服务
ncurses-term,库,工具,其它
opa-address-resolution,库,服务,库
pacemaker-cts,服务,工具,工具
bind9.16-libs,库,服务,服务
systemd-container,其它,工具,服务
thunderbird,工具,服务,库
libpq,库,服务,服务
maven-artifact-transfer-javadoc,工具,库,库
hplip,工具,服务,服务
sushi,工具,服务,库
xmvn,库,工具,工具
vulkan-headers,库,服务,其它
sound-theme-freedesktop,工具,服务,服务
pcp-system-tools,服务,工具,服务
network-scripts-team,库,服务,其它
mariadb-connector-c,库,服务,服务
sassist,工具,服务,服务
qemu-kvm-block-rbd,工具,服务,库
unbound,工具,库,服务
xmvn-resolve,库,服务,工具
python3-dbus,库,工具,工具
torque-libs,服务,工具,库
ibus-table-chinese-scj,工具,服务,其它
sane-backends-daemon,工具,服务,服务
python2-pip,工具,库,库
gedit-plugin-findinfiles,服务,库,库
cdrdao,工具,服务,库
freerdp,工具,服务,库
python38-numpy-f2py,库,工具,工具
qpdf,工具,库,库
ttmkfdir,工具,其它,库
mlocate,工具,库,服务
evemu,工具,服务,库
compat-exiv2-026,库,工具,库
libvirt-client,工具,库,库
sane-backends,工具,服务,服务
qt5-designer,库,工具,工具
dotnet-build-reference-packages,库,工具,其它
hawtjni,库,工具,工具
xmvn-parent-pom,库,服务,工具
httpcomponents-project,库,工具,工具
elfutils-libs,库,工具,工具
pciutils-libs,工具,服务,库
python3-sphinx_rtd_theme,库,服务,其它
wsmancli,工具,服务,库
pidgin,工具,库,服务
orca,库,其它,服务
freeradius-ldap,库,服务,服务
edk2-ovmf,库,其它,其它
elfutils-devel-static,库,工具,工具
libqtermwidget5-data,服务,工具,库
spice-vdagent,库,服务,服务
