name,y_true,y_predict
libsmbclient,库,服务
ctdb,库,服务
java-17-openjdk-javadoc,库,工具
objectweb-pom,库,工具
glusterfs-cli,工具,库
ipa-common,工具,其它
clufter-bin,工具,库
setools-console,工具,库
startup-notification,工具,库
coreutils-single,工具,库
slirp4netns,工具,库
emacs-nox,工具,库
plexus-build-api,库,工具
java-11-alibaba-dragonwell-static-libs,库,其它
java-1.8.0-alibaba-dragonwell-fastdebug,库,工具
llvm-static,工具,库
llvm-libs,工具,库
gupnp,库,服务
guice-extensions,库,工具
virt-v2v-man-pages-uk,工具,服务
ant,工具,库
dde-dock,服务,工具
neon,库,服务
virtio-win,工具,其它
lftp,工具,库
libreoffice-langpack-cs,库,工具
python3-custodia,库,工具
teckit,工具,库
cyrus-sasl-sql,库,服务
maven-reporting-impl-javadoc,工具,库
maven-wagon-javadoc,工具,库
rustfmt,工具,库
python38-chardet,库,工具
ipxe-roms-qemu,服务,其它
xorg-x11-drv-wacom-serial-support,服务,库
munge,工具,服务
python39-mod_wsgi,库,工具
cyrus-sasl-gssapi,库,服务
python2-virtualenv,库,工具
libreoffice-langpack-or,库,工具
jose,工具,库
doxygen,工具,库
mingw32-crt,工具,库
postgresql-docs,服务,库
deepin-image-viewer,服务,工具
perl-PCP-LogImport,库,服务
lshw,工具,库
maven-script-interpreter-javadoc,工具,库
libvirt-daemon-driver-nodedev,服务,库
itstool,工具,库
libreoffice-data,库,其它
extra-cmake-modules,工具,服务
qt5-qtbase-static,库,工具
alsa-tools-firmware,工具,服务
skopeo,工具,服务
evolution-mapi,工具,服务
libsss_simpleifp,库,服务
keentune-bench,工具,服务
python3-dbus-python-client-gen,库,工具
python3-abrt-addon,库,工具
alsa-plugins-speex,服务,库
rubygem-rake,库,服务
libreoffice-langpack-eu,库,工具
mcelog,工具,服务
byteman,工具,库
bind9.16-license,服务,其它
udisks2-lsm,工具,库
perl-JSON-XS,库,工具
pki-symkey,服务,库
mingw64-filesystem,工具,库
unrar,工具,库
containers-common,工具,服务
iotop,工具,库
rust-std-static-wasm32-unknown-unknown,库,服务
libunrar,工具,库
sanlock,服务,库
nmap,工具,服务
gtk3,库,工具
python39-Cython,库,工具
cups-filesystem,服务,其它
hyperv-daemons-license,服务,其它
lua,库,工具
mailx,工具,服务
osinfo-db-tools,工具,库
net-tools,工具,服务
tigervnc-icons,服务,工具
golang,工具,库
kf5-kdesu,工具,服务
python2-pytest,库,工具
rubygem-power_assert,库,服务
libvirt-daemon-driver-storage-disk,服务,工具
libreoffice-langpack-af,库,工具
xalan-j2,库,工具
cri-tools,工具,库
omping,工具,库
java-11-openjdk-headless-slowdebug,库,工具
qt5-qtwebchannel-examples,库,工具
elinks,工具,服务
iproute,工具,库
gnome-control-center-filesystem,服务,库
ntfs-3g,服务,库
libsoup,库,服务
torque,服务,工具
python3-libnmstate,库,工具
mtr-gtk,库,工具
fio,工具,库
java-17-openjdk-demo-slowdebug,库,工具
mariadb-common,服务,工具
deepin-screen-recorder,服务,工具
mutter,服务,库
exec-maven-plugin-javadoc,工具,库
qt5-qtmultimedia-examples,库,工具
plexus-compiler,库,工具
evolution-spamassassin,工具,服务
elfutils-libelf-devel-static,库,工具
environment-modules,工具,服务
lz4-libs,工具,库
qt5-qtbase-examples,工具,库
python3-argcomplete,库,工具
ctags,工具,库
maven-compiler-plugin-javadoc,工具,库
libvirt-wireshark,服务,库
dde-api,服务,库
device-mapper-persistent-data,工具,库
isomd5sum,工具,库
fwupdate-libs,库,其它
maven-antrun-plugin-javadoc,工具,库
maven-install-plugin-javadoc,工具,库
gnuplot,工具,库
dbus-x11,工具,服务
deepin-devicemanager,服务,工具
evolution-data-server-perl,工具,服务
python3-ipalib,库,工具
python38-babel,库,工具
libquadmath,库,服务
python39-pytest,库,工具
policycoreutils-python-utils,工具,服务
ipxe-bootimgs-aarch64,服务,其它
openbox,工具,库
mpich,库,工具
plexus-velocity,库,工具
libreoffice-langpack-te,库,工具
mingw32-sqlite,库,工具
upower,服务,库
postfix-perl-scripts,工具,库
libreoffice-langpack-hu,库,工具
kwin-libs,库,工具
brasero-nautilus,工具,库
libreoffice-langpack-ar,库,工具
bacula-logwatch,工具,库
python3-rpm-generators,库,工具
containerd-stress,工具,服务
glusterfs-api,库,服务
authselect-compat,工具,服务
gnome-color-manager,服务,库
cryptsetup-reencrypt,工具,库
libcurl,库,服务
dos2unix,工具,库
alsa-plugins-usbstream,服务,库
plexus-containers,库,工具
ocaml-runtime,库,工具
python39-psutil,库,工具
maven-shared-io-javadoc,工具,库
rubygem-minitest,库,服务
qt5-qttools-libs-designercomponents,库,工具
readline,库,工具
python38-jinja2,库,工具
initial-setup,工具,服务
openscap-engine-sce,库,服务
open-vm-tools-sdmp,工具,服务
xsettingsd,服务,库
gcc-c++,工具,库
libreoffice-langpack-zu,库,工具
libreoffice-opensymbol-fonts,库,其它
util-linux-user,工具,库
libreoffice-langpack-kk,库,工具
dde-kwin,服务,工具
foomatic-db,服务,工具
python3-qt5,库,工具
setroubleshoot,工具,服务
iio-sensor-proxy,工具,服务
libreoffice-langpack-bn,库,工具
Xaw3d,工具,库
qt5-qtsvg-examples,库,工具
clang-tools-extra,库,工具
lsof,工具,库
git-all,工具,服务
libvirt-daemon-driver-storage-mpath,服务,工具
gcc-toolset-10-systemtap-runtime,工具,服务
gnome-video-effects,服务,工具
gnome-keyring,服务,库
weld-parent,库,工具
qemu-kvm-hw-usbredir,工具,服务
libreoffice-langpack-ta,库,工具
gsettings-desktop-schemas,工具,服务
helm-zsh-completion,服务,库
star,工具,库
setserial,工具,库
dotnet-sdk-5.0-source-built-artifacts,库,其它
vhostmd,服务,工具
ruby,工具,库
symlinks,工具,库
util-linux,工具,库
brltty-xw,库,服务
cyrus-sasl-md5,库,服务
tigervnc,服务,工具
qt5-qtwebengine-examples,库,工具
python3-policycoreutils,库,服务
python3-abrt-container-addon,库,工具
ocaml-labltk,库,工具
nvme-cli,工具,库
python3-firewall,库,工具
java-1.8.0-alibaba-dragonwell-src,库,服务
wireshark-cli,工具,服务
ntpstat,工具,服务
ghostscript-tools-printing,工具,其它
libreoffice-langpack-pa,库,工具
policycoreutils-dbus,工具,服务
libreoffice-langpack-ve,库,工具
rust-analysis,工具,库
php-embedded,库,服务
rpm-plugin-fapolicyd,库,工具
crypto-policies,工具,服务
python3-osbuild,工具,库
java-1.8.0-alibaba-dragonwell-slowdebug,库,工具
rubygem-test-unit,库,服务
iptraf-ng,工具,库
ncompress,工具,库
foomatic-db-filesystem,服务,工具
kernelshark,工具,库
qt5-qtwebengine-devtools,库,服务
samba-winbind-krb5-locator,服务,库
iptables,工具,库
java-11-alibaba-dragonwell-jmods,库,其它
xrestop,工具,库
libreport-plugin-kerneloops,库,服务
spax,工具,库
valgrind,工具,库
rust-std-static-wasm32-wasi,库,服务
ldapjdk,库,工具
golang-bin,工具,库
gnome-calculator,服务,库
ps_mem,工具,服务
pygtk2,库,工具
xorg-x11-server-Xnest,服务,库
anolis-logos-httpd,服务,其它
policycoreutils-gui,工具,服务
xorg-x11-drv-wacom,服务,库
osinfo-db,工具,服务
qemu-kvm,工具,服务
plexus-i18n,库,工具
coreos-installer-dracut,工具,服务
redhat-support-tool,库,工具
patch,工具,库
pacemaker-remote,服务,库
qt5-qtwebsockets-examples,库,工具
httpd-filesystem,服务,工具
sgabios-bin,工具,其它
python38-psutil,库,工具
openssl-perl,工具,服务
gnome-boxes,服务,库
libreoffice-langpack-ts,库,工具
dcraw,工具,库
syslinux-extlinux-nonlinux,工具,服务
portreserve,工具,服务
grilo-plugins,库,工具
gcc-toolset-11-strace,工具,库
sqlite,库,工具
scap-workbench,工具,服务
raptor2,工具,库
crash-ptdump-command,工具,库
dav1d,工具,库
redfish-finder,工具,服务
python3-nispor,库,工具
mingw64-pcre,库,工具
python39-pip-wheel,库,工具
dotnet-sdk-6.0-source-built-artifacts,库,其它
openbox-kde,工具,服务
subscription-manager-migration-data,工具,服务
deepin-authenticate,服务,库
redhat-lsb-cxx,工具,库
epel-rpm-macros,服务,工具
maven-plugin-testing-javadoc,工具,库
rpm-sign,库,服务
python3-pytest,库,工具
libreoffice-langpack-si,库,工具
redhat-lsb-printing,工具,服务
sanlk-reset,服务,库
units,工具,服务
quota,工具,库
sevctl,工具,库
kernel-core,其它,工具
man-pages,工具,库
libcanberra,库,服务
oddjob,工具,服务
libreswan,库,服务
ipcalc,工具,库
brltty-dracut,库,服务
dotnet-runtime-2.1,库,服务
volume_key,工具,库
squashfs-tools,工具,库
papirus-icon-theme,工具,其它
python38-wheel,库,工具
python39-numpy,库,工具
bzip2,工具,库
plymouth-graphics-libs,库,工具
inkscape,工具,库
libreoffice-langpack-tn,库,工具
alsa-plugins-maemo,服务,库
setools-gui,工具,服务
alsa-plugins-oss,服务,库
maven-jar-plugin-javadoc,工具,库
corosync,服务,库
cyrus-sasl-lib,库,服务
python2-docs-info,库,工具
postfix-cdb,工具,服务
platform-python-setuptools,库,工具
xcb-util-image,库,工具
pacemaker,服务,工具
plexus-resources,库,工具
mysql,服务,工具
git,工具,库
java-11-alibaba-dragonwell-jmods-slowdebug,库,服务
maven-wagon-providers,工具,库
perl-GSSAPI,库,服务
rocketmq,服务,工具
systemtap-initscript,工具,服务
eclipse-p2-discovery,工具,库
jsch,工具,库
bison-runtime,工具,其它
abrt-plugin-machine-id,工具,服务
java-1.8.0-openjdk-javadoc,库,工具
runc,服务,库
nvmetcli,工具,服务
postgresql,服务,库
qemu-kvm-ui-opengl,工具,库
maven-doxia-sitetools-javadoc,工具,库
lua-json,库,服务
iptables-ebtables,工具,服务
mingw32-gcc-c++,工具,库
adobe-mappings-pdf,工具,库
libreoffice-langpack-as,库,工具
abrt-gui,工具,服务
polardb,服务,工具
maven-resolver-impl,工具,库
fdo-owner-cli,工具,服务
tigervnc-license,服务,其它
deepin-diskmanager,服务,工具
iw,工具,库
osbuild-composer-core,工具,库
php,库,服务
mariadb,服务,工具
java-17-openjdk,库,工具
cmake,工具,库
tftp,服务,工具
openldap-clients,服务,库
ghostscript,工具,库
tix,工具,服务
qrencode-libs,工具,库
man-pages-overrides,工具,其它
libreoffice-langpack-he,库,工具
selinux-policy-minimum,工具,服务
rarian-compat,工具,库
ypserv,服务,工具
gnome-online-accounts,服务,库
plexus-utils,库,工具
evolution-langpacks,工具,服务
python3-lldb,工具,库
biosdevname,工具,库
dropwatch,工具,库
swtpm,库,服务
chkconfig,工具,库
hyperv-tools,工具,库
xorg-x11-server-Xvfb,服务,工具
libvirt-nss,服务,库
file,工具,库
e2fsprogs,工具,库
dnssec-trigger,工具,服务
java-1.8.0-openjdk-headless-slowdebug,库,服务
man-db,工具,服务
postfix-ldap,工具,服务
openssl,工具,库
kernel-tools,其它,库
ipa-python-compat,库,工具
f32-backgrounds-extras-base,工具,其它
yum,工具,服务
rootfiles,服务,其它
mokutil,工具,服务
krb5-pkinit,服务,工具
libreoffice-gdb-debug-support,库,工具
platform-python-pip,库,工具
xorg-x11-server-Xwayland,服务,工具
subversion-gnome,库,服务
log4j-slf4j,库,工具
java-17-openjdk-slowdebug,库,工具
xmlsec1-gnutls,库,服务
js-d3-flame-graph,库,服务
setroubleshoot-plugins,工具,服务
mdevctl,工具,其它
mod_auth_mellon-diagnostics,库,服务
maven-resolver-transport-file,工具,库
iproute-tc,工具,服务
mingw64-gcc,工具,库
docker-engine,工具,服务
mysql-common,服务,工具
blktrace,工具,服务
rar,工具,库
postgresql-plpython3,库,服务
abrt,库,工具
evolution-data-server-langpacks,工具,服务
openbox-libs,工具,库
gnome-keyring-pam,服务,库
spirv-tools,工具,库
xbean,库,工具
abrt-plugin-sosreport,工具,服务
libvirt-daemon-driver-storage-gluster,服务,库
