name,y_true,y_predict
deepin-devicemanager,应用,核心
libX11,系统,应用
texlive-xmltex,应用,系统
docker-engine,应用,系统
libICE,应用,系统
libradosstriper1,系统,应用
pipewire,应用,系统
pipewire-utils,应用,系统
conmon,应用,系统
copy-jdk-configs,应用,系统
gtkmm24,系统,应用
f32-backgrounds-mate,应用,核心
sssd-ipa,系统,应用
gvfs,系统,应用
gtk2-immodules,系统,应用
breeze-icon-theme,应用,其它
openscap-utils,应用,系统
unbound-libs,应用,系统
f32-backgrounds,应用,核心
authselect-compat,系统,核心
libgit2-glib,应用,系统
brltty,应用,系统
deepin-sound-theme,应用,核心
jbigkit-libs,应用,核心
apr-util,应用,系统
libatasmart,应用,系统
mvapich2-psm2,应用,系统
mysql-server,应用,系统
cockpit-storaged,应用,系统
qt5-qtdeclarative-static,应用,核心
freeimage,应用,系统
python3-vapoursynth,应用,系统
whois,系统,应用
pki-acme,应用,系统
crash-gcore-command,应用,系统
ocaml-runtime,应用,核心
virt-top,应用,系统
ucx-rdmacm,应用,系统
mesa-libglapi,应用,核心
libguestfs-rsync,系统,应用
xorg-x11-server-Xvfb,应用,核心
iw,应用,系统
pinfo,应用,系统
libpurple,应用,系统
qt5-srpm-macros,应用,核心
cryptsetup,核心,系统
lapack64,应用,系统
httpd,应用,系统
platform-python-coverage,系统,应用
PackageKit-glib,应用,系统
skkdic,应用,其它
bsdcat,系统,应用
bacula-logwatch,应用,系统
fence-agents-redfish,应用,系统
python3-libselinux,核心,系统
pcp-parfait-agent,应用,核心
fdo-init,应用,系统
pki-server,应用,系统
ibus-table-chinese-erbi,应用,其它
accel-config,应用,核心
python3-keycloak-httpd-client-install,应用,系统
e2fsprogs-libs,系统,应用
java-11-alibaba-dragonwell-devel-fastdebug,应用,系统
highlight,应用,系统
clutter-gtk,系统,应用
texlive-makeindex,应用,系统
libverto,系统,核心
mysql-selinux,应用,系统
ibus-table-chinese-cantonese,应用,其它
docbook-dtds,应用,核心
setools,系统,应用
libreoffice-calc,应用,系统
libcanberra,应用,系统
python3-createrepo_c,应用,系统
fence-agents-cisco-ucs,应用,系统
mod_ssl,应用,系统
sendmail,应用,系统
libev-source,应用,其它
texlive-texlive-en,应用,系统
ipa-client-samba,系统,应用
nydus-snapshotter,应用,系统
liblangtag-data,应用,核心
grub2-efi-x64,系统,应用
bacula-common,应用,核心
mc,应用,系统
sssd-winbind-idmap,系统,应用
lapack,应用,系统
dotnet-sdk-2.1.5xx,应用,系统
ostree,系统,应用
fence-agents-aws,应用,系统
containerd,应用,系统
compat-libgfortran-48,应用,系统
libknet1-compress-lzma-plugin,应用,核心
switcheroo-control,应用,系统
kata-containers,应用,系统
zziplib,应用,核心
rubygem-bigdecimal,应用,系统
xorg-x11-xinit,应用,系统
fence-agents-scsi,应用,核心
rpm-plugin-prioreset,系统,应用
mod_security,应用,系统
nbdkit-basic-filters,系统,应用
freeradius-rest,应用,系统
freeradius-sqlite,应用,系统
memstrack,应用,系统
libuser,应用,核心
pcsc-lite-ccid,应用,系统
bacula-client,应用,系统
imake,应用,系统
libknet1-compress-lz4-plugin,应用,核心
yelp-xsl,应用,其它
kde-settings,应用,核心
ntpstat,系统,核心
memcached,应用,系统
sssd-ad,系统,应用
go-srpm-macros,系统,应用
usbredir,系统,应用
ghostscript-tools-fonts,应用,系统
numatop,系统,应用
geocode-glib,应用,系统
lftp,应用,核心
kmod,核心,系统
ibus-libzhuyin,应用,系统
f32-backgrounds-base,应用,核心
ghostscript-x11,应用,系统
gitweb,应用,系统
opencl-headers,应用,其它
openssl-perl,核心,系统
java-11-alibaba-dragonwell-headless,应用,核心
emacs-common,应用,系统
java-11-openjdk,应用,系统
java-1.8.0-alibaba-dragonwell,应用,系统
haproxy,系统,核心
rarian-compat,应用,系统
libsrtp,应用,核心
star,应用,核心
libqtermwidget5-data,应用,核心
udica,应用,系统
ibus-table-chinese-wu,应用,其它
tuned-profiles-oracle,系统,应用
findutils,系统,核心
libreoffice-pyuno,应用,系统
f32-backgrounds-animated,应用,核心
oscap-anaconda-addon,应用,系统
dtc,应用,系统
git-instaweb,应用,系统
freeradius-utils,应用,系统
paratype-pt-sans-caption-fonts,其它,应用
fence-agents-gce,应用,系统
vid.stab,应用,系统
pkgconf,系统,应用
qt5-rpm-macros,应用,其它
kde-settings-plasma,应用,核心
tpm-quote-tools,系统,应用
cldr-emoji-annotation,系统,其它
imlib2-id3tag-loader,应用,系统
python3-libpfm,应用,系统
teamd,应用,系统
ModemManager,应用,系统
postgresql-plpython3,应用,系统
fcitx-pinyin,应用,系统
abrt-addon-coredump-helper,应用,系统
cscope,应用,系统
golang-dbus,应用,核心
nginx-mod-http-perl,应用,系统
libguestfs-inspect-icons,系统,应用
geoclue2,应用,系统
libcom_err,系统,应用
fcitx-qw,应用,系统
libfastjson,应用,系统
bacula-director,应用,系统
ibus-wayland,应用,系统
nano,应用,系统
java-1.8.0-alibaba-dragonwell-headless-fastdebug,应用,核心
dovecot-pigeonhole,应用,核心
mozilla-filesystem,应用,其它
supermin,应用,系统
cryptsetup-libs,核心,系统
qrencode,应用,系统
libyang,应用,系统
xmltoman,应用,系统
httpd-filesystem,应用,其它
libmpcdec,应用,核心
gtk-update-icon-cache,系统,应用
rootfiles,核心,其它
texlive-lib,应用,系统
foomatic,应用,系统
libisofs,应用,核心
texlive-pdftex,应用,系统
i2c-tools-perl,应用,系统
hwdata,核心,其它
python3-tdb,应用,系统
fftw-libs-single,应用,系统
polkit-qt5-1,系统,应用
fence-agents-kubevirt,应用,系统
git-gui,应用,其它
apcu-panel,应用,核心
perl-Git-SVN,应用,系统
gtkmm30,系统,应用
abrt,系统,应用
srt-libs,应用,系统
kpatch,核心,系统
gstreamer,应用,系统
grub2-efi-x64-cdboot,系统,应用
java-11-alibaba-dragonwell-fastdebug,应用,系统
freeradius-krb5,应用,系统
evolution-data-server,应用,系统
xz,核心,系统
GConf2,应用,系统
nodejs,应用,系统
mod_session,应用,系统
booth-arbitrator,应用,系统
container-selinux,应用,系统
gedit-plugin-terminal,应用,系统
texlive-mptopdf,应用,系统
qrencode-libs,应用,核心
libguestfs-xfs,系统,应用
audispd-plugins-zos,核心,应用
java-17-openjdk-headless-slowdebug,应用,系统
munge,应用,系统
enscript,应用,系统
compat-hwloc1,应用,核心
postgresql-pltcl,应用,系统
libreoffice-core,应用,系统
trace-cmd,系统,应用
python2-tkinter,系统,应用
vulkan-headers,应用,其它
corosync-qnetd,应用,系统
libburn,系统,应用
gtk3,系统,应用
texlive-tetex,应用,系统
fcitx-data,应用,其它
f32-backgrounds-xfce,应用,核心
libblkid,核心,系统
qt-settings,应用,其它
samba,系统,核心
gutenprint-libs,应用,系统
mrtg,应用,系统
sssd-nfs-idmap,系统,应用
platform-python-pip,系统,应用
ucx-ib,应用,系统
lapack-static,应用,核心
libcephfs2,系统,核心
