,src,bin,num_of_bin
0,a52dec: 系统库,{'liba52': '系统库'},1
1,aajohan-comfortaa-fonts: 字体,{'aajohan-comfortaa-fonts': '字体'},1
2,abattis-cantarell-fonts: 字体,{'abattis-cantarell-fonts': '字体'},1
3,acpica-tools: 系统工具,{'acpica-tools': '系统工具'},1
4,acpid: 系统服务,{'acpid': '系统服务'},1
5,alsa-firmware: 系统服务,{'alsa-firmware': '系统服务'},1
6,annobin: 应用工具,"{'annobin': '应用工具', 'annobin-annocheck': '应用工具'}",2
7,anolis-indexhtml: 基础环境,{'anolis-indexhtml': '基础环境'},1
8,anolis-rawhide-release: 基础环境,"{'anolis-epao-release': '基础环境', 'anolis-experimental-release': '基础环境'}",2
9,anolis-release: 基础环境,"{'anolis-gpg-keys': '基础环境', 'anolis-release': '基础环境', 'anolis-repos': '基础环境'}",3
10,ansible-core: 应用工具,{'ansible-core': '应用工具'},1
11,aom: 应用库,"{'aom': '应用库', 'libaom': '应用库'}",2
12,aopalliance: 应用库,"{'aopalliance': '应用库', 'aopalliance-javadoc': '应用库'}",2
13,apache-commons-cli: 应用库/编程语言,"{'apache-commons-cli': '应用库/编程语言', 'apache-commons-cli-javadoc': '应用库/编程语言'}",2
14,apache-commons-codec: 应用库/编程语言,"{'apache-commons-codec': '应用库/编程语言', 'apache-commons-codec-javadoc': '应用库/编程语言'}",2
15,apache-commons-collections: 应用库/编程语言,"{'apache-commons-collections': '应用库/编程语言', 'apache-commons-collections-javadoc': '应用库/编程语言', 'apache-commons-collections-testframework': '应用库/编程语言'}",3
16,apache-commons-compress: 应用库/编程语言,"{'apache-commons-compress': '应用库/编程语言', 'apache-commons-compress-javadoc': '应用库/编程语言'}",2
17,apache-commons-exec: 应用库/编程语言,"{'apache-commons-exec': '应用库/编程语言', 'apache-commons-exec-javadoc': '应用库/编程语言'}",2
18,apache-commons-io: 应用库/编程语言,"{'apache-commons-io': '应用库/编程语言', 'apache-commons-io-javadoc': '应用库/编程语言'}",2
19,apache-commons-jxpath: 应用库/编程语言,"{'apache-commons-jxpath': '应用库/编程语言', 'apache-commons-jxpath-javadoc': '应用库/编程语言'}",2
20,apache-commons-lang: 应用库/编程语言,"{'apache-commons-lang': '应用库/编程语言', 'apache-commons-lang-javadoc': '应用库/编程语言'}",2
21,apache-commons-lang3: 应用库/编程语言,"{'apache-commons-lang3': '应用库/编程语言', 'apache-commons-lang3-javadoc': '应用库/编程语言'}",2
22,apache-commons-logging: 应用库/编程语言,"{'apache-commons-logging': '应用库/编程语言', 'apache-commons-logging-javadoc': '应用库/编程语言'}",2
23,apache-commons-net: 应用库/编程语言,"{'apache-commons-net': '应用库/编程语言', 'apache-commons-net-javadoc': '应用库/编程语言'}",2
24,apache-ivy: 应用库/编程语言,"{'apache-ivy': '应用库/编程语言', 'apache-ivy-javadoc': '应用库/编程语言'}",2
25,apache-resource-bundles: 应用库/编程语言,{'apache-resource-bundles': '应用库/编程语言'},1
26,apiguardian: 应用库/编程语言,{'apiguardian': '应用库/编程语言'},1
27,apr: 应用库,{'apr': '应用库'},1
28,apr-util: 应用工具,"{'apr-util': '应用工具', 'apr-util-bdb': '应用工具', 'apr-util-ldap': '应用工具', 'apr-util-mysql': '应用工具', 'apr-util-odbc': '应用工具', 'apr-util-openssl': '应用工具', 'apr-util-pgsql': '应用工具', 'apr-util-sqlite': '应用工具'}",8
29,aqute-bnd: 应用库,"{'aqute-bnd': '应用库', 'aqute-bnd-javadoc': '应用库', 'aqute-bndlib': '应用库', 'bnd-maven-plugin': '应用库'}",4
30,asciidoc: 应用工具,{'asciidoc': '应用工具'},1
31,aspell: 应用工具,{'aspell': '应用工具'},1
32,aspell-en: 应用工具,{'aspell-en': '应用工具'},1
33,assertj-core: 应用库,"{'assertj-core': '应用库', 'assertj-core-javadoc': '应用库'}",2
34,at: 系统工具,{'at': '系统工具'},1
35,atinject: 应用库,"{'atinject': '应用库', 'atinject-javadoc': '应用库', 'atinject-tck': '应用库'}",3
36,atk: 应用库,{'atk': '应用库'},1
37,atkmm: 应用库,{'atkmm': '应用库'},1
38,atlas: 系统库,"{'atlas': '系统库', 'atlas-corei2': '系统库'}",2
39,at-spi2-core: 应用库,{'at-spi2-core': '应用库'},1
40,authd: 系统服务,{'authd': '系统服务'},1
41,autoconf: 应用工具,{'autoconf': '应用工具'},1
42,autoconf213: 应用工具,{'autoconf213': '应用工具'},1
43,autoconf-archive: 应用工具,{'autoconf-archive': '应用工具'},1
44,autofs: 应用服务,{'autofs': '应用服务'},1
45,automake: 应用工具,{'automake': '应用工具'},1
46,babassl: 系统库,{'babassl': '系统库'},1
