,src,bin,num_of_bin
0,a52dec: 系统库,{'liba52': '系统库'},1
1,aajohan-comfortaa-fonts: 字体,{'aajohan-comfortaa-fonts': '字体'},1
2,abattis-cantarell-fonts: 字体,{'abattis-cantarell-fonts': '字体'},1
3,abrt-java-connector: 应用库,{'abrt-java-connector': '应用库'},1
4,accel-config: 应用库,"{'accel-config': '应用库', 'accel-config-libs': '应用库'}",2
5,accountsservice: 应用服务,"{'accountsservice': '应用服务', 'accountsservice-libs': '应用服务'}",2
6,acpica-tools: 系统工具,{'acpica-tools': '系统工具'},1
7,acpid: 系统服务,{'acpid': '系统服务'},1
8,adcli: 应用工具,{'adcli': '应用工具'},1
9,adobe-mappings-cmap: 应用工具,"{'adobe-mappings-cmap': '应用工具', 'adobe-mappings-cmap-deprecated': '应用工具'}",2
10,adobe-mappings-pdf: 应用工具,{'adobe-mappings-pdf': '应用工具'},1
11,adwaita-icon-theme: 应用工具/桌面,"{'adwaita-cursor-theme': '应用工具/桌面', 'adwaita-icon-theme': '应用工具/桌面'}",2
12,aide: 应用工具,{'aide': '应用工具'},1
13,alsa-firmware: 系统服务,{'alsa-firmware': '系统服务'},1
14,alsa-lib: 系统库,"{'alsa-lib': '系统库', 'alsa-ucm': '系统库'}",2
15,alsa-plugins: 系统服务,"{'alsa-plugins-arcamav': '系统服务', 'alsa-plugins-maemo': '系统服务', 'alsa-plugins-oss': '系统服务', 'alsa-plugins-pulseaudio': '系统服务', 'alsa-plugins-samplerate': '系统服务', 'alsa-plugins-speex': '系统服务', 'alsa-plugins-upmix': '系统服务', 'alsa-plugins-usbstream': '系统服务', 'alsa-plugins-vdownmix': '系统服务'}",9
16,alsa-sof-firmware: 系统服务,{'alsa-sof-firmware': '系统服务'},1
17,alsa-tools: 系统工具,{'alsa-tools-firmware': '系统工具'},1
18,alsa-utils: 系统工具,"{'alsa-utils': '系统工具', 'alsa-utils-alsabat': '系统工具'}",2
19,anaconda-user-help: 系统工具,{'anaconda-user-help': '系统工具'},1
20,annobin: 应用工具,"{'annobin': '应用工具', 'annobin-annocheck': '应用工具'}",2
21,anolis-indexhtml: 基础环境,{'anolis-indexhtml': '基础环境'},1
22,anolis-logos: 基础环境,"{'anolis-backgrounds': '基础环境', 'anolis-logos': '基础环境', 'anolis-logos-httpd': '基础环境', 'anolis-logos-ipa': '基础环境'}",4
23,anolis-rawhide-release: 基础环境,"{'anolis-epao-release': '基础环境', 'anolis-experimental-release': '基础环境'}",2
24,anolis-release: 基础环境,"{'anolis-gpg-keys': '基础环境', 'anolis-release': '基础环境', 'anolis-repos': '基础环境'}",3
25,ansible-collection-microsoft-sql: 应用工具,{'ansible-collection-microsoft-sql': '应用工具'},1
26,ansible-core: 应用工具,{'ansible-core': '应用工具'},1
27,ansible-freeipa: 应用工具,{'ansible-freeipa': '应用工具'},1
28,ansible-pcp: 应用工具,{'ansible-pcp': '应用工具'},1
29,ant-contrib: 应用工具,"{'ant-contrib': '应用工具', 'ant-contrib-javadoc': '应用工具'}",2
30,antlr: 应用库,"{'antlr-C++': '应用库', 'antlr-javadoc': '应用库', 'antlr-manual': '应用库', 'antlr-tool': '应用库'}",4
31,aom: 应用库,"{'aom': '应用库', 'libaom': '应用库'}",2
32,aopalliance: 应用库,"{'aopalliance': '应用库', 'aopalliance-javadoc': '应用库'}",2
33,apache-commons-beanutils: 应用库/编程语言,"{'apache-commons-beanutils': '应用库/编程语言', 'apache-commons-beanutils-javadoc': '应用库/编程语言'}",2
34,apache-commons-cli: 应用库/编程语言,"{'apache-commons-cli': '应用库/编程语言', 'apache-commons-cli-javadoc': '应用库/编程语言'}",2
35,apache-commons-codec: 应用库/编程语言,"{'apache-commons-codec': '应用库/编程语言', 'apache-commons-codec-javadoc': '应用库/编程语言'}",2
36,apache-commons-collections: 应用库/编程语言,"{'apache-commons-collections': '应用库/编程语言', 'apache-commons-collections-javadoc': '应用库/编程语言', 'apache-commons-collections-testframework': '应用库/编程语言'}",3
37,apache-commons-compress: 应用库/编程语言,"{'apache-commons-compress': '应用库/编程语言', 'apache-commons-compress-javadoc': '应用库/编程语言'}",2
38,apache-commons-exec: 应用库/编程语言,"{'apache-commons-exec': '应用库/编程语言', 'apache-commons-exec-javadoc': '应用库/编程语言'}",2
39,apache-commons-io: 应用库/编程语言,"{'apache-commons-io': '应用库/编程语言', 'apache-commons-io-javadoc': '应用库/编程语言'}",2
40,apache-commons-jxpath: 应用库/编程语言,"{'apache-commons-jxpath': '应用库/编程语言', 'apache-commons-jxpath-javadoc': '应用库/编程语言'}",2
