,src,bin,num_of_bin
0,389-ds-base: 系统库,"{'389-ds-base': '系统工具', '389-ds-base-legacy-tools': '系统工具', '389-ds-base-libs': '库', '389-ds-base-snmp': '系统工具', 'python3-lib389': '系统库'}",5
1,abrt: 应用工具,"{'abrt': '工具', 'abrt-addon-ccpp': '应用工具', 'abrt-addon-coredump-helper': '应用工具', 'abrt-addon-kerneloops': '应用工具', 'abrt-addon-pstoreoops': '应用工具', 'abrt-addon-vmcore': '应用工具', 'abrt-addon-xorg': '工具', 'abrt-cli': '应用工具', 'abrt-cli-ng': '应用工具', 'abrt-console-notification': '应用工具', 'abrt-dbus': '服务', 'abrt-desktop': '应用服务/桌面', 'abrt-gui': '工具', 'abrt-gui-libs': '应用库/桌面', 'abrt-libs': '应用库', 'abrt-plugin-machine-id': '工具', 'abrt-plugin-sosreport': '工具', 'abrt-tui': '应用工具', 'python3-abrt': '库', 'python3-abrt-addon': '库', 'python3-abrt-container-addon': '库'}",21
2,abrt-java-connector: 应用库,{'abrt-java-connector': '库'},1
3,accel-config: 应用库,"{'accel-config': '工具', 'accel-config-libs': '应用库'}",2
4,accountsservice: 应用服务,"{'accountsservice': '应用服务', 'accountsservice-libs': '库'}",2
5,acl: 核心工具,"{'acl': '工具', 'libacl': '核心库'}",2
6,adcli: 应用工具,{'adcli': '工具'},1
7,adobe-mappings-cmap: 应用工具,"{'adobe-mappings-cmap': '字体', 'adobe-mappings-cmap-deprecated': '字体'}",2
8,adobe-mappings-pdf: 应用工具,{'adobe-mappings-pdf': '库'},1
9,adwaita-icon-theme: 应用工具/桌面,"{'adwaita-cursor-theme': '桌面', 'adwaita-icon-theme': '桌面'}",2
10,adwaita-qt: 应用库,"{'adwaita-qt5': '桌面', 'libadwaita-qt5': '应用库/桌面'}",2
11,aide: 应用工具,{'aide': '工具'},1
12,alsa-lib: 系统库,"{'alsa-lib': '系统库', 'alsa-ucm': '服务'}",2
13,alsa-plugins: 系统服务,"{'alsa-plugins-arcamav': '服务', 'alsa-plugins-maemo': '服务', 'alsa-plugins-oss': '服务', 'alsa-plugins-pulseaudio': '系统服务', 'alsa-plugins-samplerate': '服务', 'alsa-plugins-speex': '服务', 'alsa-plugins-upmix': '服务', 'alsa-plugins-usbstream': '服务', 'alsa-plugins-vdownmix': '服务'}",9
14,alsa-sof-firmware: 系统服务,{'alsa-sof-firmware': '服务'},1
15,alsa-tools: 系统工具,{'alsa-tools-firmware': '工具'},1
16,alsa-utils: 系统工具,"{'alsa-utils': '系统工具', 'alsa-utils-alsabat': '工具'}",2
17,amanda: 应用工具,"{'amanda': '服务', 'amanda-client': '应用工具', 'amanda-libs': '库', 'amanda-server': '服务'}",4
18,anaconda: 系统工具,"{'anaconda': '工具', 'anaconda-core': '系统工具', 'anaconda-dracut': '系统工具', 'anaconda-gui': '工具', 'anaconda-install-env-deps': '工具', 'anaconda-tui': '系统工具', 'anaconda-widgets': '工具'}",7
19,anaconda-user-help: 系统工具,{'anaconda-user-help': '工具'},1
20,anolis-logos: 基础环境,"{'anolis-backgrounds': '工具', 'anolis-logos': '工具', 'anolis-logos-httpd': '工具', 'anolis-logos-ipa': '工具'}",4
21,ansible-collection-microsoft-sql: 应用工具,{'ansible-collection-microsoft-sql': '工具'},1
22,ansible-freeipa: 应用工具,{'ansible-freeipa': '工具'},1
23,ansible-pcp: 应用工具,{'ansible-pcp': '工具'},1
