idx,name,y_true,y_predict
0,389-ds-base,工具,工具
1,389-ds-base-legacy-tools,工具,服务
2,389-ds-base-libs,库,库
3,python3-lib389,库,库
4,liba52,库,库
5,abrt,库,服务
6,abrt-cli,工具,工具
7,abrt-cli-ng,工具,工具
8,abrt-dbus,服务,服务
9,abrt-gui-libs,库,服务
10,abrt-libs,库,工具
11,abrt-tui,工具,工具
12,python3-abrt,库,服务
13,python3-abrt-addon,库,库
14,python3-abrt-container-addon,库,库
15,abrt-java-connector,库,服务
16,accel-config,工具,库
17,accel-config-libs,库,库
18,accountsservice,服务,服务
19,accountsservice-libs,库,服务
20,acl,工具,工具
21,libacl,库,库
22,acpica-tools,工具,服务
23,adcli,工具,工具
24,adobe-mappings-cmap,工具,其它
25,adobe-mappings-cmap-deprecated,工具,其它
26,adobe-mappings-pdf,工具,其它
27,adwaita-qt5,库,工具
28,libadwaita-qt5,库,库
29,alsa-lib,库,库
30,alsa-plugins-maemo,服务,库
31,alsa-plugins-pulseaudio,服务,服务
32,alsa-tools-firmware,工具,服务
33,alsa-utils,工具,服务
34,alsa-utils-alsabat,工具,工具
35,amanda-client,工具,服务
36,amanda-libs,库,库
37,amanda-server,服务,服务
38,annobin-annocheck,工具,工具
39,ansible-freeipa,工具,服务
40,ansible-pcp,工具,服务
41,ant,工具,库
42,ant-lib,库,库
43,ant-testutil,工具,工具
44,ant-contrib,库,工具
45,antlr-C++,库,工具
46,antlr-tool,工具,工具
47,apache-commons-beanutils,库,其它
48,apache-commons-beanutils-javadoc,库,其它
49,apache-commons-cli,库,工具
50,apache-commons-collections,库,其它
51,apache-commons-compress,库,库
52,apache-commons-exec,库,库
53,apache-commons-io,库,工具
54,apache-commons-lang,库,工具
55,apache-commons-lang3,库,工具
56,apache-commons-net,库,库
57,apache-ivy,库,其它
58,apiguardian,库,其它
59,apr,库,库
60,apr-util,工具,工具
61,apr-util-bdb,工具,工具
62,apr-util-ldap,工具,工具
63,apr-util-mysql,工具,工具
64,apr-util-odbc,工具,工具
65,apr-util-openssl,工具,工具
66,apr-util-pgsql,工具,工具
67,apr-util-sqlite,工具,工具
68,aqute-bnd,库,库
69,aqute-bndlib,库,库
70,arpwatch,工具,服务
71,aspell,工具,工具
72,at,工具,服务
73,atinject,库,工具
74,atk,库,工具
75,atkmm,库,库
76,atlas-corei2,库,库
77,at-spi2-atk,工具,工具
78,at-spi2-core,库,服务
79,attr,工具,工具
80,libattr,库,库
81,audit,工具,其它
82,audit-libs,库,库
83,python3-audit,库,库
84,augeas,库,库
85,augeas-libs,库,库
86,authselect,工具,服务
87,authselect-compat,工具,服务
88,authselect-libs,库,库
89,autoconf,工具,库
90,autoconf213,工具,工具
91,autofs,服务,服务
92,autogen,工具,服务
93,autogen-libopts,库,工具
94,automake,工具,库
95,avahi,服务,服务
96,avahi-glib,库,库
97,avahi-gobject,库,库
98,avahi-libs,库,库
99,avahi-ui,库,工具
100,avahi-ui-gtk3,库,库
101,python3-avahi,库,工具
102,awscli,工具,工具
103,babassl,库,库
104,babel,工具,库
105,python2-babel,库,库
106,python3-babel,库,库
107,python38-babel,库,库
108,libbabeltrace,库,库
109,babl,库,库
110,bacula-client,工具,工具
111,bacula-libs,库,库
112,bacula-libs-sql,库,库
113,bash,工具,服务
114,batik-util,库,工具
115,bcc,工具,工具
116,bcc-tools,工具,工具
117,python3-bcc,库,工具
118,bcel,库,其它
119,bea-stax-api,库,其它
120,beust-jcommander,库,服务
121,bind,服务,其它
122,bind-export-libs,库,库
123,bind-libs,库,工具
124,bind-libs-lite,库,服务
125,bind-pkcs11-libs,服务,库
126,bind-pkcs11-utils,服务,工具
127,bind-utils,工具,工具
128,python3-bind,库,库
129,bind9.16,服务,其它
130,bind9.16-dnssec-utils,工具,工具
131,bind9.16-libs,库,库
132,bind9.16-utils,服务,工具
133,python3-bind9.16,库,库
134,binutils,工具,工具
135,blktrace,工具,服务
136,bluez,工具,服务
137,bluez-hid2hci,工具,工具
138,bluez-libs,库,其它
139,blur-effect,库,工具
140,bolt,服务,服务
141,boom-boot,工具,工具
142,boom-boot-conf,工具,工具
143,boom-boot-grub2,工具,工具
144,python3-boom,工具,库
145,boost,库,库
146,boost-atomic,库,库
147,boost-build,库,工具
148,boost-chrono,库,库
149,boost-container,库,库
150,boost-context,库,库
151,boost-coroutine,库,库
152,boost-date-time,库,库
153,boost-examples,库,库
154,boost-fiber,库,库
155,boost-filesystem,库,库
156,boost-graph,库,库
157,boost-graph-mpich,库,库
158,boost-graph-openmpi,库,库
159,boost-iostreams,库,库
160,boost-jam,库,工具
161,boost-locale,库,工具
162,boost-log,库,库
163,boost-math,库,库
164,boost-mpich,库,库
165,boost-mpich-python3,库,库
166,boost-numpy3,库,工具
167,boost-openmpi,库,库
168,boost-openmpi-python3,库,工具
169,boost-program-options,库,库
170,boost-python3,库,工具
171,boost-random,库,库
172,boost-regex,库,工具
173,boost-serialization,库,库
174,boost-signals,库,库
175,boost-stacktrace,库,库
176,boost-static,库,库
177,boost-system,库,库
178,boost-thread,库,库
179,boost-timer,库,库
180,boost-type_erasure,库,库
181,boost-wave,库,库
182,brasero,工具,服务
183,brasero-libs,库,工具
184,brasero-nautilus,工具,工具
185,brlapi,库,工具
186,brlapi-java,库,工具
187,python3-brlapi,库,工具
188,tcl-brlapi,库,工具
189,python3-brotli,库,库
190,bsf,库,库
191,bsh,库,服务
192,bubblewrap,库,工具
193,buildah,工具,服务
194,byacc,工具,工具
195,byaccj,库,工具
196,byteman,工具,服务
197,byzanz,工具,工具
198,bzip2,工具,服务
199,bzip2-libs,库,其它
200,cairo,库,库
201,cairo-gobject,库,库
202,cairomm,库,库
203,cal10n,库,工具
204,c-ares,库,库
205,cdi-api,库,工具
206,cdparanoia,工具,工具
207,cdparanoia-libs,库,库
208,dirsplit,库,库
209,icedax,工具,工具
210,libusal,库,库
211,wodim,工具,工具
212,libcephfs2,库,库
213,librados2,库,库
214,libradosstriper1,库,库
215,librbd1,库,库
216,certmonger,服务,服务
217,cgdcbxd,服务,服务
218,cglib,库,库
219,checkpolicy,工具,工具
220,cheese,工具,工具
221,cheese-libs,库,库
222,chkconfig,工具,工具
