idx,name,y_true,y_predict
0,389-ds-base,工具,服务
1,389-ds-base-legacy-tools,工具,服务
2,389-ds-base-libs,库,服务
3,389-ds-base-snmp,工具,服务
4,python3-lib389,库,库
5,liba52,库,库
6,aajohan-comfortaa-fonts,其它,其它
7,abattis-cantarell-fonts,其它,其它
8,abrt,库,工具
9,abrt-addon-ccpp,工具,工具
10,abrt-addon-coredump-helper,工具,服务
11,abrt-addon-kerneloops,工具,服务
12,abrt-addon-pstoreoops,工具,服务
13,abrt-addon-vmcore,工具,工具
14,abrt-addon-xorg,工具,服务
15,abrt-cli,工具,服务
16,abrt-cli-ng,工具,服务
17,abrt-console-notification,工具,服务
18,abrt-dbus,服务,服务
19,abrt-desktop,服务,服务
20,abrt-gui,工具,服务
21,abrt-gui-libs,库,库
22,abrt-libs,库,库
23,abrt-plugin-machine-id,工具,服务
24,abrt-plugin-sosreport,工具,服务
25,abrt-tui,工具,服务
26,python3-abrt,库,工具
27,python3-abrt-addon,库,工具
28,python3-abrt-container-addon,库,工具
29,abrt-java-connector,库,库
30,accel-config,工具,库
31,accel-config-libs,库,库
32,accountsservice,服务,服务
33,accountsservice-libs,库,服务
34,acl,工具,工具
35,libacl,库,库
36,acpica-tools,工具,工具
37,acpid,服务,服务
38,adcli,工具,服务
39,adobe-mappings-cmap,工具,其它
40,adobe-mappings-cmap-deprecated,工具,其它
41,adobe-mappings-pdf,工具,工具
42,adwaita-cursor-theme,工具,服务
43,adwaita-icon-theme,工具,服务
44,adwaita-qt5,库,库
45,libadwaita-qt5,库,库
46,aide,工具,库
47,alsa-firmware,服务,服务
48,alsa-lib,库,库
49,alsa-ucm,库,服务
50,alsa-plugins-arcamav,服务,库
51,alsa-plugins-maemo,服务,库
52,alsa-plugins-oss,服务,库
53,alsa-plugins-pulseaudio,服务,库
54,alsa-plugins-samplerate,服务,库
55,alsa-plugins-speex,服务,库
56,alsa-plugins-upmix,服务,库
57,alsa-plugins-usbstream,服务,库
58,alsa-plugins-vdownmix,服务,库
59,alsa-sof-firmware,服务,服务
60,alsa-tools-firmware,工具,服务
61,alsa-utils,工具,库
62,alsa-utils-alsabat,工具,工具
63,amanda,工具,工具
64,amanda-client,工具,工具
65,amanda-libs,库,库
66,amanda-server,服务,工具
67,anaconda,工具,服务
68,anaconda-core,工具,库
69,anaconda-dracut,工具,工具
70,anaconda-gui,工具,服务
71,anaconda-install-env-deps,工具,服务
72,anaconda-tui,工具,库
73,anaconda-widgets,工具,库
74,anaconda-user-help,工具,库
75,annobin,工具,工具
76,annobin-annocheck,工具,工具
77,anolis-indexhtml,服务,服务
78,anolis-backgrounds,服务,服务
79,anolis-logos,服务,工具
80,anolis-logos-httpd,服务,服务
81,anolis-logos-ipa,服务,服务
82,anolis-epao-release,服务,服务
83,anolis-experimental-release,服务,服务
84,anolis-gpg-keys,服务,服务
85,anolis-release,服务,服务
86,anolis-repos,服务,服务
87,ansible-collection-microsoft-sql,工具,服务
88,ansible-core,工具,工具
89,ansible-freeipa,工具,服务
90,ansible-pcp,工具,服务
91,ant,工具,库
92,ant-antlr,库,工具
93,ant-apache-bcel,库,库
94,ant-apache-bsf,库,库
95,ant-apache-log4j,库,库
96,ant-apache-oro,库,库
97,ant-apache-regexp,库,库
98,ant-apache-resolver,库,库
99,ant-apache-xalan2,库,库
100,ant-commons-logging,库,库
101,ant-commons-net,库,库
102,ant-javadoc,库,库
103,ant-javamail,库,库
104,ant-jdepend,库,库
105,ant-jmf,库,库
106,ant-jsch,库,库
107,ant-junit,库,库
108,ant-lib,库,库
109,ant-manual,库,库
110,ant-swing,库,库
111,ant-testutil,工具,库
112,ant-xz,库,库
113,ant-contrib,库,库
114,ant-contrib-javadoc,库,库
115,antlr-C++,库,库
116,antlr-javadoc,库,库
117,antlr-manual,库,库
118,antlr-tool,工具,工具
119,aom,库,库
120,aopalliance,库,库
121,aopalliance-javadoc,库,库
122,apache-commons-beanutils,库,工具
123,apache-commons-beanutils-javadoc,库,库
124,apache-commons-cli,库,库
125,apache-commons-cli-javadoc,库,库
126,apache-commons-codec,库,库
127,apache-commons-codec-javadoc,库,库
128,apache-commons-collections,库,工具
129,apache-commons-collections-javadoc,库,库
130,apache-commons-compress,库,库
131,apache-commons-compress-javadoc,库,库
132,apache-commons-exec,库,库
133,apache-commons-exec-javadoc,库,库
134,apache-commons-io,库,库
135,apache-commons-io-javadoc,库,库
136,apache-commons-jxpath,库,库
137,apache-commons-jxpath-javadoc,库,库
138,apache-commons-lang,库,库
139,apache-commons-lang-javadoc,库,库
140,apache-commons-lang3,库,库
141,apache-commons-lang3-javadoc,库,库
142,apache-commons-logging,库,库
143,apache-commons-logging-javadoc,库,库
144,apache-commons-net,库,库
145,apache-commons-net-javadoc,库,库
146,apache-commons-parent,库,工具
147,apache-ivy,库,库
148,apache-ivy-javadoc,库,库
149,apache-parent,库,工具
150,apache-resource-bundles,库,库
151,apiguardian,库,库
152,appstream-data,库,服务
153,apr,库,库
154,apr-util,工具,工具
155,apr-util-bdb,工具,库
156,apr-util-ldap,工具,工具
157,apr-util-mysql,工具,工具
158,apr-util-odbc,工具,工具
159,apr-util-openssl,工具,工具
160,apr-util-pgsql,工具,工具
161,apr-util-sqlite,工具,工具
162,aqute-bnd,库,库
163,aqute-bnd-javadoc,库,库
164,aqute-bndlib,库,库
165,bnd-maven-plugin,库,工具
166,arpwatch,工具,工具
167,asciidoc,工具,工具
168,aspell,工具,库
169,aspell-en,工具,工具
170,assertj-core,库,库
171,assertj-core-javadoc,库,库
172,at,工具,工具
173,atinject,库,库
174,atinject-javadoc,库,库
175,atinject-tck,库,库
176,atk,库,库
177,atkmm,库,库
178,atlas,库,库
179,atlas-corei2,库,库
180,at-spi2-atk,工具,工具
