idx,name,y_true,y_predict
0,389-ds-base,工具,服务
1,a52dec,工具,库
2,aajohan-comfortaa-fonts,其它,其它
3,abattis-cantarell-fonts,其它,其它
4,abrt,工具,工具
5,abrt-java-connector,库,库
6,accel-config,库,服务
7,accountsservice,服务,服务
8,acl,库,库
9,acpica-tools,工具,工具
10,acpid,服务,服务
11,adcli,工具,服务
12,adobe-mappings-cmap,工具,工具
13,adobe-mappings-pdf,工具,工具
14,adwaita-icon-theme,工具,服务
15,adwaita-qt,库,库
16,aide,工具,库
17,alsa-firmware,服务,服务
18,alsa-lib,库,库
19,alsa-plugins,服务,服务
20,alsa-sof-firmware,服务,工具
21,alsa-tools,工具,服务
22,alsa-utils,工具,库
23,amanda,工具,服务
24,anaconda,工具,工具
25,anaconda-user-help,工具,工具
26,annobin,工具,工具
27,anolis-indexhtml,服务,其它
28,anolis-logos,服务,服务
29,anolis-rawhide-release,服务,服务
30,anolis-release,服务,工具
31,ansible-collection-microsoft-sql,工具,工具
32,ansible-core,工具,服务
33,ansible-freeipa,工具,服务
34,ansible-pcp,工具,服务
35,ant,工具,库
36,ant-contrib,工具,库
37,antlr,库,库
38,aom,库,库
39,aopalliance,库,库
40,apache-commons-beanutils,库,工具
41,apache-commons-cli,库,库
42,apache-commons-codec,库,库
43,apache-commons-collections,库,库
44,apache-commons-compress,库,其它
45,apache-commons-exec,库,库
46,apache-commons-io,库,库
47,apache-commons-jxpath,库,服务
48,apache-commons-lang,库,库
49,apache-commons-lang3,库,其它
50,apache-commons-logging,库,库
51,apache-commons-net,库,库
52,apache-commons-parent,库,库
53,apache-ivy,库,服务
54,apache-parent,库,库
55,apache-resource-bundles,库,服务
56,apiguardian,库,库
57,appstream-data,库,服务
58,apr,库,库
59,apr-util,工具,工具
60,aqute-bnd,库,库
61,arpwatch,工具,服务
62,asciidoc,工具,工具
63,aspell,工具,工具
64,aspell-en,工具,工具
65,assertj-core,库,库
66,at,工具,服务
67,atinject,库,库
68,atk,库,库
69,atkmm,库,库
70,atlas,库,工具
71,at-spi2-atk,工具,服务
72,at-spi2-core,库,服务
73,attr,工具,库
74,audit,工具,服务
75,augeas,库,库
76,authd,服务,服务
77,authselect,工具,工具
78,autoconf,工具,工具
79,autoconf213,工具,工具
80,autoconf-archive,工具,服务
81,autofs,服务,服务
82,autogen,工具,工具
83,automake,工具,工具
84,autotrace,工具,工具
85,avahi,服务,工具
86,awscli,工具,工具
87,babassl,库,库
88,babel,工具,工具
89,babeltrace,库,库
90,babl,库,库
91,bacula,工具,工具
92,baobab,工具,工具
93,basesystem,服务,库
94,bash,工具,服务
95,bash-completion,工具,库
96,batik,库,库
97,bc,工具,工具
98,bcc,工具,工具
99,bcel,库,工具
100,bea-stax,库,库
101,beust-jcommander,库,库
102,bind,服务,服务
103,bind9.16,服务,服务
104,bind-dyndb-ldap,服务,服务
105,binutils,工具,工具
106,biosdevname,工具,库
107,bison,工具,工具
108,bitmap-fonts,其它,其它
109,blktrace,工具,工具
110,bluez,工具,服务
111,blur-effect,库,库
112,bogofilter,工具,工具
113,bolt,服务,服务
114,boom-boot,工具,其它
115,boost,库,工具
116,booth,工具,服务
117,bpftrace,工具,工具
118,bpg-fonts,其它,其它
119,brasero,工具,库
120,breeze-icon-theme,工具,工具
121,brltty,工具,工具
122,brotli,库,工具
123,bsf,库,库
124,bsh,库,库
125,bubblewrap,库,库
126,buildah,工具,库
127,byacc,工具,工具
128,byaccj,工具,库
129,byteman,工具,工具
130,byzanz,工具,工具
131,bzip2,工具,工具
132,c2esp,库,库
133,ca-certificates,工具,服务
134,cachefilesd,服务,服务
135,cairo,库,工具
136,cairomm,库,工具
137,cal10n,库,库
138,c-ares,库,库
139,cdi-api,库,库
140,cdparanoia,工具,服务
141,cdrdao,工具,库
142,cdrkit,库,工具
143,celt051,库,库
144,ceph,其它,服务
145,certmonger,服务,服务
146,cgdcbxd,服务,服务
147,cglib,库,库
148,chan,库,库
149,check,工具,工具
150,checkpolicy,工具,库
151,cheese,工具,库
152,chkconfig,工具,库
153,chrome-gnome-shell,其它,其它
154,chrony,服务,服务
155,chrpath,工具,库
156,cifs-utils,工具,服务
157,cim-schema,服务,服务
158,cjose,库,服务
159,clang,库,工具
160,cldr-emoji-annotation,工具,工具
161,clevis,工具,工具
162,cloud-init,服务,服务
163,cloud-utils-growpart,工具,其它
164,clucene,库,库
165,clufter,工具,工具
166,clutter,工具,工具
167,clutter-gst2,库,服务
168,clutter-gst3,库,服务
169,clutter-gtk,库,库
170,cmake,工具,工具
171,cmocka,库,库
172,cockpit,库,服务
173,cockpit-appstream,库,服务
174,cockpit-composer,库,库
175,cockpit-podman,库,服务
176,cockpit-session-recording,库,库
177,codemodel,库,库
178,cogl,库,工具
179,colord,服务,服务
180,colord-gtk,库,库
181,color-filesystem,库,库
182,compat-exiv2-026,库,库
183,compat-guile18,工具,服务
184,compat-libgfortran-48,库,库
185,compat-libtiff3,库,库
186,compat-openssl10,库,其它
187,compiler-rt,工具,库
188,conmon,库,服务
189,conntrack-tools,工具,服务
190,containerd,服务,服务
191,container-exception-logger,服务,服务
192,containernetworking-plugins,服务,服务
193,containers-common,服务,服务
194,container-selinux,库,库
195,convmv,工具,工具
196,copy-jdk-configs,工具,工具
197,coreos-installer,工具,服务
198,coreutils,工具,库
199,corosync,服务,服务
200,corosync-qdevice,服务,工具
201,cpio,工具,工具
202,cppcheck,工具,库
203,cppunit,库,库
204,cracklib,库,工具
205,crash,工具,工具
206,crash-gcore-command,工具,库
207,crash-ptdump-command,工具,库
208,crash-trace-command,工具,库
209,crda,服务,服务
210,createrepo_c,工具,工具
211,cri-tools,工具,服务
212,criu,库,工具
213,cronie,服务,其它
214,crontabs,工具,工具
215,crun,库,服务
216,crypto-policies,工具,服务
217,cryptsetup,工具,服务
218,cscope,工具,工具
219,ctags,工具,工具
220,culmus-fonts,其它,其它
221,CUnit,库,库
222,cups,服务,服务
223,cups-filters,库,服务
224,cups-pk-helper,库,服务
225,curl,工具,服务
226,custodia,服务,服务
227,cyrus-imapd,服务,服务
