idx,name,y_true,y_predict
0,389-ds-base,系统,系统
1,389-ds-base-legacy-tools,系统,系统
2,389-ds-base-libs,系统,系统
3,389-ds-base-snmp,系统,系统
4,python3-lib389,系统,系统
5,liba52,系统,核心
6,aajohan-comfortaa-fonts,其它,其它
7,abattis-cantarell-fonts,其它,其它
8,abrt,系统,系统
9,abrt-addon-ccpp,应用,应用
10,abrt-addon-coredump-helper,应用,应用
11,abrt-addon-kerneloops,应用,系统
12,abrt-addon-pstoreoops,应用,应用
13,abrt-addon-vmcore,应用,系统
14,abrt-addon-xorg,应用,应用
15,abrt-cli,应用,系统
16,abrt-cli-ng,应用,应用
17,abrt-console-notification,应用,系统
18,abrt-dbus,应用,系统
19,abrt-desktop,应用,系统
20,abrt-gui,应用,应用
21,abrt-gui-libs,应用,应用
22,abrt-libs,应用,应用
23,abrt-plugin-machine-id,应用,系统
24,abrt-plugin-sosreport,应用,系统
25,abrt-tui,应用,应用
26,python3-abrt,系统,系统
27,python3-abrt-addon,系统,系统
28,python3-abrt-container-addon,系统,应用
29,abrt-java-connector,应用,应用
30,accel-config,应用,核心
31,accel-config-libs,应用,核心
32,accountsservice,应用,应用
33,accountsservice-libs,应用,应用
34,acl,核心,核心
35,libacl,核心,核心
36,acpica-tools,系统,系统
37,acpid,系统,应用
38,adcli,应用,系统
39,adobe-mappings-cmap,应用,应用
40,adobe-mappings-cmap-deprecated,应用,应用
41,adobe-mappings-pdf,应用,应用
42,adwaita-cursor-theme,应用,应用
43,adwaita-icon-theme,应用,核心
44,adwaita-qt5,应用,应用
45,libadwaita-qt5,应用,应用
46,aide,应用,核心
47,alsa-firmware,系统,应用
48,alsa-lib,系统,核心
49,alsa-ucm,系统,系统
50,alsa-plugins-arcamav,系统,系统
51,alsa-plugins-maemo,系统,系统
52,alsa-plugins-oss,系统,系统
53,alsa-plugins-pulseaudio,系统,系统
54,alsa-plugins-samplerate,系统,系统
55,alsa-plugins-speex,系统,系统
56,alsa-plugins-upmix,系统,系统
57,alsa-plugins-usbstream,系统,系统
58,alsa-plugins-vdownmix,系统,系统
59,alsa-sof-firmware,系统,其它
60,alsa-tools-firmware,系统,核心
61,alsa-utils,系统,系统
62,alsa-utils-alsabat,系统,系统
63,amanda,应用,系统
64,amanda-client,应用,系统
65,amanda-libs,应用,应用
66,amanda-server,应用,应用
67,anaconda,系统,应用
68,anaconda-core,系统,系统
69,anaconda-dracut,系统,核心
70,anaconda-gui,系统,应用
71,anaconda-install-env-deps,系统,应用
72,anaconda-tui,系统,应用
73,anaconda-widgets,系统,应用
74,anaconda-user-help,系统,应用
75,annobin,应用,应用
76,annobin-annocheck,应用,系统
77,anolis-indexhtml,核心,核心
78,anolis-backgrounds,核心,核心
79,anolis-logos,核心,核心
80,anolis-logos-httpd,核心,核心
81,anolis-logos-ipa,核心,核心
82,anolis-epao-release,核心,核心
83,anolis-experimental-release,核心,核心
84,anolis-gpg-keys,核心,核心
85,anolis-release,核心,核心
86,anolis-repos,核心,核心
87,ansible-collection-microsoft-sql,应用,应用
88,ansible-core,应用,系统
89,ansible-freeipa,应用,应用
90,ansible-pcp,应用,系统
91,ant,应用,应用
92,ant-antlr,应用,应用
93,ant-apache-bcel,应用,应用
94,ant-apache-bsf,应用,应用
95,ant-apache-log4j,应用,应用
96,ant-apache-oro,应用,应用
97,ant-apache-regexp,应用,应用
98,ant-apache-resolver,应用,应用
99,ant-apache-xalan2,应用,应用
100,ant-commons-logging,应用,应用
101,ant-commons-net,应用,应用
102,ant-javadoc,应用,应用
103,ant-javamail,应用,应用
104,ant-jdepend,应用,应用
105,ant-jmf,应用,应用
106,ant-jsch,应用,应用
107,ant-junit,应用,应用
108,ant-lib,应用,应用
109,ant-manual,应用,系统
110,ant-swing,应用,应用
111,ant-testutil,应用,应用
112,ant-xz,应用,应用
113,ant-contrib,应用,应用
114,ant-contrib-javadoc,应用,应用
115,antlr-C++,应用,核心
116,antlr-javadoc,应用,应用
117,antlr-manual,应用,系统
118,antlr-tool,应用,应用
119,aom,应用,应用
120,aopalliance,应用,应用
121,aopalliance-javadoc,应用,应用
122,apache-commons-beanutils,应用,应用
123,apache-commons-beanutils-javadoc,应用,应用
124,apache-commons-cli,应用,应用
125,apache-commons-cli-javadoc,应用,应用
126,apache-commons-codec,应用,应用
127,apache-commons-codec-javadoc,应用,应用
128,apache-commons-collections,应用,应用
129,apache-commons-collections-javadoc,应用,应用
130,apache-commons-collections-testframework,应用,应用
131,apache-commons-compress,应用,应用
132,apache-commons-compress-javadoc,应用,应用
133,apache-commons-exec,应用,应用
134,apache-commons-exec-javadoc,应用,应用
135,apache-commons-io,应用,应用
136,apache-commons-io-javadoc,应用,应用
137,apache-commons-jxpath,应用,应用
138,apache-commons-jxpath-javadoc,应用,应用
139,apache-commons-lang,应用,应用
140,apache-commons-lang-javadoc,应用,应用
141,apache-commons-lang3,应用,应用
142,apache-commons-lang3-javadoc,应用,应用
143,apache-commons-logging,应用,应用
144,apache-commons-logging-javadoc,应用,应用
145,apache-commons-net,应用,应用
146,apache-commons-net-javadoc,应用,应用
147,apache-commons-parent,应用,应用
148,apache-ivy,应用,应用
149,apache-ivy-javadoc,应用,应用
150,apache-parent,应用,应用
151,apache-resource-bundles,应用,应用
152,apiguardian,应用,应用
153,appstream-data,应用,系统
154,apr,应用,核心
155,apr-util,应用,系统
156,apr-util-bdb,应用,系统
157,apr-util-ldap,应用,系统
158,apr-util-mysql,应用,系统
159,apr-util-odbc,应用,应用
160,apr-util-openssl,应用,核心
161,apr-util-pgsql,应用,系统
162,apr-util-sqlite,应用,系统
163,aqute-bnd,应用,应用
164,aqute-bnd-javadoc,应用,应用
165,aqute-bndlib,应用,应用
166,bnd-maven-plugin,应用,应用
167,arpwatch,应用,应用
168,asciidoc,应用,系统
169,aspell,应用,应用
170,aspell-en,应用,应用
171,assertj-core,应用,应用
172,assertj-core-javadoc,应用,应用
173,at,系统,核心
174,atinject,应用,应用
175,atinject-javadoc,应用,应用
176,atinject-tck,应用,应用
177,atk,应用,应用
178,atkmm,应用,应用
179,atlas,系统,系统
180,atlas-corei2,系统,系统
181,at-spi2-atk,应用,应用
182,at-spi2-core,应用,应用
183,attr,核心,核心
184,libattr,核心,核心
185,audispd-plugins,核心,应用
186,audispd-plugins-zos,核心,系统
187,audit,核心,应用
188,audit-libs,核心,核心
189,python3-audit,系统,核心
190,augeas,应用,系统
191,augeas-libs,应用,核心
192,authd,系统,系统
193,authselect,系统,核心
194,authselect-compat,系统,系统
195,authselect-libs,系统,系统
196,autoconf,应用,系统
197,autoconf213,应用,系统
198,autoconf-archive,应用,系统
199,autofs,应用,系统
200,autogen,应用,系统
201,autogen-libopts,应用,应用
202,automake,应用,系统
203,autotrace,应用,应用
204,avahi,应用,应用
205,avahi-autoipd,应用,应用
