idx,name,y_true,y_predict
0,GConf2,库,服务
1,GeoIP,库,服务
2,GeoIP-GeoLite-data,库,库
3,HdrHistogram_c,工具,库
4,Judy,其它,库
5,LibRaw,库,库
6,ModemManager,工具,服务
7,NetworkManager,服务,服务
8,NetworkManager-libreswan,库,其它
9,OpenEXR,库,库
10,OpenIPMI,库,工具
11,PackageKit,库,服务
12,PyYAML,库,服务
13,SDL,库,库
14,WALinuxAgent,服务,服务
15,Xaw3d,工具,工具
16,aajohan-comfortaa-fonts,其它,其它
17,abattis-cantarell-fonts,其它,其它
18,abrt,工具,工具
19,abrt-java-connector,库,库
20,accel-config,工具,服务
21,accountsservice,库,服务
22,acl,工具,服务
23,acpica-tools,工具,服务
24,acpid,服务,服务
25,adcli,工具,工具
26,adobe-mappings-cmap,工具,工具
27,adobe-mappings-pdf,工具,库
28,adwaita-icon-theme,服务,其它
29,adwaita-qt,库,其它
30,alsa-firmware,服务,服务
31,alsa-lib,库,工具
32,alsa-plugins,工具,工具
33,alsa-sof-firmware,服务,服务
34,alsa-tools,工具,服务
35,alsa-utils,工具,库
36,amanda,工具,工具
37,anaconda,工具,服务
38,anaconda-user-help,工具,工具
39,anolis-logos,服务,服务
40,anolis-release,服务,其它
41,ansible-core,工具,服务
42,ansible-freeipa,工具,工具
43,ant,其它,库
44,aom,库,工具
45,apache-commons-cli,其它,其它
46,apache-commons-codec,其它,库
47,apache-commons-collections,其它,工具
48,apache-commons-compress,其它,其它
49,apache-commons-io,其它,库
50,apache-commons-jxpath,其它,库
51,apache-commons-lang3,其它,其它
52,apache-commons-logging,其它,库
53,apache-commons-net,其它,其它
54,appstream-data,库,其它
55,apr,库,服务
56,apr-util,工具,工具
57,arpwatch,工具,服务
58,asciidoc,工具,工具
59,aspell,工具,工具
60,aspell-en,工具,库
61,at,工具,服务
62,at-spi2-atk,工具,工具
63,at-spi2-core,工具,工具
64,atk,库,工具
65,atkmm,库,库
66,atlas,工具,库
67,attr,工具,服务
68,audit,工具,服务
69,augeas,服务,服务
70,authselect,工具,服务
71,autoconf,工具,工具
72,autoconf-archive,库,其它
73,autofs,服务,服务
74,autogen,工具,库
75,automake,工具,工具
76,autotrace,工具,工具
77,avahi,服务,服务
78,awscli,工具,服务
79,babel,工具,工具
80,babeltrace,工具,服务
81,babl,库,库
82,bacula,工具,工具
83,baobab,工具,工具
84,basesystem,服务,服务
85,bash,工具,工具
86,bash-completion,工具,其它
87,bc,工具,工具
88,bcc,工具,库
89,bind,服务,服务
90,bind9.16,服务,服务
91,binutils,工具,库
92,biosdevname,工具,服务
93,bison,库,工具
94,bitmap-fonts,其它,服务
95,blktrace,工具,服务
96,bluez,工具,服务
97,blur-effect,库,库
98,bogofilter,工具,库
99,bolt,服务,服务
100,boom-boot,工具,服务
101,boost,库,工具
102,booth,工具,服务
103,bpftrace,工具,其它
104,brasero,工具,库
105,breeze-icon-theme,其它,其它
106,brltty,工具,工具
107,brotli,库,工具
108,bubblewrap,库,服务
109,byteman,工具,工具
110,byzanz,工具,工具
111,bzip2,工具,服务
112,c-ares,库,库
113,c2esp,库,服务
114,ca-certificates,工具,其它
115,cachefilesd,服务,服务
116,cairo,库,工具
117,cairomm,库,库
118,cdparanoia,库,库
119,cdrdao,工具,库
120,cdrkit,库,库
121,celt051,库,库
122,ceph,服务,工具
123,certmonger,工具,服务
124,chan,工具,库
125,check,工具,工具
126,checkpolicy,工具,库
127,cheese,工具,工具
128,chkconfig,工具,服务
129,chrome-gnome-shell,工具,其它
130,chrony,服务,服务
131,chrpath,工具,服务
132,cifs-utils,工具,服务
133,cim-schema,服务,服务
134,cjose,库,工具
135,clang,其它,其它
136,cldr-emoji-annotation,工具,工具
137,clevis,工具,工具
138,cloud-init,其它,库
139,clucene,工具,工具
140,clufter,工具,服务
141,clutter,库,工具
142,clutter-gst2,库,其它
143,clutter-gst3,库,其它
144,clutter-gtk,库,工具
145,cmake,工具,工具
146,cockpit,库,服务
147,cockpit-appstream,库,工具
148,cockpit-composer,库,工具
149,cockpit-session-recording,库,其它
150,codemodel,库,其它
151,cogl,库,工具
152,color-filesystem,库,其它
153,colord,服务,服务
154,colord-gtk,库,库
155,compat-libtiff3,库,库
156,conntrack-tools,工具,服务
157,container-exception-logger,工具,工具
158,containerd,服务,服务
159,convmv,工具,工具
160,copy-jdk-configs,工具,工具
161,coreutils,工具,工具
162,corosync,库,服务
163,corosync-qdevice,服务,服务
164,cpio,工具,服务
165,cppcheck,工具,库
166,cppunit,工具,库
167,cracklib,库,服务
168,crash,工具,库
169,crash-gcore-command,工具,其它
170,crash-ptdump-command,工具,库
171,crash-trace-command,工具,库
172,crda,服务,服务
173,createrepo_c,工具,工具
174,cronie,服务,服务
175,crontabs,工具,服务
176,crypto-policies,工具,工具
177,cryptsetup,工具,服务
178,cscope,工具,工具
179,ctags,工具,工具
180,culmus-fonts,其它,其它
181,cups,服务,服务
182,cups-filters,库,库
183,cups-pk-helper,库,其它
184,curl,工具,工具
185,cyrus-imapd,库,服务
186,cyrus-sasl,库,库
187,dav1d,库,工具
188,dbus,其它,服务
189,dbus-c++,库,库
190,dbus-glib,库,库
191,dbus-python,库,服务
192,dbusmenu-qt,其它,其它
193,dbxtool,工具,服务
194,dconf,工具,服务
195,dconf-editor,工具,工具
196,dcraw,工具,库
197,dde,其它,其它
198,dde-account-faces,其它,其它
199,dde-api,库,其它
200,dde-calendar,其它,其它
201,dde-clipboard,其它,其它
202,dde-control-center,其它,其它
203,dde-daemon,其它,其它
204,dde-device-formatter,其它,库
205,dde-dock,其它,其它
206,dde-file-manager,其它,其它
207,dde-kwin,其它,其它
208,dde-launcher,其它,其它
209,dde-network-utils,其它,其它
210,dde-polkit-agent,其它,其它
211,dde-printer,其它,其它
212,dde-qt-dbus-factory,其它,其它
213,dde-qt5integration,其它,其它
214,dde-qt5platform-plugins,其它,库
215,dde-server-industry-config,其它,其它
216,dde-session-shell,其它,其它
217,dde-session-ui,其它,其它
218,deepin-anything,其它,库
219,deepin-authenticate,其它,其它
220,deepin-boot-maker,其它,其它
221,deepin-calculator,其它,其它
222,deepin-compressor,其它,其它
223,deepin-default-settings,其它,其它
224,deepin-desktop-base,其它,其它
225,deepin-desktop-schemas,其它,其它
226,deepin-devicemanager,其它,服务
227,deepin-diskmanager,其它,工具
228,deepin-editor,其它,其它
229,deepin-fcitxconfigtool-plugin,其它,库
230,deepin-font-manager,其它,其它
231,deepin-gettext-tools,其它,其它
232,deepin-gtk-theme,其它,其它
233,deepin-icon-theme,其它,其它
234,deepin-image-viewer,其它,其它
235,deepin-log-viewer,其它,工具
236,deepin-manual,其它,服务
237,deepin-menu,其它,其它
238,deepin-picker,其它,其它
239,deepin-pw-check,其它,其它
240,deepin-reader,其它,其它
241,deepin-screen-recorder,其它,其它
242,deepin-shortcut-viewer,其它,其它
243,deepin-sound-theme,其它,其它
244,deepin-system-monitor,其它,其它
245,deepin-terminal,其它,工具
246,deepin-turbo,其它,其它
247,deepin-wallpapers,其它,其它
248,dejagnu,工具,服务
249,dejavu-fonts,其它,其它
250,desktop-file-utils,工具,其它
251,devhelp,工具,工具
252,device-mapper-multipath,工具,其它
253,device-mapper-persistent-data,库,服务
254,dhcp,服务,服务
255,dialog,库,工具
256,diffstat,工具,服务
257,diffutils,工具,工具
258,ding-libs,库,库
259,disomaster,工具,其它
260,djvulibre,工具,工具
261,dleyna-connector-dbus,服务,服务
262,dleyna-core,库,库
263,dleyna-renderer,服务,服务
264,dleyna-server,服务,服务
265,dlm,库,服务
266,dmidecode,工具,服务
267,dnf,工具,服务
268,dnf-plugins-core,工具,其它
269,dnssec-trigger,工具,服务
270,docbook-dtds,库,库
271,docbook-style-dsssl,库,工具
272,docbook-style-xsl,库,工具
273,docbook-utils,工具,工具
274,docbook2X,工具,工具
275,docker,其它,服务
276,dos2unix,工具,服务
277,dosfstools,工具,服务
278,dotconf,库,服务
279,dotnet,服务,服务
280,dotnet3.0,服务,服务
281,dotnet3.1,服务,服务
282,dotnet5.0,服务,服务
283,dotnet6.0,服务,服务
284,dovecot,库,工具
285,doxygen,工具,库
286,dpa-ext-gnomekeyring,工具,其它
287,dpdk,库,库
288,dracut,工具,服务
289,drpm,库,工具
290,dtkcore,工具,其它
291,dtkgui,工具,其它
292,dtkwidget,工具,其它
293,dump,工具,工具
294,dvd+rw-tools,工具,其它
295,dwz,工具,服务
296,dyninst,工具,工具
297,e2fsprogs,工具,服务
298,ed,工具,工具
299,edk2,库,工具
300,efi-rpm-macros,库,服务
301,efibootmgr,工具,服务
302,efivar,服务,服务
303,egl-wayland,库,其它
304,elfutils,工具,服务
305,elinks,工具,工具
306,emacs,工具,工具
