idx,name,y_true,y_predict,feature
0,GConf2,库,工具,administration backends configuration database feature pluggable preference process store support transparent user
1,GeoIP,库,库,address base basis city country cron database enable file geoip hostname instal ipv4 ipv6 library mapping optionally organization package update user weekly
2,GeoIP-GeoLite-data,库,其它,address available city com contain country create data database free geolocation http include ipv4 ipv6 maxmind number package plus product www
3,HdrHistogram_c,工具,库,dynamic hdrhistogram high histogram port range
4,Judy,其它,库,advantage allocated array available benefit bound consume core declare design desire dynamic dynamically efficiency element extensible general grow high implement large library machine memory null number performance pointer populate pre provide purpose scalability scale simply size sparse state technology unbounded
5,LibRaw,库,库,base camera code dcraw digital eliminate file future library obtain photo read source utility
6,ModemManager,工具,服务,application broadband client consistent contain device easy functionality glib interact libraries library make management manages mobile modem package provide service support wwan
7,NetworkManager,服务,服务,address adsl advanced allow alternative applet application automatic automatically backward base based behave bluetooth bond bridge bring broadband compatibility config configuration connection contain curses default deployment device dhcp different dispatcher easy editor environment ethernet fi file functionality graphical ifdown ifup infiniband initscripts instal installs instead intend interface legacy libraries library like make manage manager mobile network networking networkmanager non olpc open operation package particular perform plugin policy replace routing rule script scripts server service static stop support sysconfig talk team text user variety vswitch wifi wwan
8,NetworkManager-libreswan,库,其它,capability contain desktop file gnome integrate ipsec libreswan networkmanager package plug plugin server software
9,OpenEXR,库,库,library openexr runtime
10,OpenIPMI,库,服务,access allow application base binary binding code contain develop information intelligent interface ipmi language library libs listener management network open openipmi package perl platform project python runtime share tool
11,PackageKit,库,服务,abstraction access allow application architecture automatically bus codecs command configured cron crontab cross distro font glib gstreamer gtk3 helper install layer library line manage management module offer package packagekit pango plugin program related repository secure service session simple user utility
12,PyYAML,库,库,allow applicable arbitrary broad capable complete complex configuration data design emitter error extension feature file format human interaction language message object parser provide python pyyaml range readability represent script sensible serialization specific standard support task unicode yaml
13,SDL,库,库,access audio buffer cross design device directmedia fast frame graphic layer library multimedia platform provide simple
14,WALinuxAgent,服务,服务,agent azure build cloud disk environment image instal linux machines microsoft package provisioning rule running specific support udev virtual
15,Xaw3d,工具,库,application athena change code dimensional enhanced incorporate install like look minimal source version widget window
16,aajohan-comfortaa-fonts,其它,其它,aspect bold comfortable coverage cyrillic decent european font good language modern regular sans serif style true type variant
17,abattis-cantarell-fonts,其它,其它,design family font humanist sans serif typeface
18,abrt,工具,工具,abrt access addon analyze analyzer application authorize automatic base build catch client collect command configuration console contain container convenient count crash create data dbus default defect desktop detect detection dmidecode easy enable environment event exception extend file freedesktop functionality generate generation graphical gtk gui handle help helper high hook improved information install installation interface kernel level libraries line maintainer make manipulate necessary need non notification org package plugin policykit print problem proc process program provide python query report reporting script service shell simple small snippet sosreports storage sys tool uncaught usage user virtual xorg
19,abrt-java-connector,库,库,abrt agent capable convert exception java library problem process provide transform uncaught
20,accel-config,工具,库,accelerator config configuration configure device libraries library subsystem utility
21,accountsservice,库,服务,account application base bus client command contain daemon implementation information interact interface library libs manipulate package project provide query talk user useradd userdel usermod want
22,acl,工具,工具,access contain control draft dynamic function library list manipulate need package posix standard support utility
23,acpica-tools,工具,服务,acpi advanced architecture assist basic binary code codes command comparison compiles complete component configuration contain contains content current data debug definition develop development directly display environment execution extract extraction file firmware following format gplv2 help host implementation inclusion independent input instal integrate interface kernel keywords language license machine manipulate message method need op operation order os output package performs portion power project provide purpose reference release resident simulate small source space specific specification subsystem suitable table tool tree user version write
24,acpid,服务,服务,acpi daemon dispatch event program space user
25,adcli,工具,工具,active directory domain enrollment join kerberos ldap standard tool
26,adobe-mappings-cmap,工具,工具,adobe application character chinese cids cmap code collection contain contains correctly currently deprecate deprecated display encode form function ghostscript glyph japanese korean mean package properly require resource sub text traditional unicode useful
27,adobe-mappings-pdf,工具,其它,adobe application character cids cmap code confuse different file function ghostscript mapping properly resource share structure syntax type useful variety
28,adwaita-icon-theme,服务,其它,adwaita contain cursor design desktop gnome icon modern originally package theme
29,adwaita-qt,库,库,adwaita application library theme utilizing variant
30,alsa-firmware,服务,服务,alsa binary card contain firmware include loader number package require sound supported tools
31,alsa-lib,库,工具,advanced allow alsa application architecture audio binary case compatibility configuration functionality high include input level library linux manager operating output package program programming provide rout runtime simplify sound support universal
32,alsa-plugins,工具,服务,access allow alsa application apps backend channel control convert converter daemon determine device driver easy expand explicitly expose external gateway http input jean kind like marc mixer mono native network node number option output play plugin plugins pre process processing program protocol provide public pulseaudio rate record resampler signal simple slave sound specific speex stereo stream suite surround task type uk usb use using virtual word www
33,alsa-sof-firmware,服务,服务,binary contain debug file firmware open package project sound topology
34,alsa-tools,工具,服务,alsa available card certain contain firmware flash following loader package phase second sound tool upload
35,alsa-utils,工具,工具,advanced alsa architecture audio basic command contain fast fourier framework library line linux package sound test tester tool transform utility
36,amanda,工具,工具,administrator advanced allow archiver attach automatic backup basic capable client component contain core device disk drive dump facility file host include instal install large library machine master microsoft multiple native need network newer note number package program samba server single solution tape unix version windows95 workstation write
37,anaconda,工具,工具,anaconda boot contain core custom depend dependency disk dracut driver environment ftp graphical gtk handle http include initial install installation installer interface kickstarts list local main make metapackage module nfs option package possible program pull runtime server setup specific task textual time user widget
38,anaconda-user-help,工具,工具,anaconda built content help package provide
39,anolis-logos,服务,服务,anolis approve copying httpd icon licensed picture related usage
40,anolis-release,服务,服务,anolis file package release repository signature
41,ansible-core,工具,其它,ansible automatically based configuration daemon deployment driven execution extension instal language machine manage management model module multi node remote require simple software ssh task transfer work write
42,ansible-freeipa,工具,工具,address ansible automount backup bin client cluster collection config configured controller currently delegation deploy deployment distribution environment external features fedora forwarder freeipa group handle host install installation ipaclient issue kinit location management manager method mode modules need node note package password permission plan privilege process processing properly record repair replica require restore rhel role roles rule self separate server service sign simple start step support supported time topology trust ubuntu uninstall user usr version versions work working zone
43,ant,其它,工具,allow apache application assemble build built command compile core dependent drive effectively extension file generally instance java known library line main mission number pilot point process supply target task term test tool type usage
44,aom,库,服务,alliance bandwidth capable commercial computational consistent contain content decoder deliver delivery designed device encoder file flexible focus footprint format free generated generation hardware include internet interoperable library media modern non open optimize optimized package quality real reference royalty scalable time user video
45,apache-commons-cli,其它,库,argument command easy interface java library line option provide simple work
46,apache-commons-codec,其它,其它,attempt base64 codec common commonly commons decoder encoders examples implementation include phonetic provide urls
47,apache-commons-collections,其它,工具,accelerate access adapter apis array certain class closure collection commons component container core create custom data development easy effective enumeration fast feature fulfill hole implementation interface intersection jakarta java leave lists maps method need object package powerful programming property provides purpose quick ready reduce set significantly special strive structure style sun test theory typical union utility
48,apache-commons-compress,其它,其它,apache brotli bzip2 commons compress compressed cpio decompression defines dump file form gzip java library package read remove support unix version work
49,apache-commons-io,其它,库,assist class commons contains develop endian file filter functionality implementation io library stream utilities utility
50,apache-commons-jxpath,其它,其它,applies context defines expression graph include interpreter javabeans kind language maps object servlet simple xpath
51,apache-commons-lang3,其它,其它,additionally apache artifact basic building change class commons compatibility component contain core create creation decide dedicate developer differently enum equal exception exceptions extra fail file hashcode help helper host inheritable java lang library manipulation method multiple nested notably numerical object package property provide provides reflection serialization series standard string structure support tostring type utility version
52,apache-commons-logging,其它,服务,abstraction addition allow apache basic choose commons component developer difference heavily implementation influence interface log log4j logging mean minimize number org orient package particular provide runtime simple small standalone user want wrapper
53,apache-commons-net,其它,其它,abstraction access command develop echo fundamental higher internet java level library like miscellaneous nntp originally pop3 protocol provide purpose smtp suite support telnet tftp time version whois
54,appstream-data,库,其它,appstream center distribution gnome metadata package provide require software specific
55,apr,库,服务,apache data form free include layer library mission operate os portability portable possible provide routine runtime structure win32
56,apr-util,工具,工具,abstraction additional apache berkeley contain crypto data database driver free include interface ldap library mission mysql odbc openssl package parsing portable postgresql provide routine runtime sqlite structure support util utility
57,arpwatch,工具,服务,address automatically build certain change contain database device email ethernet fddi install ip monitor monitoring need network package pair report tool track traffic utility
58,asciidoc,工具,工具,article asciidoc base book command docbook document file format generation html markup page short text translate unix write
59,aspell,工具,工具,aspell checker come design dictionary english enhancement eventually feature good handle include independent ispell language library main memory microsoft open personal possible process replace shared spell suggestion technical word
60,aspell-en,工具,库,aspell british canadian dictionaries dictionary english following list provides word
61,at,工具,服务,allows batch command control crontab drop execute file input install instead level load need note oriented package particular read recur shell specify standard time tool user utility
62,at-spi2-atk,工具,工具,access allows application assistive automation base based break bridge bus completely control corba essentially expose gtk include interact interface internals magnifier major module orbit package previous protocol query reader rewrite screen script spi technology tools transport version
63,at-spi2-core,工具,工具,access allows application assistive automation based break bus completely control corba daemon definition essentially expose gtk interact interface internals magnifier major orbit previous protocol query reader rewrite screen script spi technology tools transport version
64,atk,库,工具,accessibility alternative application device graphical input interface interfaces library magnifier provide reader screen support tool toolkit toolkits user
65,atkmm,库,库,callback class combine complex comprehensive create extensible freely highlights include inheritance interface library provide quickly typesafe user widget
66,atlas,工具,库,algebra apply architecture automatically base binary blas bridge build compile compromise configuration contain cpus customized documentation efficient effort good hardware implementation improvement information interface ivy lapack largely libraries library linear make necessarily necessary obtain ongoing optimal optimization order package performance portable portably present project provide research routine software source specific technique tend time tuned variety x86_64
67,attr,工具,工具,attribute command compatible contain dynamic extend filesystem function irix largely libattr library manage manipulate object package particular provide support tool utilities
68,audit,工具,服务,application audit auditing binding configure contain database directory dispatcher dynamic event facility forward framework generate happen incoming interface kernel later library libs like linux machine management need os package plugin plugins provide python3 real record relay remote search server service space store subsystem thing time tool user utility
69,augeas,服务,服务,augeas change changes comment configuration control definition edit expose file format hard lens libraries library make parse preserve programmatically public read structure transformation tree work write
70,authselect,工具,服务,administrator approach authentication build case command common configuration configure configures design different ends feature file identity instead library line obsolete package potential potentially profile replacement ship solve source stack support test time tool use utility
71,autoconf,工具,工具,allow autoconf automatically build code configurable configuration configure create develop end generated generation instal install like makefiles need note option package person portable programmer require script shell software source specify tool user using various
72,autoconf-archive,库,其它,archive autoconf cause collection contribute free friendly internet macro software
73,autofs,服务,服务,autofs automatically cd daemon filesystems floppy forth include later mount network roms tool unmounting
74,autogen,工具,库,automated base command consist document eliminate hassle library line nearly option parser parsing powerful process template time
75,automake,工具,工具,ability automake automatically coding compliant create develop file generate install like makefile makefiles software standard standards tool
76,autotrace,工具,工具,bitmap convert format graphic include input output postscript produce program supported utility vector xfig
77,avahi,服务,服务,able address addresses application automatic avahi binding bonjour brand central chat computer configuration contain convenient daemon dhcp discovery dynamic easy facilitate file glib gobject ietf implement instantly intend ipv4 kind lack laptop libraries library libs link local macos mean need network package people plug primarily print printer program protocol python3 range rendezvous run server service share technology time view wrapper zeroconf
78,awscli,工具,工具,amazon command environment interface line package provide services unified universal
79,babel,工具,库,access application babel build catalog cldr common compose data date display formatting gettext interface internationalize library locale localize major message number provide python repository tool various work
80,babeltrace,工具,工具,allow babel common conversion converter create format library plugin project provide read trace write
81,babl,库,库,buffer conversion creation dynamic exist facilitate format help image library myriad pixel provide store type
82,bacula,工具,工具,allow alternative architecture backup bacula base basic catalog client command common computer console contain daemon data device different director drive file library line logwatch manage management mass network package preferred program receive recovery responsible script select server storage tape verification write
83,baobab,工具,工具,able analyzer auto branch change detects device directory filesystem folder graphical home include make order real representation scan size specific time tree user
84,basesystem,服务,服务,basic bootstrapping component define example installation order package remove simple skeleton
85,bash,工具,库,bash bourne command compatible feature incorporate interpreter korn language modification script shell useful
86,bash-completion,工具,其它,advantage bash collection completion feature function programmable shell
87,bc,工具,工具,arbitrary arithmetic base calculator capability handling include install interactive language like mode need number numeric package precision processing stack text
88,bcc,工具,其它,analysis berkeley binding collection command compiler control create easy ebpf efficient ends example extend feature filters include instrumentation kernel know line linux llvm make manipulation network packet performance program python python3 suit task tool toolkit trace traffic useful wrapper write
89,bind,服务,服务,application berkeley bind build contain dhcp domain export implementation internet library libs package protocols version
90,bind9.16,服务,服务,16 address application based berkeley bind code collection contain contains domain environment fi file host implementation include information install interfacing internet libraries library license need network operate package program properly protocols provide query registered resolve resolver routine runtime server suite tool tree utilities utility utils verify version
91,binutils,工具,工具,addr2line address archive assembler binary binutils collection content convert copying create data detailed discard display extract family file generate gprof graph include index information line linker list modify objcopy objdump object printable profile ranlib readelf section size string strip symbol translate utility
92,biosdevname,工具,服务,argument bios chassis device directly form given helper kernel label necessary return simple udev
93,bison,库,工具,able available binary bison calculator change compatible complex contain context convert correctly depend description desk develop development ensure file free general generate generated generator grammar information install internationalization know lalr language manual need package packages parse parser program programming purpose range runtime section simple support trouble wide work write yacc
94,bitmap-fonts,其它,工具,anaconda bitmap cjk compatibility contain convert design encode family file font fonts instal intend location meta native number package provide select selected terminal xorg
95,blktrace,工具,工具,block collect data detailed event format gather include information install kernel layer linux mechanism need operation package pattern perform provide queue request space trace tracing user utilities utility
96,bluez,工具,服务,adapter application automatically bluetooth button called configuration connect contact contain content daemon device example exchange file function include instal install keyboard libraries like make manual mobile mode mouse need note object package pair phone proxying regular require rule script share ship start support switch udev utilities utility want wire work
97,blur-effect,库,库,draw graphic hardware library nan pretty
98,bogofilter,工具,库,algorithm analysis anti berkeley bogofilter check code design directly email fast filter filtering good include indicate input list mail message mode normal operation process production return site spam speed standard statistical status text tune word
99,bolt,服务,服务,authorize automatically bus command connect control daemon database device different emit enrol enroll enrollment forget introduce line list local manage manager mention mode perform previously remove require security signal soon store task tool
100,boom-boot,工具,工具,boot bootloader compatible configuration entry file function grub2 integration library linux loader manage manager module package patch project provide python3 require script specification support systemd tool
101,boost,库,工具,03 11 additional advanced allow answer application atomic base boost box buffer callback class code command compiler comply component concept configurable configuration conforming constraint container context conventional coordinate copy core coroutine data date define developer diagnostics directory draft easy emphasis entry establish execution exist expression extend extension facility feature file filesystem filter flexible framework free function functionality functions future generalize generic graph handling highly hope implement implementation include inclusion individual interface known language late library line little locale localization log logging long make manage mandate manipulate math memory method micro multiple obtain offer operate operation option order pair path peer persistence point portable portably portion practice preprocessor present program programming propose provide public query question random range reference regular require resume run runtime schedule sense separate serialization signal significantly single slot sort source specific standard standards stream style subroutine suitable support suspend switch synchronize template thread threads time timer tool type unicode useful user userland utility value variable wave wide work
102,booth,工具,服务,authorize cluster clusters core distribute executables facilitate file locate location manage manager multi pacemaker resource site support
103,bpftrace,工具,其它,available backend berkeley bpf bpftrace bytecode capability compile dynamic ebpf enhance exist filter high inspire interact kernel language level linux llvm make packet predecessor recent script systemtap trace tracer tracing user
104,brasero,工具,库,application burn cd contain desktop dvd easy extension gnome libraries library libs nautilus package runtime share simple
105,breeze-icon-theme,其它,其它,breeze file icon resource theme
106,brltty,工具,库,access application background bind binding braille brltty complete console daemon directly display documentation dracut drive driver espeak functionality install interface java linux mode module ng package person process programming provide python review run screen support text time unix
107,brotli,库,库,algorithm available best brotli combination comparable compress compression context currently data dense general generic lossless method modeling modern offer order purpose ratio similar speed variant
108,bubblewrap,库,服务,bin binary container core engine execution kernel namespaces tool unprivileged user usr work
109,byteman,工具,工具,access advance agent allow application based bytecode byteman code contain continue data different documentation execute extra fact include inject injection insert java javadoc load method need original package prepare private program recompile remove simplify source start startup test tool trace want
110,byzanz,工具,工具,command desktop ease format image include line optionally record recorder recording sound strive theora tool video
111,bzip2,工具,工具,added application approximately available balance benefit best bzip2 capability compress compression compressor data decompression fast faster file format free freely high install libraries need patent percent quality speed strike technique time utility
112,c-ares,库,库,asynchronous asynchronously fork hudson library operation perform request resolve write
113,c2esp,库,库,cups driver filter printer
114,ca-certificates,工具,服务,bundle certificate choose contain foundation internet mozilla package root
115,cachefilesd,服务,服务,cache caching daemon directory disk file local manage management network persistent space user
