idx,name,y_true,y_predict
0,GConf2,系统,应用
1,GeoIP,应用,应用
2,GeoIP-GeoLite-data,应用,核心
3,HdrHistogram_c,应用,核心
4,Judy,应用,应用
5,LibRaw,应用,应用
6,ModemManager,应用,系统
7,NetworkManager,系统,核心
8,NetworkManager-libreswan,系统,其它
9,OpenEXR,应用,应用
10,OpenIPMI,应用,核心
11,PackageKit,应用,应用
12,PyYAML,应用,应用
13,SDL,应用,系统
14,WALinuxAgent,应用,应用
15,Xaw3d,应用,应用
16,a52dec,应用,系统
17,aajohan-comfortaa-fonts,其它,其它
18,abattis-cantarell-fonts,其它,其它
19,abrt,应用,应用
20,abrt-java-connector,系统,其它
21,accel-config,应用,应用
22,accountsservice,应用,应用
23,acl,核心,核心
24,acpica-tools,系统,系统
25,acpid,系统,核心
26,adcli,应用,系统
27,adobe-mappings-cmap,应用,其它
28,adobe-mappings-pdf,应用,其它
29,adwaita-icon-theme,其它,其它
30,adwaita-qt,应用,应用
31,alsa-firmware,系统,系统
32,alsa-lib,系统,核心
33,alsa-plugins,系统,其它
34,alsa-sof-firmware,系统,核心
35,alsa-tools,系统,系统
36,alsa-utils,系统,核心
37,amanda,应用,系统
38,anaconda,系统,系统
39,anaconda-user-help,系统,其它
40,anolis-logos,核心,核心
41,anolis-release,核心,核心
42,ansible-core,应用,其它
43,ansible-freeipa,应用,系统
44,ant,应用,系统
45,aom,应用,应用
46,apache-commons-cli,应用,系统
47,apache-commons-codec,应用,其它
48,apache-commons-collections,应用,应用
49,apache-commons-compress,应用,应用
50,apache-commons-io,应用,系统
51,apache-commons-jxpath,应用,系统
52,apache-commons-lang3,应用,核心
53,apache-commons-logging,应用,系统
54,apache-commons-net,应用,系统
55,appstream-data,应用,其它
56,apr,应用,系统
57,apr-util,应用,核心
58,arpwatch,应用,核心
59,asciidoc,应用,应用
60,aspell,应用,系统
61,aspell-en,应用,应用
62,at,系统,系统
63,at-spi2-atk,系统,系统
64,at-spi2-core,系统,系统
65,atk,系统,应用
66,atkmm,系统,应用
67,atlas,系统,系统
68,attr,核心,核心
69,audit,核心,核心
70,augeas,应用,系统
71,authselect,系统,系统
72,autoconf,应用,系统
73,autoconf-archive,系统,应用
74,autofs,应用,系统
75,autogen,应用,系统
76,automake,应用,系统
77,autotrace,应用,应用
78,avahi,应用,应用
79,awscli,应用,其它
80,babel,应用,系统
81,babeltrace,应用,核心
82,babl,应用,应用
83,bacula,应用,系统
84,baobab,应用,系统
85,basesystem,核心,核心
86,bash,核心,核心
87,bash-completion,应用,应用
88,bc,系统,系统
89,bcc,应用,系统
90,bind,系统,核心
91,bind9.16,系统,系统
92,binutils,系统,应用
93,biosdevname,系统,系统
94,bison,应用,系统
95,bitmap-fonts,其它,其它
96,blktrace,系统,核心
97,bluez,系统,核心
98,blur-effect,应用,应用
99,bogofilter,应用,其它
100,bolt,应用,应用
101,boom-boot,系统,应用
102,boost,应用,核心
103,booth,应用,其它
104,bpftrace,应用,核心
105,brasero,应用,系统
106,breeze-icon-theme,其它,其它
107,brltty,应用,其它
108,brotli,应用,核心
109,bubblewrap,应用,系统
110,byteman,应用,系统
111,byzanz,其它,其它
112,bzip2,核心,核心
113,c-ares,应用,应用
114,c2esp,应用,应用
115,ca-certificates,系统,其它
116,cachefilesd,系统,系统
117,cairo,系统,系统
118,cairomm,系统,应用
119,cdparanoia,应用,核心
120,cdrdao,应用,应用
121,cdrkit,应用,核心
122,celt051,应用,其它
123,ceph,其它,系统
124,certmonger,应用,系统
125,chan,应用,核心
126,check,应用,系统
127,checkpolicy,系统,核心
128,cheese,其它,应用
129,chkconfig,系统,系统
130,chrome-gnome-shell,其它,其它
131,chrony,应用,系统
132,chrpath,应用,系统
133,cifs-utils,应用,系统
134,cim-schema,应用,应用
135,cjose,应用,系统
136,clang,应用,系统
137,cldr-emoji-annotation,应用,其它
138,clevis,应用,核心
139,cloud-init,其它,其它
140,clucene,应用,应用
141,clufter,系统,核心
142,clutter,系统,系统
143,clutter-gst2,系统,应用
144,clutter-gst3,系统,应用
145,clutter-gtk,系统,系统
146,cmake,应用,系统
147,cockpit,应用,应用
148,cockpit-appstream,应用,应用
149,cockpit-composer,应用,应用
150,cockpit-session-recording,应用,其它
151,codemodel,应用,系统
152,cogl,应用,应用
153,color-filesystem,应用,其它
154,colord,应用,应用
155,colord-gtk,应用,系统
156,compat-libtiff3,应用,应用
157,conntrack-tools,应用,系统
158,container-exception-logger,应用,其它
159,containerd,应用,其它
160,convmv,应用,系统
161,copy-jdk-configs,应用,应用
162,coreutils,系统,核心
163,corosync,应用,核心
164,corosync-qdevice,应用,其它
165,cpio,系统,核心
166,cppcheck,应用,系统
167,cppunit,应用,系统
168,cracklib,系统,系统
169,crash,应用,应用
170,crash-gcore-command,应用,应用
171,crash-ptdump-command,应用,其它
172,crash-trace-command,应用,应用
173,crda,应用,核心
174,createrepo_c,应用,核心
175,cronie,系统,核心
176,crontabs,系统,系统
177,crypto-policies,系统,核心
178,cryptsetup,核心,核心
179,cscope,应用,核心
180,ctags,应用,系统
181,culmus-fonts,其它,其它
182,cups,应用,核心
183,cups-filters,应用,其它
184,cups-pk-helper,应用,其它
185,curl,系统,核心
186,cyrus-imapd,系统,系统
187,cyrus-sasl,系统,系统
188,dav1d,应用,应用
189,dbus,其它,核心
190,dbus-c++,系统,系统
191,dbus-glib,系统,应用
192,dbus-python,应用,应用
