idx,name,y_true,y_predict
0,GConf2,系统,应用
1,GeoIP,应用,系统
2,GeoIP-GeoLite-data,应用,应用
3,HdrHistogram_c,应用,应用
4,Judy,其它,系统
5,LibRaw,应用,系统
6,ModemManager,应用,系统
7,NetworkManager,系统,应用
8,NetworkManager-libreswan,系统,其它
9,OpenEXR,应用,应用
10,OpenIPMI,应用,系统
11,PackageKit,应用,系统
12,PyYAML,应用,应用
13,SDL,应用,应用
14,WALinuxAgent,应用,应用
15,Xaw3d,应用,系统
16,aajohan-comfortaa-fonts,其它,应用
17,abattis-cantarell-fonts,其它,其它
18,abrt,应用,系统
19,abrt-java-connector,应用,其它
20,accel-config,应用,应用
21,accountsservice,应用,系统
22,acl,核心,核心
23,acpica-tools,系统,核心
24,acpid,系统,核心
25,adcli,应用,系统
26,adobe-mappings-cmap,应用,其它
27,adobe-mappings-pdf,应用,应用
28,adwaita-icon-theme,核心,核心
29,adwaita-qt,应用,其它
30,alsa-firmware,系统,系统
31,alsa-lib,系统,系统
32,alsa-plugins,系统,系统
33,alsa-sof-firmware,系统,系统
34,alsa-tools,系统,系统
35,alsa-utils,系统,应用
36,amanda,应用,系统
37,anaconda,系统,系统
38,anaconda-user-help,系统,系统
39,anolis-logos,核心,核心
40,anolis-release,核心,核心
41,ansible-core,应用,应用
42,ansible-freeipa,应用,应用
43,ant,其它,其它
44,aom,应用,应用
45,apache-commons-cli,其它,其它
46,apache-commons-codec,其它,系统
47,apache-commons-collections,其它,应用
48,apache-commons-compress,其它,其它
49,apache-commons-io,其它,系统
50,apache-commons-jxpath,其它,其它
51,apache-commons-lang3,其它,应用
52,apache-commons-logging,其它,系统
53,apache-commons-net,其它,系统
54,appstream-data,应用,系统
55,apr,应用,系统
56,apr-util,应用,其它
57,arpwatch,应用,系统
58,asciidoc,应用,系统
59,aspell,应用,系统
60,aspell-en,应用,应用
61,at,应用,系统
62,at-spi2-atk,系统,系统
63,at-spi2-core,系统,其它
64,atk,系统,系统
65,atkmm,系统,系统
66,atlas,系统,系统
67,attr,核心,核心
68,audit,核心,核心
69,augeas,应用,核心
70,authselect,系统,核心
71,autoconf,应用,系统
72,autoconf-archive,系统,其它
73,autofs,应用,应用
74,autogen,应用,系统
75,automake,应用,系统
76,autotrace,应用,应用
77,avahi,应用,应用
78,awscli,应用,其它
79,babel,应用,系统
80,babeltrace,应用,系统
81,babl,应用,系统
82,bacula,应用,系统
83,baobab,应用,系统
84,basesystem,核心,核心
85,bash,核心,核心
86,bash-completion,应用,其它
87,bc,系统,系统
88,bcc,应用,其它
89,bind,系统,系统
90,bind9.16,系统,系统
91,binutils,系统,应用
