name,label,predict,summary,description
pcp-pmda-roomtemp,服务,服务, Performance Co-Pilot (PCP) metrics for the room temperature," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the room temperature."
fence-agents-ipdu,服务,服务, Fence agent for IBM iPDU network power switches," Fence agent for IBM iPDU network power switches that are accessed
via the SNMP protocol."
xorg-x11-server-Xnest,服务,库, A nested server," Xnest is an X server which has been implemented as an ordinary
X application.  It runs in a window just like other X applications,
but it is an X server itself in which you can run other software.  It
is a very useful tool for developers who wish to test their
applications without running them on their real X server."
kpatch,服务,库,Dynamic kernel patch manager ,"kpatch is a live kernel patch module manager.  It allows the user to manage
a collection of binary kernel patch modules which can be used to dynamically
patch the kernel without rebooting. "
pcp-pmda-memcache,服务,服务, Performance Co-Pilot (PCP) metrics for Memcached," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about Memcached."
pcp-pmda-nginx,服务,服务, Performance Co-Pilot (PCP) metrics for the Nginx Webserver," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about the Nginx Webserver."
xorg-x11-server-Xorg,服务,服务, Xorg X server," X.org X11 is an open source implementation of the X Window System.  It
provides the basic low level functionality which full fledged
graphical user interfaces (GUIs) such as GNOME and KDE are designed
upon."
gnome-desktop3,服务,库," Shared code among gnome-panel, gnome-session, nautilus, etc"," 
The gnome-desktop3 package contains an internal library
(libgnomedesktop) used to implement some portions of the GNOME
desktop, and also some data files and other shared components of the
GNOME user environment."
kubernetes,服务,工具, Container cluster management, Container cluster management
pcp,服务,库, System-level performance monitoring and performance management," Performance Co-Pilot (PCP) provides a framework and services to support
system-level performance monitoring and performance management.

The PCP open source release provides a unifying abstraction for all of
the interesting performance data in a system, and allows client
applications to easily retrieve and process any subset of that data."
ypserv,服务,工具, The NIS (Network Information Service) server," The Network Information Service (NIS) is a system that provides
network information (login names, passwords, home directories, group
information) to all of the machines on a network. NIS can allow users
to log in on any machine on the network, as long as the machine has
the NIS client programs running and the user's password is recorded in
the NIS passwd database. NIS was formerly known as Sun Yellow Pages
(YP).

This package provides the NIS server, which will need to be running on
your network. NIS clients do not need to be running the server.

Install ypserv if you need an NIS server for your network. You also
need to install the yp-tools and ypbind packages on any NIS client
machines."
NetworkManager-tui,服务,工具,NetworkManager curses-based UI ,"This adds a curses-based ""TUI"" (Text User Interface) to
NetworkManager, to allow performing some of the operations supported
by nm-connection-editor and nm-applet in a non-graphical environment. "
pcp-pmda-perfevent,服务,服务, Performance Co-Pilot (PCP) metrics for hardware counters," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting hardware counters statistics through libpfm."
pcp-pmda-zswap,服务,服务, Performance Co-Pilot (PCP) metrics for compressed swap," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about compressed swap."
cups,服务,库, CUPS printing system," CUPS printing system provides a portable printing layer for
UNIX庐 operating systems. It has been developed by Apple Inc.
to promote a standard printing solution for all UNIX vendors and users.
CUPS provides the System V and Berkeley command-line interfaces."
