name,label,predict,summary,description
389-ds-base,工具,服务, 389 Directory Server (base)," 389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration."
389-ds-base-libs,库,服务, Core libraries for 389 Directory Server," Core libraries for the 389 Directory Server base package.  These libraries
are used by the main package and the -devel package.  This allows the -devel
package to be installed with just the -libs package and without the main package."
389-ds-base-snmp,工具,服务, SNMP Agent for 389 Directory Server, SNMP Agent for the 389 Directory Server base package.
python3-lib389,库,工具," A library for accessing, testing, and configuring the 389 Directory Server"," This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server."
abrt,工具,库, Automatic bug detection and reporting tool," abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality."
abrt-desktop,服务,工具, Virtual package to make easy default installation on desktop environments," Virtual package to install all necessary packages for usage from desktop
environment."
abrt-gui,工具,库, abrt's gui, GTK+ wizard for convenient bug reporting.
python3-abrt-container-addon,库,工具, abrt's container addon for catching Python 3 exceptions," This package contains python 3 hook and handling uncaught exception in python 3
programs in container."
accel-config,工具,库, Configure accelerator subsystem devices, Utility library for configuring the accelerator subsystem.
accountsservice-libs,库,服务, Client-side library to talk to accountsservice," The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon."
adcli,工具,库,Active Directory enrollment ,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls. "
adobe-mappings-cmap,其它,工具, CMap resources for Adobe's character collections," CMap (Character Map) resources are used to unidirectionally map character codes,
such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a
CIDFont resource.

These CMap resources are useful for some applications (e.g. Ghostscript) to
correctly display text containing Japanese, (Traditional) Chinese, or Korean
characters."
adobe-mappings-cmap-deprecated,其它,工具, Deprecated CMap resources for Adobe's character collections," This sub-package contains currently deprecated CMap resources that some
applications might still require to function properly."
aide,工具,库, Intrusion detection environment," AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program."
alsa-lib,库,工具, The Advanced Linux Sound Architecture (ALSA) library," The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs."
alsa-plugins-arcamav,服务,工具, Arcam AV amplifier plugin for ALSA," This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device."
alsa-plugins-maemo,服务,工具, Maemo plugin for ALSA," This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes."
alsa-plugins-speex,服务,工具, Rate Converter Plugin Using Speex Resampler," The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API."
alsa-tools-firmware,工具,服务, ALSA tools for uploading firmware to some soundcards," This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards"
alsa-utils,工具,服务, Advanced Linux Sound Architecture (ALSA) utilities," This package contains command line utilities for the Advanced Linux Sound
Architecture (ALSA)."
amanda-client,工具,库, The client component of the AMANDA tape backup system," The Amanda-client package should be installed on any machine that will
be backed up by AMANDA (including the server if it also needs to be
backed up).  You will also need to install the amanda package on each
AMANDA client machine."
anaconda,工具,服务, Graphical system installer, The anaconda package is a metapackage for the Anaconda installer.
anaconda-core,工具,服务, Core of the Anaconda installer," The anaconda-core package contains the program which was used to install your
system."
anaconda-gui,工具,服务, Graphical user interface for the Anaconda installer, This package contains graphical user interface for the Anaconda installer.
anaconda-install-env-deps,工具,服务, Installation environment specific dependencies," The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well."
anaconda-tui,工具,服务, Textual user interface for the Anaconda installer, This package contains textual user interface for the Anaconda installer.
anaconda-widgets,工具,库, A set of custom GTK+ widgets for use with anaconda, This package contains a set of custom GTK+ widgets used by the anaconda installer.
annobin,工具,库, Annotate and examine compiled binary files," Provides a plugin for GCC that records extra information in the files
that it compiles.

Note - the plugin is automatically enabled in gcc builds via flags
provided by the redhat-rpm-macros package."
anolis-backgrounds,工具,服务, Anolis OS related desktop backgrounds," Licensed only for approved usage, see COPYING for details."
anolis-logos,工具,服务,Anolis OS related icons and pictures ,"Licensed only for approved usage, see COPYING for details. "
anolis-logos-httpd,工具,服务,Anolis OS related icons and pictures used by httpd ,"Licensed only for approved usage, see COPYING for details. "
anolis-logos-ipa,工具,服务, Anolis OS related icons and pictures used by ipa," Licensed only for approved usage, see COPYING for details."
ansible-collection-microsoft-sql,工具,服务, The Ansible collection for Microsoft SQL Server management," This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9."
ansible-freeipa,工具,服务," Roles and playbooks to deploy FreeIPA servers, replicas and clients"," Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas
and clients. Also modules management.

Note: The Ansible playbooks and roles require a configured Ansible environment
where the Ansible nodes are reachable and are properly set up to have an IP
address and a working package manager.

Features

- Server, replica and client deployment
- Cluster deployments: Server, replicas and clients in one playbook
- One-time-password (OTP) support for client installation
- Repair mode for clients
- Backup and restore, also to and from controller
- Modules for automembership rule management
- Modules for automount key management
- Modules for automount location management
- Modules for automount map management
- Modules for config management
- Modules for delegation management
- Modules for dns config management
- Modules for dns forwarder management
- Modules for dns record management
- Modules for dns zone management
- Modules for group management
- Modules for hbacrule management
- Modules for hbacsvc management
- Modules for hbacsvcgroup management
- Modules for host management
- Modules for hostgroup management
- Modules for location management
- Modules for permission management
- Modules for privilege management
- Modules for pwpolicy management
- Modules for role management
- Modules for self service management
- Modules for server management
- Modules for service management
- Modules for sudocmd management
- Modules for sudocmdgroup management
- Modules for sudorule management
- Modules for topology management
- Modules for trust management
- Modules for user management
- Modules for vault management

Supported FreeIPA Versions

FreeIPA versions 4.6 and up are supported by all roles.

The client role supports versions 4.4 and up, the server role is working with
versions 4.5 and up, the replica role is currently only working with versions
4.6 and up.

Supported Distributions

- RHEL/CentOS 7.4+
- Fedora 26+
- Ubuntu
- Debian 10+ (ipaclient only, no server or replica!)

Requirements

  Controller
  - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)
  - /usr/bin/kinit is required on the controller if a one time password (OTP)
    is used

  Node
  - Supported FreeIPA version (see above)
  - Supported distribution (needed for package installation only, see above)

Limitations

External signed CA is now supported. But the currently needed two step process
is an issue for the processing in a simple playbook.
Work is planned to have a new method to handle CSR for external signed CAs in
a separate step before starting the server installation."
ansible-pcp,工具,服务, Ansible Metric collection for Performance Co-Pilot," A collection containing roles for Performance Co-Pilot (PCP) and related
software such as Redis and Grafana.  The collection is made up of several
Ansible roles, including:

redhat.rhel_metrics.pcp
A role for core PCP capabilities, configuring live performance analysis
with a large base set of metrics from the kernel and system services, as
well as data recording and rule inference.

redhat.rhel_metrics.redis
A role for configuring a local Redis server, suitable for use with a
Performance Co-Pilot archive repository (for single or many hosts) and
fast, scalable querying of metrics.

redhat.rhel_metrics.grafana
A role for configuring a local Grafana server, providing web frontend
visuals for Performance Co-Pilot metrics, both live and historically.
Data sources for Vector (live), Redis (historical) and interactive
bpftrace (eBPF) scripts can be configured by this role.  The PCP REST
API service (from the core pcp role) should be configured in order to
use this role.

redhat.rhel_metrics.bpftrace
A role that extends the core PCP role, providing metrics from bpftrace
scripts using Linux eBPF facilities.  Configuring authentication of a
local user capable of running bpftrace scripts via the PCP agent is a
key task of this role.

redhat.rhel_metrics.elasticsearch
A role that extends the core PCP role, providing metrics from a live
ElasticSearch instance for PCP analysis or exporting of PCP metric
values (and metadata) to ElasticSearch for the indexing and querying
of performance data."
ant,工具,库, Java build tool," Apache Ant is a Java library and command-line tool whose mission is to
drive processes described in build files as targets and extension
points dependent upon each other.  The main known usage of Ant is the
build of Java applications.  Ant supplies a number of built-in tasks
allowing to compile, assemble, test and run Java applications.  Ant
can also be used effectively to build non Java applications, for
instance C or C++ applications.  More generally, Ant can be used to
pilot any type of process which can be described in terms of targets
and tasks."
ant-testutil,工具,库, Test utility classes for ant, Test utility tasks for ant.
ant-contrib-javadoc,工具,库, Javadoc for ant-contrib, Api documentation for ant-contrib.
antlr-C++,库,工具, C++ bindings for antlr2 generated parsers, This package provides a static C++ library for parsers generated by ANTLR2.
antlr-tool,库,工具, ANother Tool for Language Recognition," ANTLR, ANother Tool for Language Recognition, (formerly PCCTS) is a
language tool that provides a framework for constructing recognizers,
compilers, and translators from grammatical descriptions containing
C++ or Java actions [You can use PCCTS 1.xx to generate C-based
parsers]."
apache-commons-io,库,工具, Utilities to assist with developing IO functionality," Commons-IO contains utility classes, stream implementations,
file filters, and endian classes. It is a library of utilities
to assist with developing IO functionality."
apache-commons-parent,库,工具, Apache Commons Parent Pom, The Project Object Model files for the apache-commons packages.
apr-util,工具,库, Apache Portable Runtime Utility library," The mission of the Apache Portable Runtime (APR) is to provide a
free library of C data structures and routines.  This library
contains additional utility interfaces for APR; including support
for XML, LDAP, database interfaces, URI parsing and more."
apr-util-bdb,工具,库, APR utility library Berkeley DB driver," This package provides the Berkeley DB driver for the apr-util
DBM (database abstraction) interface."
apr-util-ldap,工具,库, APR utility library LDAP support, This package provides the LDAP support for the apr-util.
apr-util-mysql,工具,库, APR utility library MySQL DBD driver," This package provides the MySQL driver for the apr-util DBD
(database abstraction) interface."
apr-util-odbc,工具,库, APR utility library ODBC DBD driver," This package provides the ODBC driver for the apr-util DBD
(database abstraction) interface."
apr-util-openssl,工具,库, APR utility library OpenSSL crypto support, This package provides the OpenSSL crypto support for the apr-util.
apr-util-pgsql,工具,库, APR utility library PostgreSQL DBD driver," This package provides the PostgreSQL driver for the apr-util
DBD (database abstraction) interface."
apr-util-sqlite,工具,库, APR utility library SQLite DBD driver," This package provides the SQLite driver for the apr-util DBD
(database abstraction) interface."
arpwatch,工具,服务,Network monitoring tools for tracking IP addresses on a network ,"The arpwatch package contains arpwatch and arpsnmp.  Arpwatch and
arpsnmp are both network monitoring tools.  Both utilities monitor
Ethernet or FDDI network traffic and build databases of Ethernet/IP
address pairs, and can report certain changes via email.

Install the arpwatch package if you need networking monitoring devices
which will automatically keep track of the IP addresses on your
network. "
aspell-en,工具,库, English dictionaries for Aspell," Provides the word list/dictionaries for the following: English, Canadian
English, British English"
at-spi2-core,库,服务, Protocol definitions and daemon for D-Bus at-spi," at-spi allows assistive technologies to access GTK-based
applications. Essentially it exposes the internals of applications for
automation, so tools such as screen readers, magnifiers, or even
scripting interfaces can query and interact with GUI controls.

This version of at-spi is a major break from previous versions.
It has been completely rewritten to use D-Bus rather than
ORBIT / CORBA for its transport protocol."
libattr,工具,库, Dynamic library for extended attribute support," This package contains the libattr.so dynamic library which contains
the extended attribute system calls and library functions."
audispd-plugins,服务,工具,Plugins for the audit event dispatcher ,"The audispd-plugins package provides plugins for the real-time
interface to the audit system, audispd. These plugins can do things
like relay events to remote machines. "
authselect-libs,库,服务, Utility library used by the authselect tool," Common library files for authselect. This package is used by the authselect
command line tool and any other potential front-ends."
autoconf,工具,服务, A GNU tool for automatically configuring source code," GNU's Autoconf is a tool for configuring source code and Makefiles.
Using Autoconf, programmers can create portable and configurable
packages, since the person building the package is allowed to
specify various configuration options.

You should install Autoconf if you are developing software and
would like to create shell scripts that configure your source code
packages. If you are installing Autoconf, you will also need to
install the GNU m4 package.

Note that the Autoconf package is not required for the end-user who
may be configuring software with an Autoconf-generated script;
Autoconf is only required for the generation of the scripts, not
their use."
automake,工具,服务, A GNU tool for automatically creating Makefiles," Automake is a tool for automatically generating `Makefile.in'
files compliant with the GNU Coding Standards.

You should install Automake if you are developing software and would
like to use its ability to automatically generate GNU standard
Makefiles."
avahi-compat-howl,库,服务, Libraries for howl compatibility, Libraries that are compatible with those provided by the howl package.
avahi-compat-libdns_sd,库,服务, Libraries for Apple Bonjour mDNSResponder compatibility, Libraries for Apple Bonjour mDNSResponder compatibility.
avahi-ui,工具,服务, Gtk user interface library for Avahi (Gtk+ 2 version), This library contains a Gtk 2.x widget for browsing services.
avahi-ui-gtk3,工具,库, Gtk user interface library for Avahi (Gtk+ 3 version), This library contains a Gtk 3.x widget for browsing services.
python3-avahi,库,服务,Python3 Avahi bindings ,Python3 Avahi bindings. 
awscli,工具,库, Universal Command Line Environment for AWS," This package provides a unified
command line interface to Amazon Web Services."
python3-babel,库,工具, Library for internationalizing Python applications," Babel is composed of two major parts:

* tools to build and work with gettext message catalogs

* a Python interface to the CLDR (Common Locale Data Repository),
  providing access to various locale display names, localized number
  and date formatting, etc."
babl-devel-docs,库,工具, Documentation for developing programs that will use babl, This package contains documentation needed for developing with babl.
bacula-client,工具,服务, Bacula backup client," Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the bacula client, the daemon running on the system to be
backed up."
bacula-libs-sql,库,服务, Bacula SQL libraries," Bacula is a set of programs that allow you to manage the backup, recovery, and
verification of computer data across a network of different computers. It is
based on a client/server architecture.

This package contains the SQL Bacula libraries, which are used by Director and
Storage daemons. You have to select your preferred catalog library through the
alternatives system."
baobab,工具,库, A graphical directory tree analyzer," Baobab is able to scan either specific directories or the whole filesystem, in
order to give the user a graphical tree representation including each
directory size or percentage in the branch.  It also auto-detects in real-time
any change made to your home folder as far as any mounted/unmounted device."
basesystem,服务,库, The skeleton package which defines a simple  system," Basesystem defines the components of a basic  system
(for example, the package installation order to use during bootstrapping).
Basesystem should be in every installation of a system, and it
should never be removed."
bash,工具,服务,The GNU Bourne Again shell ,"The GNU Bourne Again shell (Bash) is a shell or command language
interpreter that is compatible with the Bourne shell (sh). Bash
incorporates useful features from the Korn shell (ksh) and the C shell
(csh). Most sh scripts can be run by bash without modification. "
bash-completion,工具,库,Programmable completion for Bash ,"bash-completion is a collection of shell functions that take advantage
of the programmable completion feature of bash. "
python3-bcc,库,工具, Python3 bindings for BPF Compiler Collection (BCC), Python3 bindings for BPF Compiler Collection (BCC)
bind-libs,库,服务, Libraries used by the BIND DNS packages," Contains heavyweight version of BIND suite libraries used by both named DNS
server and utilities in bind-utils package."
bind-license,服务,工具, License of the BIND DNS suite, Contains license of the BIND DNS suite.
bind-pkcs11-utils,服务,工具, Bind tools with native PKCS#11 for using DNSSEC," This is a set of PKCS#11 utilities that when used together create rsa
keys in a PKCS11 keystore. Also utilities for working with DNSSEC
compiled with native PKCS#11 functionality are included."
bind-utils,工具,服务, Utilities for querying DNS name servers," Bind-utils contains a collection of utilities for querying DNS (Domain
Name System) name servers to find out information about Internet
hosts. These tools will provide you with the IP addresses for given
host names, as well as other information about registered domains and
network addresses.

You should install bind-utils if you need to get information from DNS name
servers."
bind9.16-libs,库,服务, Libraries used by the BIND DNS packages," Contains heavyweight version of BIND suite libraries used by both named DNS
server and utilities in bind9.16-utils package."
bind9.16-license,服务,工具, License of the BIND DNS suite, Contains license of the BIND DNS suite.
bluez,工具,服务, Bluetooth utilities," Utilities for use in Bluetooth applications:
	- hcitool
	- hciattach
	- hciconfig
	- bluetoothd
	- l2ping
	- rfcomm
	- sdptool
	- bluetoothctl
	- btmon
	- hcidump
	- l2test
	- rctest
	- gatttool
	- start scripts (Red Hat)
	- pcmcia configuration files

The BLUETOOTH trademarks are owned by Bluetooth SIG, Inc., U.S.A."
bluez-hid2hci,工具,服务,Put HID proxying bluetooth HCI's into HCI mode ,"Most allinone PC's and bluetooth keyboard / mouse sets which include a
bluetooth dongle, ship with a so called HID proxying bluetooth HCI.
The HID proxying makes the keyboard / mouse show up as regular USB HID
devices (after connecting using the connect button on the device + keyboard),
which makes them work without requiring any manual configuration.

The bluez-hid2hci package contains the hid2hci utility and udev rules to
automatically switch supported Bluetooth devices into regular HCI mode.

Install this package if you want to use the bluetooth function of the HCI
with other bluetooth devices like for example a mobile phone.

Note that after installing this package you will first need to pair your
bluetooth keyboard and mouse with the bluetooth adapter before you can use
them again. Since you cannot use your bluetooth keyboard and mouse until
they are paired, this will require the use of a regular (wired) USB keyboard
and mouse. "
