name,label,predict,summary,description
389-ds-base,工具,服务, 389 Directory Server (base)," 389 Directory Server is an LDAPv3 compliant server.  The base package includes
the LDAP server and command line utilities for server administration."
389-ds-base-legacy-tools,工具,库, Legacy utilities for 389 Directory Server," Legacy (and deprecated) utilities for 389 Directory Server. This includes
the old account management and task scripts. These are deprecated in favour of
the dscreate, dsctl, dsconf and dsidm tools."
389-ds-base-snmp,工具,服务, SNMP Agent for 389 Directory Server, SNMP Agent for the 389 Directory Server base package.
python3-lib389,库,工具," A library for accessing, testing, and configuring the 389 Directory Server"," This module contains tools and libraries for accessing, testing,
 and configuring the 389 Directory Server."
abrt,工具,库, Automatic bug detection and reporting tool," abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality."
abrt-addon-ccpp,工具,库, abrt's C/C++ addon, This package contains abrt's C/C++ analyzer plugin.
abrt-addon-kerneloops,工具,库, abrt's kerneloops addon," This package contains plugin for collecting kernel crash information from
system log."
abrt-addon-vmcore,工具,库, abrt's vmcore addon," This package contains plugin for collecting kernel crash information from
vmcore files."
abrt-addon-xorg,工具,库, abrt's Xorg addon," This package contains plugin for collecting Xorg crash information from Xorg
log."
abrt-cli,工具,库, Virtual package to make easy default installation on non-graphical environments," Virtual package to install all necessary packages for usage from command line
environment."
abrt-cli-ng,工具,库, abrt's improved command line interface, New generation command line interface for ABRT
abrt-dbus,服务,库, ABRT DBus service," ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data."
abrt-gui,工具,库, abrt's gui, GTK+ wizard for convenient bug reporting.
abrt-plugin-machine-id,工具,库, abrt's plugin to generate machine_id based off dmidecode," This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events."
abrt-plugin-sosreport,工具,库, abrt's plugin for building automatic sosreports," This package contains a configuration snippet to enable automatic generation
of sosreports for abrt events."
abrt-tui,工具,库, abrt's command line interface," This package contains a simple command line client for processing abrt reports
in command line environment."
python3-abrt-container-addon,库,服务, abrt's container addon for catching Python 3 exceptions," This package contains python 3 hook and handling uncaught exception in python 3
programs in container."
accel-config,工具,库, Configure accelerator subsystem devices, Utility library for configuring the accelerator subsystem.
adcli,工具,服务,Active Directory enrollment ,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls. "
adobe-mappings-pdf,库,其它, PDF mapping resources from Adobe," Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly."
alsa-lib,库,服务, The Advanced Linux Sound Architecture (ALSA) library," The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI
functionality to the Linux operating system.

This package includes the ALSA runtime libraries to simplify application
programming and provide higher level functionality as well as support for
the older OSS API, providing binary compatibility for most OSS programs."
