name,label,predict,summary,description
java-11-alibaba-dragonwell-jmods-slowdebug,工具,服务, Alibaba Dragonwell11 Runtime Environment jmods slowdebug, Alibaba Dragonwell11 Runtime Environment jmods slowdebug
munge-libs,工具,库, Runtime libs for uid * gid authentication across a host cluster, Runtime libraries for using MUNGE.
deepin-font-manager,工具,其它, Deepin Font Manager is used to install and uninstall font file for users with bulk install function, Deepin Font Manager is used to install and uninstall font file for users with bulk install function.
texlive-xunicode,工具,其它, Generate Unicode characters from accented glyphs," The package supports XeTeX's (and other putative future similar
engines') need for Unicode characters, in a similar way to what
the fontenc does for 8-bit (and the like) fonts: convert
accent-glyph sequence to a single Unicode character for output.
The package also covers glyphs specified by packages (such as
tipa) which define many commands for single text glyphs."
texlive-unisugar,工具,服务, Define syntactic sugar for Unicode LaTeX," The package allows the user to define shorthand aliases for
single Unicode characters, and also provides support for such
aliases in RTL-text. The package requires an TeX-alike system
that uses Unicode input in a native way: current examples are
XeTeX and LuaTeX."
mingw64-gcc-c++,工具,服务, MinGW Windows cross-compiler for C++ for the win64 target, MinGW Windows cross-compiler for C++ for the win64 target.
nautilus-extensions,工具,库, Nautilus extensions library, This package provides the libraries used by nautilus extensions.
apr-util-openssl,工具,库, APR utility library OpenSSL crypto support, This package provides the OpenSSL crypto support for the apr-util.
createrepo_c,工具,服务, Creates a common metadata repository," C implementation of Createrepo.
A set of utilities (createrepo_c, mergerepo_c, modifyrepo_c)
for generating a common metadata repository from a directory of
rpm packages and maintaining it."
cmake-rpm-macros,工具,库, Common RPM macros for cmake, This package contains common RPM macros for cmake.
texlive-jknapltx,工具,其它, Miscellaneous packages by Joerg Knappen," Miscellaneous macros by Jorg Knappen, including: - represent
counters in greek; - Maxwell's non-commutative division; -
latin1jk, latin2jk and latin3jk, which are their inputenc
definition files that allow verbatim input in the respective
ISO Latin codes; - blackboard bold fonts in maths; - use of
RSFS fonts in maths; - extra alignments for \parboxes; - swap
Roman and Sans fonts; - transliterate semitic languages; -
patches to make (La)TeX formulae embeddable in SGML; - use
maths ""minus"" in text as appropriate; - simple Young tableaux."
gcc-toolset-9-gcc-gdb-plugin,工具,库, GCC 9 plugin for GDB, This package contains GCC 9 plugin for GDB C expression evaluation.
