name,label,predict,summary,description,人工初判
felix-osgi-compendium,库,服务, Felix OSGi R4 Compendium Bundle, OSGi Service Platform Release 4 Compendium Interfaces and Classes.,库
mariadb-embedded,库,服务, MariaDB as an embeddable library," MariaDB is a multi-user, multi-threaded SQL database server. This
package contains a version of the MariaDB server that can be embedded
into a client application instead of running as a separate process.
MariaDB is a community developed branch of MySQL.",库
mod_auth_gssapi,库,服务, A GSSAPI Authentication module for Apache," The mod_auth_gssapi module is an authentication service that implements the
SPNEGO based HTTP Authentication protocol defined in RFC4559.",服务
perl-Unicode-Collate,库,工具, Unicode Collation Algorithm," This package is Perl implementation of Unicode Technical Standard #10 (Unicode
Collation Algorithm).",库
efi-filesystem,库,工具,The basic directory layout for EFI machines ,"The efi-filesystem package contains the basic directory layout for EFI
machine bootloaders and tools. ",库
ibus-gtk2,库,服务, IBus IM module for GTK2, This package contains IBus IM module for GTK2,unknown
qt5-doctools,库,工具, Qt5 doc tools package, Qt5 doc tools package.,工具
qt5-qtsensors,库,服务, Qt5 - Sensors component," The Qt Sensors API provides access to sensor hardware via QML and C++
interfaces.  The Qt Sensors API also provides a motion gesture recognition
API for devices.",库
libreoffice-help-zh-Hans,库,服务, Simplified help for LibreOffice, Provides Simplified help for LibreOffice.,unknown
perl-Types-Serialiser,库,服务, Simple data types for common serialization formats," This module provides some extra data types that are used by common
serialization formats such as JSON or CBOR. The idea is to have a repository of
simple/small constants and containers that can be shared by different
implementations so they become interoperable between each other.",库
httpcomponents-project,库,工具, Common POM file for HttpComponents," Common Maven POM  file for HttpComponents. This project should be
required only for building dependant packages with Maven. Please don't
use it as runtime requirement.",库
mpich,库,工具, A high-performance implementation of MPI," MPICH is a high-performance and widely portable implementation of the Message
Passing Interface (MPI) standard (MPI-1, MPI-2 and MPI-3). The goals of MPICH
are: (1) to provide an MPI implementation that efficiently supports different
computation and communication platforms including commodity clusters (desktop
systems, shared-memory systems, multicore architectures), high-speed networks
(10 Gigabit Ethernet, InfiniBand, Myrinet, Quadrics) and proprietary high-end
computing systems (Blue Gene, Cray) and (2) to enable cutting-edge research in
MPI through an easy-to-extend modular framework for other derived
implementations.

The mpich binaries in this RPM packages were configured to use the default
process manager (Hydra) using the default device (ch3). The ch3 device
was configured with support for the nemesis channel that allows for
shared-memory and TCP/IP sockets based communication.

This build also include support for using the 'module environment' to select
which MPI implementation to use when multiple implementations are installed.
If you want MPICH support to be automatically loaded, you need to install the
mpich-autoload package.",库
libreoffice-help-hr,库,服务, Croatian help for LibreOffice, Provides Croatian help for LibreOffice.,库
perl-HTTP-Message,库,服务, HTTP style message," The HTTP-Message distribution contains classes useful for representing the
messages passed in HTTP style communication.  These are classes representing
requests, responses and the headers contained within them.",库
clucene-contribs-lib,库,工具, Language specific text analyzers for clucene, Language specific text analyzers for clucene.,工具
perl-CGI,库,工具, Handle Common Gateway Interface requests and responses," CGI.pm is a stable, complete and mature solution for processing and preparing
HTTP requests and responses. Major features including processing form
submissions, file uploads, reading and writing cookies, query string
generation and manipulation, and processing and preparing HTTP headers. Some
HTML generation utilities are included as well.

CGI.pm performs very well in in a vanilla CGI.pm environment and also comes
with built-in support for mod_perl and mod_perl2 as well as FastCGI.",库
perl-String-ShellQuote,库,工具, Perl module for quoting strings for passing through the shell," This package contains a Perl module and a command line utility which
are useful for quoting strings which are going to pass through the
shell or a shell-like object.",工具
pcre2-tools,库,服务, Auxiliary utilities for pcre2, Utilities demonstrating PCRE2 capabilities like pcre2grep or pcre2test.,工具
