name,label,predict,summary,description,人工初判
pcp-import-ganglia2pcp,服务,工具, Performance Co-Pilot tools for importing ganglia data into PCP archive logs," Performance Co-Pilot (PCP) front-end tools for importing ganglia data
into standard PCP archive logs for replay with any PCP monitoring tool.",服务
tzdata-java,服务,工具, Timezone data for Java, This package contains timezone information for use by Java runtimes.,服务
ctdb,服务,库,A Clustered Database based on Samba's Trivial Database (TDB) ,"CTDB is a cluster implementation of the TDB database used by Samba and other
projects to store temporary data. If an application is already using TDB for
temporary data it is very easy to convert that application to be cluster aware
and use CTDB instead. ",服务
stalld,服务,库, Daemon that finds starving tasks and gives them a temporary boost," The stalld program monitors the set of system threads,
looking for threads that are ready-to-run but have not
been given processor time for some threshold period.
When a starving thread is found, it is given a temporary
boost using the SCHED_DEADLINE policy. The default is to
allow 10 microseconds of runtime for 1 second of clock time.",服务
libguestfs-man-pages-ja,库,工具, Japanese (ja) man pages for libguestfs," libguestfs-man-pages-ja contains Japanese (ja) man pages
for libguestfs.",库
elfutils-libs,库,工具, Libraries to handle compiled objects," The elfutils-libs package contains libraries which implement DWARF, ELF,
and machine-specific ELF handling and process introspection.  These
libraries are used by the programs in the elfutils package.  The
elfutils-devel package enables building other programs using these
libraries.",库
edk2-ovmf,库,工具, UEFI firmware for x86_64 virtual machines," OVMF (Open Virtual Machine Firmware) is a project to enable UEFI support for
Virtual Machines. This package contains a sample 64-bit UEFI firmware for QEMU
and KVM.",库
kf5-attica,库,工具, KDE Frameworks Tier 1 Addon with Open Collaboration Services API," Attica is a Qt library that implements the Open Collaboration Services
API version 1.4.",库
python3-dnf-plugin-post-transaction-actions,库,工具,Post transaction actions Plugin for DNF ,"Post transaction actions Plugin for DNF, Python 3 version. Plugin runs actions
(shell commands) after transaction is completed. Actions are defined in action
files. ",库
librdmacm-utils,库,工具,Examples for the librdmacm library ,Example test programs for the librdmacm library. ,库
libstdc++-docs,库,工具, Documentation for the GNU standard C++ library," Manual, doxygen generated API information and Frequently Asked Questions
for the GNU standard C++ library.",库
qt5-linguist,库,工具, Qt5 Linguist Tools, Tools to add translations to Qt5 applications.,工具
ocaml-cppo,库,工具, Equivalent of the C preprocessor for OCaml programs," Cppo is an equivalent of the C preprocessor targeted at the OCaml
language and its variants.

The main purpose of cppo is to provide a lightweight tool for simple
macro substitution and file inclusion for the
occasional case when this is useful in OCaml. Processing specific
sections of files by calling external programs is also possible via
 directives.

The implementation of cppo relies on the standard library of OCaml and
on the standard parsing tools Ocamllex and Ocamlyacc, which contribute
to the robustness of cppo across OCaml versions.",unknown
