name,class_true,class_pred,summary,description,人工判别,说明（关键判别特征）
389-ds-base-libs,库,服务,Core libraries for 389 Directory Server,"Core libraries for the 389 Directory Server base package.  These libraries
are used by the main package and the -devel package.  This allows the -devel
package to be installed with just the -libs package and without the main package.",库,"1. 通过-libs后缀可以判别是库
2. Core libraries，这里需要能够识别summary/description中的文字语义"
abrt,库,工具,Automatic bug detection and reporting tool,"abrt is a tool to help users to detect defects in applications and
to create a bug report with all information needed by maintainer to fix it.
It uses plugin system to extend its functionality.",工具,需要调整人工标签
abrt-addon-xorg,工具,服务,abrt's Xorg addon,"This package contains plugin for collecting Xorg crash information from Xorg
log.",工具,这里可能的规则是看到summary中的addon可能归类到不同类别，可能存在一定误报
abrt-dbus,服务,工具,ABRT DBus service,"ABRT DBus service which provides org.freedesktop.problems API on dbus and
uses PolicyKit to authorize to access the problem data.",服务,summary/description中均有service关键词，且无工具或库的文字描述
abrt-gui,工具,服务,abrt's gui,GTK+ wizard for convenient bug reporting.,工具,GUI一般可分类至工具
abrt-plugin-machine-id,工具,服务,abrt's plugin to generate machine_id based off dmidecode,"This package contains a configuration snippet to enable automatic generation
of machine_id for abrt events.",工具,分类到工具或者服务没有明显标识，可以考虑依据核心软件包（abrt）进行分类
abrt-plugin-sosreport,工具,服务,abrt's plugin for building automatic sosreports,"This package contains a configuration snippet to enable automatic generation
of sosreports for abrt events.",工具,分类到工具或者服务没有明显标识，可以考虑依据核心软件包（abrt）进行分类
python3-abrt,库,工具,ABRT Python 3 API,"High-level API for querying, creating and manipulating
problems handled by ABRT in Python 3.",库,前缀以python开头
python3-abrt-addon,库,工具,abrt's addon for catching and analyzing Python 3 exceptions,"This package contains python 3 hook and python analyzer plugin for handling
uncaught exception in python 3 programs.",库,前缀以python开头
python3-abrt-container-addon,库,工具,abrt's container addon for catching Python 3 exceptions,"This package contains python 3 hook and handling uncaught exception in python 3
programs in container.",库,前缀以python开头
abrt-java-connector,库,服务,JNI Agent library converting Java exceptions to ABRT problems,"JNI library providing an agent capable to process both caught and uncaught
exceptions and transform them to ABRT problems",库,包名有java-connector，且summary/description中有library
accel-config,工具,库,Configure accelerator subsystem devices,Utility library for configuring the accelerator subsystem.,工具,这个包目前没有特征，且summary/description描述有误导性
accountsservice-libs,库,服务,Client-side library to talk to accountsservice,"The accountsservice-libs package contains a library that can
be used by applications that want to interact with the accountsservice
daemon.",库,后缀有-libs
acl,工具,库,Access control list utilities,"This package contains the getfacl and setfacl utilities needed for
manipulating access control lists.",工具,summary中有utilities
adcli,工具,服务,Active Directory enrollment,"adcli is a tool for joining an Active Directory domain using
standard LDAP and Kerberos calls.",工具,后缀有cli
adobe-mappings-cmap,工具,其它,CMap resources for Adobe's character collections,"CMap (Character Map) resources are used to unidirectionally map character codes,
such as Unicode encoding form, to CIDs (Character IDs -- meaning glyphs) of a
CIDFont resource.

These CMap resources are useful for some applications (e.g. Ghostscript) to
correctly display text containing Japanese, (Traditional) Chinese, or Korean
characters.",字体,summary中有character关键字
adobe-mappings-cmap-deprecated,工具,其它,Deprecated CMap resources for Adobe's character collections,"This sub-package contains currently deprecated CMap resources that some
applications might still require to function properly.",字体,summary中有character关键字
adobe-mappings-pdf,工具,库,PDF mapping resources from Adobe,"Mapping resources for PDF have a variety of functions, such as mapping CIDs
(Character IDs) to character codes, or mapping character codes to other
character codes.

These mapping resources for PDF should not be confused with CMap resources.
While both types of resources share the same file structure and syntax, they
have very different functions.

These PDF mapping resources are useful for some applications (e.g. Ghostscript)
to function properly.",库,这个软件包是改善PDF显示的，可以考虑放在库
adwaita-cursor-theme,工具,服务,Adwaita cursor theme,"The adwaita-cursor-theme package contains a modern set of cursors originally
designed for the GNOME desktop.",桌面,有theme关键字
adwaita-icon-theme,工具,服务,Adwaita icon theme,This package contains the Adwaita icon theme used by the GNOME desktop.,桌面,有theme关键字
adwaita-qt5,库,工具,Adwaita Qt5 theme,Adwaita theme variant for applications utilizing Qt5.,桌面,有theme关键字
aide,工具,库,Intrusion detection environment,"AIDE (Advanced Intrusion Detection Environment) is a file integrity
checker and intrusion detection program.",工具,文件完整性检查工具
alsa-ucm,库,服务,ALSA Use Case Manager configuration,"The Advanced Linux Sound Architecture (ALSA) Universal Configuration
Manager allows configuration of Audio input/output names and routing",服务,有Manager关键字
alsa-plugins-arcamav,服务,库,Arcam AV amplifier plugin for ALSA,"This plugin exposes the controls for an Arcam AV amplifier
(see: http://www.arcam.co.uk/) as an ALSA mixer device.",服务,alsa-plugin的关键是plugin作为alsa的服务还是库，此前的考虑是plugin针对的是alsa服务，故考虑统一分类到服务类别
alsa-plugins-maemo,服务,库,Maemo plugin for ALSA,"This plugin converts the ALSA API over PCM task nodes protocol. In this way,
ALSA native applications can run over DSP Gateway and use DSP PCM task nodes.",服务,
alsa-plugins-oss,服务,工具,Oss PCM output plugin for ALSA,"This plugin converts the ALSA API over OSS API.  With this plugin,
ALSA native apps can run on OSS drivers.

This plugin provides the PCM type ""oss"".",服务,
alsa-plugins-samplerate,服务,库,External rate converter plugin for ALSA,"This plugin is an external rate converter using libsamplerate by Erik de
Castro Lopo.",服务,
alsa-plugins-speex,服务,库,Rate Converter Plugin Using Speex Resampler,"The rate plugin is an external rate converter using the Speex resampler
(aka Public Parrot Hack) by Jean-Marc Valin. The pcm plugin provides
pre-processing of a mono stream like denoise using libspeex DSP API.",服务,
alsa-plugins-upmix,服务,工具,Upmixer channel expander plugin for ALSA,"The upmix plugin is an easy-to-use plugin for upmixing to 4 or
6-channel stream.  The number of channels to be expanded is determined
by the slave PCM or explicitly via channel option.",服务,
alsa-plugins-usbstream,服务,库,USB stream plugin for ALSA,"The usbstream plugin is for snd-usb-us122l driver. It converts PCM
stream to USB specific stream.",服务,
alsa-plugins-vdownmix,服务,工具,Downmixer to stereo plugin for ALSA,"The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround"".",服务,
alsa-sof-firmware,服务,其它,Firmware and topology files for Sound Open Firmware project,This package contains the firmware binaries for the Sound Open Firmware project.,服务,
alsa-tools-firmware,工具,服务,ALSA tools for uploading firmware to some soundcards,"This package contains tools for flashing firmware into certain sound cards.
The following tools are available:

* hdsploader   - for RME Hammerfall DSP cards
* mixartloader - for Digigram miXart soundcards
* vxloader     - for Digigram VX soundcards
* usx2yloader  - second phase firmware loader for Tascam USX2Y USB soundcards",工具,有tools关键字
alsa-utils-alsabat,工具,库,Advanced Linux Sound Architecture (ALSA) - Basic Audio Tester,"This package contains tool for basic audio testing using Advanced Linux Sound
Architecture (ALSA) framework and Fast Fourier Transform library.",工具,有utils关键字
amanda,工具,服务,A network-capable tape backup solution,"AMANDA, the Advanced Maryland Automatic Network Disk Archiver, is a
backup system that allows the administrator of a LAN to set up a
single master backup server to back up multiple hosts to one or more
tape drives or disk files.  AMANDA uses native dump and/or GNU tar
facilities and can back up a large number of workstations running
multiple versions of Unix.  Newer versions of AMANDA (including this
version) can use SAMBA to back up Microsoft(TM) Windows95/NT hosts.
The amanda package contains the core AMANDA programs and will need to
be installed on both AMANDA clients and AMANDA servers.  Note that you
will have to install the amanda-client and/or amanda-server packages as
well.",服务,这个软件包更多包涵的是amanda的相关命令，也可以考虑一并归类到服务
amanda-libs,库,服务,Amanda libraries,"This package contains basic Amanda libraries, which are used by all
Amanda programs.",库,有libraries关键字
amanda-server,服务,工具,The server side of the AMANDA tape backup system,"The amanda-server package should be installed on the AMANDA server,
the machine attached to the device(s) (such as a tape drive) where backups
will be written. You will also need to install the amanda package on
the AMANDA server machine.  And, if the server is also to be backed up, the
server also needs to have the amanda-client package installed.",服务,有server关键字
anaconda,工具,服务,Graphical system installer,The anaconda package is a metapackage for the Anaconda installer.,工具,图形化安装工具
anaconda-gui,工具,服务,Graphical user interface for the Anaconda installer,This package contains graphical user interface for the Anaconda installer.,工具,图形化安装工具
anaconda-install-env-deps,工具,服务,Installation environment specific dependencies,"The anaconda-install-env-deps metapackage lists all installation environment dependencies.
This makes it possible for packages (such as Initial Setup) to depend on the main Anaconda package without
pulling in all the install time dependencies as well.",工具,图形化安装工具
anaconda-widgets,工具,库,A set of custom GTK+ widgets for use with anaconda,This package contains a set of custom GTK+ widgets used by the anaconda installer.,工具,图形化安装工具
anaconda-user-help,工具,服务,Content for the Anaconda built-in help system,This package provides content for the Anaconda built-in help system.,工具,图形化安装工具
anolis-backgrounds,服务,工具,Anolis OS related desktop backgrounds,"Licensed only for approved usage, see COPYING for details.",工具,Anolis的一些图形化素材
anolis-logos,服务,工具,Anolis OS related icons and pictures,"Licensed only for approved usage, see COPYING for details.",工具,Anolis的一些图形化素材
anolis-logos-httpd,服务,其它,Anolis OS related icons and pictures used by httpd,"Licensed only for approved usage, see COPYING for details.",工具,Anolis的一些图形化素材
anolis-logos-ipa,服务,其它,Anolis OS related icons and pictures used by ipa,"Licensed only for approved usage, see COPYING for details.",工具,Anolis的一些图形化素材
ansible-collection-microsoft-sql,工具,服务,The Ansible collection for Microsoft SQL Server management,"This RPM installs the Ansible collection for Microsoft SQL Server management
microsoft.sql. This RPM also installs the roles provided by the collection in
the legacy roles format for users of Ansible < 2.9.",工具,
ansible-freeipa,工具,服务,"Roles and playbooks to deploy FreeIPA servers, replicas and clients","Ansible roles and playbooks to install and uninstall FreeIPA servers, replicas
and clients. Also modules management.

Note: The Ansible playbooks and roles require a configured Ansible environment
where the Ansible nodes are reachable and are properly set up to have an IP
address and a working package manager.

Features

- Server, replica and client deployment
- Cluster deployments: Server, replicas and clients in one playbook
- One-time-password (OTP) support for client installation
- Repair mode for clients
- Backup and restore, also to and from controller
- Modules for automembership rule management
- Modules for automount key management
- Modules for automount location management
- Modules for automount map management
- Modules for config management
- Modules for delegation management
- Modules for dns config management
- Modules for dns forwarder management
- Modules for dns record management
- Modules for dns zone management
- Modules for group management
- Modules for hbacrule management
- Modules for hbacsvc management
- Modules for hbacsvcgroup management
- Modules for host management
- Modules for hostgroup management
- Modules for location management
- Modules for permission management
- Modules for privilege management
- Modules for pwpolicy management
- Modules for role management
- Modules for self service management
- Modules for server management
- Modules for service management
- Modules for sudocmd management
- Modules for sudocmdgroup management
- Modules for sudorule management
- Modules for topology management
- Modules for trust management
- Modules for user management
- Modules for vault management

Supported FreeIPA Versions

FreeIPA versions 4.6 and up are supported by all roles.

The client role supports versions 4.4 and up, the server role is working with
versions 4.5 and up, the replica role is currently only working with versions
4.6 and up.

Supported Distributions

- RHEL/CentOS 7.4+
- Fedora 26+
- Ubuntu
- Debian 10+ (ipaclient only, no server or replica!)

Requirements

  Controller
  - Ansible version: 2.8+ (ansible-freeipa is an Ansible Collection)
  - /usr/bin/kinit is required on the controller if a one time password (OTP)
    is used

  Node
  - Supported FreeIPA version (see above)
  - Supported distribution (needed for package installation only, see above)

Limitations

External signed CA is now supported. But the currently needed two step process
is an issue for the processing in a simple playbook.
Work is planned to have a new method to handle CSR for external signed CAs in
a separate step before starting the server installation.",工具,有server/client关键字，安装内容以脚本居多，放工具
