name,label,人工初判,summary,description,,,path,res,
qt5-doctools,库,工具, Qt5 doc tools package, Qt5 doc tools package.,,,"/usr/bin
/usr/lib64/qt5/bin",工具,
clucene-contribs-lib,库,工具, Language specific text analyzers for clucene, Language specific text analyzers for clucene.,,,"/usr/lib64
/usr/lib",库,
perl-String-ShellQuote,库,unknown, Perl module for quoting strings for passing through the shell," This package contains a Perl module and a command line utility which
are useful for quoting strings which are going to pass through the
shell or a shell-like object.",,,"/usr/bin
/usr/share/perl5/vendor_perl/String/ShellQuote.pm",库,
pcre2-tools,库,工具, Auxiliary utilities for pcre2, Utilities demonstrating PCRE2 capabilities like pcre2grep or pcre2test.,,,/usr/bin/,工具,
libqmi-utils,库,工具,Utilities to use the QMI protocol from the command line ,"This package contains the utilities that make it easier to use QMI functionality
from the command line. ",,,"/usr/bin/
",工具,
jmc,库,工具, JDK Mission Control is a profiling and diagnostics tool," JDK Mission Control is a powerful profiler for HotSpot JVMs and has an
advanced set of tools that enables efficient and detailed analysis of the
extensive data collected by JDK Flight Recorder. The tool chain enables
developers and administrators to collect and analyze data from Java
applications running locally or deployed in production environments.",,,"/usr/bin/
/usr/lib/
",工具,
xbean,库,工具, Java plugin based web server," The goal of XBean project is to create a plugin based server
analogous to Eclipse being a plugin based IDE. XBean will be able to
discover, download and install server plugins from an Internet based
repository. In addition, we include support for multiple IoC systems,
support for running with no IoC system, JMX without JMX code,
lifecycle and class loader management, and a rock solid Spring
integration.",,,"包中没有任何可执行程序
/usr/share/java
",库,"pom为项目模型文件，是一个XML文件，包含了项目的基本信息，用于描述项目如何构建，声明项目依赖，等等。

执行任务或目标时，Maven 会在当前目录中查找 POM。它读取 POM，获取所需的配置信息，然后执行目标。"
perl-IO-Socket-IP,库,unknown, Drop-in replacement for IO::Socket::INET supporting both IPv4 and IPv6," This module provides a protocol-independent way to use IPv4 and IPv6
sockets, intended as a replacement for IO::Socket::INET. Most constructor
arguments and methods are provided in a backward-compatible way.",,,"描述中有ｍｏｕｄｕｌｅ，
/usr/share/perl5",库,
perl-Class-Method-Modifiers,库,unknown, Provides Moose-like method modifiers," Method modifiers are a powerful feature from the CLOS (Common Lisp Object
System) world.

In its most basic form, a method modifier is just a method that calls
'$self->SUPER::foo(@_)'. I for one have trouble remembering that exact
invocation, so my classes seldom re-dispatch to their base classes. Very
bad!

'Class::Method::Modifiers' provides three modifiers: 'before', 'around',
and 'after'. 'before' and 'after' are run just before and after the method
they modify, but can not really affect that original method. 'around' is
run in place of the original method, with a hook to easily call that
original method. See the 'MODIFIERS' section for more details on how the
particular modifiers work.",,,"描述中的method modifier，
/usr/share/perl5",库,
perl-SelectSaver,库,unknown, Save and restore selected file handle," A ""SelectSaver"" object contains a reference to the file handle that was
selected when it was created. When the object is destroyed, it re-selects the
file handle that was selected when it was created.",,,"/usr/share/perl5
",库,
dotnet-sdk-5.0,库,unknown, .NET 5.0 Software Development Kit," The .NET SDK is a collection of command line applications to
create, build, publish and run .NET applications.

.NET is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services.",,,"ｓｄｋ
/usr/lib64/dotnet/sdk",库,
swig-gdb,库,工具, Commands for easier debugging of SWIG," This package contains file with commands for easier debugging of SWIG
in gdb.",,,这是个gdb插件，只包含这个目录/usr/share/swig,库,
python3-sphinx-theme-alabaster,库,其它, Configurable sidebar-enabled Sphinx theme," This theme is a modified ""Kr"" Sphinx theme from @kennethreitz (especially as
used in his Requests project), which was itself originally based on @mitsuhiko's
theme used for Flask & related projects.",,,/usr/lib/python3.6,库,
dotnet-sdk-6.0-source-built-artifacts,库,unknown, Internal package for building .NET 6.0 Software Development Kit," The .NET source-built archive is a collection of packages needed
to build the .NET SDK itself.

These are not meant for general use.",,,"/usr/lib64
/usr/lib64/dotnet",库,
GeoIP-GeoLite-data-extra,库,unknown, Free GeoLite IP geolocation databases," The GeoLite databases are free IP geolocation databases. This package contains
databases that map IPv6 addresses to countries, plus IPv4 and IPv6 addresses
to cities and autonomous system numbers.

This product includes GeoLite data created by MaxMind, available from
http://www.maxmind.com/",,,/usr/share/GeoIP,库,
waf,库,工具, A Python-based build system," Waf is a Python-based framework for configuring, compiling and
installing applications. It is a replacement for other tools such as
Autotools, Scons, CMake or Ant.",,,/usr/bin,工具,
log4j,库,unknown, Java logging package," Log4j is a tool to help the programmer output log statements to a
variety of output targets.",,,"/usr/share/java
",库,
jetty-continuation,库,服务, continuation module for Jetty," 
Jetty is a 100% Java HTTP Server and Servlet Container. This means that you
do not need to configure and run a separate web server (like Apache) in order
to use Java, servlets and JSPs to generate dynamic content. Jetty is a fully
featured web server for static and dynamic content. Unlike separate
server/container solutions, this means that your web server and web
application run in the same process, without interconnection overheads
and complications. Furthermore, as a pure java component, Jetty can be simply
included in your application for demonstration, distribution or deployment.
Jetty is available on all Java supported platforms.

This package contains continuation module for Jetty.",,,"/usr/share/java
",库,
dotnet-sdk-6.0,库,unknown, .NET 6.0 Software Development Kit," The .NET SDK is a collection of command line applications to
create, build, publish and run .NET applications.

.NET is a fast, lightweight and modular platform for creating
cross platform applications that work on Linux, Mac and Windows.

It particularly focuses on creating console applications, web
applications and micro-services.",,,/usr/lib64/dotnet/,库,
sblim-wbemcli,库,工具, SBLIM WBEM Command Line Interface," WBEM Command Line Interface is a standalone, command line WBEM client. It is
specially suited for basic systems management tasks as it can be used in
scripts.",,,/usr/bin,工具,
libmbim-utils,库,工具,Utilities to use the MBIM protocol from the command line ,"This package contains the utilities that make it easier to use MBIM
functionality from the command line. ",,,"/usr/libexec
/usr/bin",工具,
perl-Test-Taint,库,unknown, Tools to test taintedness," Tainted data is data that comes from an unsafe source, such as the command
line, or, in the case of web apps, any GET or POST transactions. Read the
perlsec man page for details on why tainted data is bad, and how to untaint
the data.

When you're writing unit tests for code that deals with tainted data, you'll
want to have a way to provide tainted data for your routines to handle, and
easy ways to check and report on the taintedness of your data, in standard
Test::More style.",,,/usr/lib64/perl5/,库,
perl-Path-Tiny,库,, File path utility," This module attempts to provide a small, fast utility for working with file,库
paths. It is friendlier to use than File::Spec and provides easy access to
functions from several other core file handling modules.

It doesn't attempt to be as full-featured as IO::All or Path::Class, nor does
it try to work for anything except Unix-like and Win32 platforms. Even then, it
might break if you try something particularly obscure or tortuous.

All paths are forced to have Unix-style forward slashes. Stringifying the
object gives you back the path (after some clean up).

File input/output methods flock handles before reading or writing, as
appropriate.

The *_utf8 methods (slurp_utf8, lines_utf8, etc.) operate in raw mode without
CRLF translation.",,,/usr/share/perl5/,库,
