name,label,predict,summary,description
perl-AutoLoader,库,库, Load subroutines only on demand," The AutoLoader module works with the AutoSplit module and the ""__END__"" token
to defer the loading of some subroutines until they are used rather than
loading them all at once."
python3-libpfm,库,库, Python bindings for libpfm and perf_event_open system call, Python bindings for libpfm4 and perf_event_open system call.
python3-hwdata,库,库, Python bindings to hwdata package," Provide python interface to database stored in hwdata package.
It allows you to get human readable description of USB and PCI devices.

This is the Python 3 build of the module."
libselinux-python,库,库, SELinux python bindings for libselinux," The libselinux-python package contains the python bindings for developing
SELinux applications."
jansson,库,库," C library for encoding, decoding and manipulating JSON data", Small library for parsing and writing JSON documents.
ocaml-libnbd,库,库, OCaml language bindings for libnbd, This package contains OCaml language bindings for libnbd.
libnl3,库,库, Convenience library for kernel netlink sockets," This package contains a convenience library to simplify
using the Linux kernel's netlink sockets interface for
network manipulation"
python-podman-api,库,库, Podman API, Podman API
geronimo-annotation-javadoc,库,库, Javadoc for geronimo-annotation, This package contains the API documentation for geronimo-annotation.
perl-Text-CharWidth,库,库, Get number of occupied columns of a string on terminal," This is a module to provide equivalent feature as wcwidth(3) and
wcswidth(3). This also provides mblen(3) equivalent subroutine."
nispor,库,工具, API for network status querying, Unified interface for Linux network state querying.
libva,库,库, Video Acceleration (VA) API for Linux, Libva is a library providing the VA API video acceleration API.
libqrtr-glib,库,库,Support library to use and manage the QRTR (Qualcomm IPC Router) bus. ,"This package contains the libraries that make it easier to use and
manage the QRTR (Qualcomm IPC Router) bus. "
ant-jmf,库,库, Optional jmf tasks for ant, Optional jmf tasks for ant.
libyami,库,库, Yet Another Media Infrastructure library.," Yet Another Media Infrastructure.
It is YUMMY to your video experience on Linux like platform.
Yami is core building block for media solution. it parses video stream
and decodes them leverage hardware acceleration."
bacula-libs,库,库, Bacula libraries," Bacula is a set of programs that allow you to manage the backup,
recovery, and verification of computer data across a network of
different computers. It is based on a client/server architecture.

This package contains basic Bacula libraries, which are used by all
Bacula programs."
glassfish-master-pom,库,库, Master POM for Glassfish Maven projects, This is a shared POM parent for Glassfish Maven projects.
gtk2-devel-docs,库,库, Developer documentation for GTK+, This package contains developer documentation for the GTK+ widget toolkit.
libguestfs-man-pages-uk,库,库, Ukrainian (uk) man pages for libguestfs," libguestfs-man-pages-uk contains Ukrainian (uk) man pages
for libguestfs."
perl-Term-Cap,库,库, Perl termcap interface," These are low-level functions to extract and use capabilities from a terminal
capability (termcap) database."
