name,label,summary,description
opencv-core,库, OpenCV core libraries, This package contains the OpenCV C/C++ core libraries.
perl-MIME-Types,库, MIME types module for Perl," MIME types are used in many applications, for instance as part of e-mail
and HTTP traffic, to indicate the type of content that is transmitted.

Sometimes detailed knowledge about a mime-type is need; however, this
module only knows about the file-name extensions that relate to some
file-type.  It can also be used to produce the right format: types that
are not registered at IANA need to use 'x-' prefixes."
maven-dependency-analyzer-javadoc,库, API documentation for maven-dependency-analyzer, API documentation for maven-dependency-analyzer
python3-virtualenv,库, Tool to create isolated Python environments," virtualenv is a tool to create isolated Python environments. virtualenv
is a successor to workingenv, and an extension of virtual-python. It is
written by Ian Bicking, and sponsored by the Open Planning Project. It is
licensed under an MIT-style permissive license"
perl-XML-DOM,库, DOM extension to XML::Parser," This is a Perl extension to XML::Parser. It adds a new 'Style' to
XML::Parser, called 'DOM', that allows XML::Parser to build an Object
Oriented data structure with a DOM Level 1 compliant interface. For a
description of the DOM (Document Object Model), see
<http://www.w3.org/DOM/>."
python3-boto3,库, The AWS SDK for Python," Boto3 is the Amazon Web Services (AWS) Software Development
Kit (SDK) for Python, which allows Python developers to
write software that makes use of services like Amazon S3
and Amazon EC2."
perl-Net,库, By-name interface to Perl built-in network resolver," This package provide object-oriented interface to Perl built-in gethost*(),
getnet*(), getproto*(), and getserv*() functions."
plexus-build-api,库, Plexus Build API, Plexus Build API
antlr-manual,库, Manual for antlr, Documentation for antlr.
perl-Test-Fatal,库, Incredibly simple helpers for testing code with exceptions," Test::Fatal is an alternative to the popular Test::Exception. It does much
less, but should allow greater flexibility in testing exception-throwing code
with about the same amount of typing."
perl-vars,库, Perl pragma to predeclare global variable names," This pragma will predeclare all the variables whose names are in the
list, allowing you to use them under ""use strict"", and disabling any
typo warnings for them.

For use with variables in the current package for a single scope, the
functionality provided by this pragma has been superseded by ""our""
declarations, available in Perl v5.6.0 or later, and use of this pragma is
discouraged."
libstemmer,库, C stemming algorithm library," Snowball stemming algorithms for use in Information Retrieval Snowball
provides access to efficient algorithms for calculating a ""stemmed""
form of a word.  This is a form with most of the common morphological
endings removed; hopefully representing a common linguistic base form.
This is most useful in building search engines and information
retrieval software; for example, a search with stemming enabled should
be able to find a document containing ""cycling"" given the query
""cycles"".

Snowball provides algorithms for several (mainly European) languages.
It also provides access to the classic Porter stemming algorithm for
English: although this has been superseded by an improved algorithm,
the original algorithm may be of interest to information retrieval
researchers wishing to reproduce results of earlier experiments."
python38-urllib3,库, Python3 HTTP library with thread-safe connection pooling and file post, Python3 HTTP module with connection pooling and file POST abilities.
libdrm,库, Direct Rendering Manager runtime library, Direct Rendering Manager runtime library
perl-PCP-LogImport,库, Performance Co-Pilot (PCP) Perl bindings for importing external data into PCP archives," The PCP::LogImport module contains the Perl language bindings for
importing data in various 3rd party formats into PCP archives so
they can be replayed with standard PCP monitoring tools."
sblim-gather-provider,库, SBLIM Gatherer Provider," The CIM (Common Information Model) Providers for the
SBLIM (Standards Based Linux Instrumentation for Manageability)
Gatherer."
perl-Crypt-OpenSSL-RSA,库, Perl interface to OpenSSL for RSA," Crypt::OpenSSL::RSA - RSA encoding and decoding, using the openSSL libraries"
glibc-gconv-extra,库, All iconv converter modules for glibc., This package contains all iconv converter modules built in glibc.
libreport-plugin-bugzilla,库, libreport's bugzilla plugin, Plugin to report bugs into the bugzilla.
perl-IO,库, Perl input/output modules, This is a collection of Perl input/output modules.
os-maven-plugin-javadoc,库, API documentation for os-maven-plugin, This package provides API documentation for os-maven-plugin.
python38-lxml,库, XML processing library combining libxml2/libxslt with the ElementTree API," lxml is a Pythonic, mature binding for the libxml2 and libxslt libraries. It
provides safe and convenient access to these libraries using the ElementTree It
extends the ElementTree API significantly to offer support for XPath, RelaxNG,
XML Schema, XSLT, C14N and much more.To contact the project, go to the project
home page < or see our bug tracker at case you want to use the current ...

Python 3 version."
xorg-x11-xbitmaps,库, X.Org X11 application bitmaps, X.Org X11 application bitmaps
libgcc,库,GCC version 8 shared support library ,"This package contains GCC shared support library which is needed
e.g. for exception handling support. "
