name,y_true,y_predict
libgcc,库,工具
perl-Sys-MemInfo,库,工具
drpm,库,工具
breeze-icon-theme,工具,服务
texlive-collection-fontsrecommended,工具,其它
perl-FileCache,库,服务
perl-Class-Accessor,库,工具
perl-File-DesktopEntry,库,工具
libguestfs-winsupport,库,工具
zvbi,其它,库
perl-NKF,库,工具
javapackages-filesystem,库,工具
jackson-databind,库,工具
dyninst-static,库,工具
python3-keycloak-httpd-client-install,工具,服务
gcc-toolset-10-dwz,工具,库
uom-parent,库,工具
perl-Time-Local,库,工具
python39-rpm-macros,工具,库
libasan6,工具,服务
perl-File-CheckTree,库,工具
tuned-profiles-oracle,服务,工具
amanda-client,工具,服务
ibus-table-chinese-wubi-haifeng,工具,库
rsyslog-mmnormalize,服务,库
osgi-compendium,库,工具
jbigkit-libs,库,工具
libusbmuxd,库,服务
texlive-lualibs,工具,库
glib2-fam,库,服务
paps-libs,库,工具
texlive-ucharclasses,工具,其它
brlapi,库,工具
xz-libs,工具,库
tuned-profiles-cpu-partitioning,服务,工具
texlive-updmap-map,工具,其它
glade-libs,库,工具
gutenprint-plugin,库,工具
python-srpm-macros,库,工具
xz,工具,库
gedit-plugins,服务,工具
amanda,工具,服务
libguestfs-man-pages-uk,库,工具
iputils-ninfod,工具,服务
perl-diagnostics,库,工具
python3-jmespath,库,工具
libsmartcols,工具,库
gedit-plugin-commander,服务,库
aspnetcore-targeting-pack-5.0,库,服务
clevis-luks,工具,服务
libbpf,库,工具
ant-apache-log4j,库,工具
protobuf-c,库,工具
texlive-enumitem,工具,库
icu4j,库,工具
icedax,库,工具
mtdev,库,服务
spec-version-maven-plugin-javadoc,库,工具
procmail,工具,服务
python3-javapackages,库,工具
perl-File-Listing,库,工具
hesiod,库,工具
perl-ExtUtils-MakeMaker,库,工具
oci-umount,库,服务
libeasyfc,库,其它
qt5-qtbase-postgresql,库,服务
gdb-gdbserver,工具,库
cloud-utils-growpart,工具,服务
dotnet-targeting-pack-3.1,库,服务
lorax-composer,工具,服务
jackson-jaxrs-providers,库,服务
avahi-ui,工具,库
perl-Digest-SHA1,库,工具
openslp,库,工具
perl-Net-SSLeay,库,服务
gedit-plugin-smartspaces,服务,工具
geoclue2-demos,库,工具
gcc-toolset-11-gdb-gdbserver,工具,库
augeas-libs,库,工具
p11-kit-server,服务,工具
libmount,工具,服务
ant-junit,库,工具
mingw32-glib2,库,工具
GeoIP,库,服务
guava20-testlib,库,工具
grub2-efi-ia32,工具,服务
libstoragemgmt-arcconf-plugin,库,工具
clufter-lib-general,库,工具
meson,工具,库
texlive-luatexbase,工具,库
texlive-index,工具,库
kernel-tools-libs,其它,工具
libselinux-static,库,工具
mingw32-icu,库,工具
python3-podman,库,工具
libdmx,库,服务
ibus-table-chinese-yong,工具,库
php-opcache,库,工具
perl-libnet,库,服务
gtk-update-icon-cache,库,工具
python39-setuptools,工具,库
libnl3,库,服务
aspnetcore-runtime-6.0,库,服务
helm,服务,工具
qt5-qtsvg,库,工具
libSM,库,服务
libknet1-crypto-openssl-plugin,库,工具
fuse-libs,库,服务
texlive-wasy2-ps,工具,其它
conmon,库,服务
perl-ph,库,工具
texlive-cite,工具,库
dotnet-targeting-pack-6.0,库,服务
libfdt,库,服务
papi-libs,库,工具
perl-MIME-Types,库,工具
glib-networking,库,工具
perl-File-Temp,库,工具
mpitests-openmpi,库,工具
jack-audio-connection-kit-dbus,库,服务
keentune-target,服务,工具
texlive-uhc,工具,其它
bacula-storage,工具,服务
