name,y_true,y_predict
gcc-toolset-10-libstdc++-docs,系统,应用
maven-reporting-impl,应用,系统
bind9.16-dnssec-utils,系统,核心
dnssec-trigger,应用,系统
ipcalc,应用,系统
texlive-palatino,应用,其它
texlive-datetime,应用,核心
powermock-common,应用,核心
thermald,系统,应用
pcp-import-mrtg2pcp,系统,应用
texlive-courier,应用,其它
gsettings-desktop-schemas,应用,核心
gnome-shell-extension-window-list,应用,核心
gnome-shell-extension-user-theme,应用,核心
protobuf-c,应用,核心
boost-python3,应用,系统
eth-tools-basic,系统,应用
ipa-client-epn,系统,核心
python3-abrt-container-addon,应用,系统
pcp-export-pcp2elasticsearch,系统,应用
osbuild-lvm2,系统,应用
weldr-client,系统,应用
dotnet-sdk-3.0,应用,核心
powermock-testng,应用,核心
libsss_autofs,系统,应用
dde-session-ui,应用,核心
krb5-server-ldap,系统,核心
fontforge,应用,其它
iptraf-ng,系统,核心
perl-IPC-SysV,系统,应用
telnet-server,系统,核心
texlive-avantgar,应用,其它
firewalld,系统,核心
NetworkManager-libreswan,系统,应用
systemtap-initscript,系统,应用
rsyslog,系统,应用
pcp-export-pcp2xml,系统,应用
netlabel_tools,系统,其它
python3-abrt-addon,应用,系统
gnome-system-monitor,应用,核心
hamcrest,应用,系统
gcc-toolset-9,系统,核心
rsyslog-crypto,系统,核心
libosinfo,应用,核心
libqhull,应用,核心
libloader,应用,核心
python3-sphinxcontrib-websupport,系统,应用
php-pecl-xdebug3,应用,系统
gcc-toolset-9-elfutils-libelf,系统,应用
gnome-keyring,应用,系统
perl-Mozilla-LDAP,系统,应用
texlive-pxfonts,应用,其它
rubygem-irb,应用,核心
gcc-toolset-10-perftools,系统,应用
kf5-kinit,应用,核心
dleyna-core,应用,核心
tix,应用,系统
usbguard-selinux,系统,应用
php-xmlrpc,应用,核心
texlive-qstest,应用,核心
gcc-toolset-10-binutils,系统,核心
gcc-toolset-9-gcc-gfortran,系统,应用
glib2,系统,应用
crun,应用,系统
apache-commons-lang3,应用,核心
gnome-getting-started-docs,应用,核心
perl-Authen-SASL,系统,应用
texlive-lastpage,应用,系统
sysstat,系统,核心
policycoreutils-gui,系统,应用
iptables-libs,系统,核心
texlive-breakurl,应用,系统
chrpath,应用,系统
mingw32-pkg-config,应用,系统
libxdp,应用,核心
perl-FCGI,系统,应用
bind-export-libs,系统,其它
gnome-control-center-filesystem,应用,核心
libhugetlbfs-utils,系统,核心
opencryptoki-icsftok,应用,核心
media-player-info,应用,其它
pcs,系统,应用
pentaho-libxml,应用,核心
gamin,应用,系统
cyrus-sasl-lib,应用,核心
authd,系统,核心
boost-examples,应用,核心
xmvn-core,应用,核心
gcc-toolset-11-elfutils-libs,系统,核心
perl-ExtUtils-Embed,系统,应用
texlive-cm,应用,其它
jdependency,应用,核心
gcc-toolset-10-gcc,系统,应用
libpeas,应用,核心
usbutils,系统,核心
compat-exiv2-026,应用,系统
python38-pluggy,系统,应用
xorg-x11-server-Xdmx,应用,系统
perl-XML-Simple,系统,应用
libavc1394,系统,应用
maven-failsafe-plugin,应用,系统
gnome-font-viewer,应用,其它
maven-local,应用,核心
libblockdev-mdraid,系统,应用
texlive-utopia,应用,其它
gcc-toolset-9-gcc,系统,应用
udftools,系统,应用
gcc-toolset-11-libgccjit,系统,核心
nbdkit-xz-filter,系统,应用
texlive-bookman,应用,其它
tpm2-abrmd-selinux,系统,应用
texlive-hyperref,应用,核心
texlive-tocloft,应用,系统
libblockdev-lvm,系统,应用
xcb-util-cursor,应用,系统
mariadb-errmsg,应用,核心
gcc-toolset-10-gcc-gfortran,系统,应用
atlas-corei2,系统,核心
texlive-parskip,应用,系统
texlive-import,应用,系统
bind9.16-utils,系统,核心
libvirt-lock-sanlock,系统,应用
gutenprint-libs-ui,应用,核心
sombok,应用,其它
gnome-initial-setup,应用,系统
libqmi,应用,核心
gcc-toolset-9-dwz,系统,核心
gnome-shell-extension-classification-banner,应用,核心
satyr,应用,系统
nmstate-plugin-ovsdb,系统,应用
pki-ca,应用,系统
mysql-libs,应用,核心
opencv-contrib,应用,核心
targetcli,系统,应用
gcc-toolset-11-systemtap,系统,应用
tuned-utils,应用,核心
xmlrpc-c,应用,系统
libnbd,应用,系统
systemtap-runtime-virthost,系统,应用
slang,应用,核心
ipmitool,系统,应用
texlive-beton,应用,其它
liburing,系统,核心
librabbitmq,应用,系统
OpenIPMI-libs,系统,核心
texlive-symbol,应用,其它
python3-librepo,系统,应用
iscsi-initiator-utils,系统,应用
qatzip,系统,应用
popt,系统,应用
gdk-pixbuf2-xlib,应用,核心
libvirt-wireshark,系统,应用
systemd-libs,其它,核心
evemu,系统,应用
ipset-libs,系统,核心
bluez-hid2hci,系统,核心
PackageKit-command-not-found,应用,系统
container-exception-logger,应用,系统
libkcapi-hmaccalc,系统,应用
texlive-pstricks-add,应用,核心
dnf-automatic,系统,应用
zeromq3,应用,核心
gdb,系统,核心
system-config-printer-udev,系统,应用
rubygem-json,应用,系统
ucx-cma,应用,核心
xmlunit,应用,系统
alsa-utils,系统,核心
texlive-fix2col,应用,系统
zsh,系统,核心
texlive-hyphenat,应用,其它
nbdkit-linuxdisk-plugin,系统,核心
libzip-tools,应用,核心
libertas-usb8388-firmware,其它,应用
cups-pk-helper,应用,系统
perl-MIME-Base64,系统,其它
kpartx,系统,应用
flex,系统,应用
spice-qxl-wddm-dod,应用,核心
mod_md,应用,系统
zstd,系统,核心
texlive-arphic,应用,其它
texlive-context,应用,核心
maven-shared-utils,应用,核心
osbuild-composer-core,系统,应用
deepin-anything-dkms,应用,其它
neon,系统,应用
slapi-nis,应用,系统
cups-filesystem,应用,其它
libecpg,应用,系统
libgio-qt,应用,系统
accountsservice-libs,应用,系统
gvnc,应用,系统
spirv-tools-libs,系统,应用
libmodulemd,应用,核心
gnome-control-center,应用,核心
