name,y_true,y_bert_predict,y_graph_predict
qemu-kvm-ui-opengl,系统,应用,应用
GeoIP,应用,系统,系统
numactl,系统,核心,应用
librpmem,系统,应用,核心
ocaml-extlib,应用,系统,系统
rng-tools,系统,核心,应用
libvirt-daemon-config-network,系统,应用,应用
dnf-data,系统,应用,应用
libatomic,系统,核心,核心
openssh-cavs,系统,核心,核心
dosfstools,应用,核心,核心
libatomic_ops,系统,应用,应用
libsss_nss_idmap,系统,应用,应用
tlog,应用,系统,核心
motif-static,应用,核心,核心
vim-minimal,系统,核心,核心
gcc-toolset-10-systemtap-client,系统,应用,核心
lsof,系统,核心,核心
evemu-libs,系统,应用,应用
libvirt-daemon-driver-nodedev,系统,应用,应用
samba-winbind,应用,核心,应用
seabios-bin,系统,应用,核心
libguestfs-java,系统,核心,应用
icu,系统,其它,应用
plymouth-theme-charge,系统,应用,核心
units,应用,系统,系统
hivex,应用,系统,系统
udisks2-lsm,应用,核心,核心
glusterfs-libs,应用,核心,系统
corosynclib,应用,核心,系统
hyperv-daemons-license,系统,应用,其它
virt-what,应用,系统,核心
fonts-tweak-tool,应用,其它,系统
crypto-policies,系统,应用,其它
pmempool,系统,核心,应用
texlive-epstopdf,应用,系统,系统
openblas-static,应用,核心,核心
fuse,系统,其它,应用
rsync,应用,系统,核心
desktop-file-utils,应用,核心,系统
gupnp-dlna,系统,核心,应用
acpica-tools,系统,核心,核心
lm_sensors-sensord,应用,系统,系统
qemu-kvm-docs,系统,应用,应用
selinux-policy-mls,系统,应用,核心
groff-base,核心,其它,核心
usbguard-dbus,系统,应用,应用
linuxconsoletools,应用,其它,系统
osbuild-composer,系统,应用,应用
anaconda-tui,系统,应用,应用
ipxe-bootimgs-x86,系统,应用,核心
clang-libs,系统,应用,应用
libdvdnav,应用,核心,系统
python3-scons,应用,系统,系统
iproute,系统,应用,核心
dbus,其它,核心,应用
isns-utils-libs,系统,应用,核心
imsettings-gsettings,应用,系统,系统
quota-warnquota,系统,核心,应用
python3-sphinx_rtd_theme,系统,应用,其它
libluksmeta,应用,核心,系统
opa-fm,应用,核心,系统
mt-st,应用,系统,系统
arpwatch,应用,核心,系统
memkind,应用,核心,系统
ruby-libguestfs,系统,核心,应用
autoconf-archive,应用,核心,系统
logwatch,应用,系统,系统
python3-mpich,应用,系统,系统
pcre2-utf16,系统,核心,应用
xdelta,应用,系统,核心
python3-louis,应用,系统,系统
plymouth-theme-spinner,系统,应用,核心
ldns,应用,系统,核心
lm_sensors,应用,核心,系统
libfdt,应用,核心,系统
fwupdate-efi,系统,应用,应用
nss-util,系统,应用,应用
emacs-terminal,应用,核心,系统
sssd-dbus,系统,应用,应用
tpm-tools,系统,核心,应用
rpm-plugin-selinux,系统,应用,应用
bsdtar,系统,应用,应用
nss_nis,系统,核心,应用
libdmmp,系统,核心,应用
hyperv-tools,系统,应用,应用
qemu-kvm-block-ssh,系统,应用,应用
mailx,应用,核心,系统
fuse-exfat,系统,应用,应用
libstoragemgmt-megaraid-plugin,应用,核心,系统
mksh,应用,核心,系统
python3-libuser,应用,系统,系统
python3-nispor,应用,系统,系统
convmv,应用,核心,系统
sssd-polkit-rules,系统,应用,应用
ntfs-3g-libs,系统,应用,应用
liba52,系统,核心,应用
liboauth,系统,核心,核心
rasqal,应用,核心,系统
timedatex,应用,核心,系统
postfix-perl-scripts,应用,系统,系统
postfix,应用,核心,系统
gnome-abrt,应用,核心,系统
genwqe-tools,应用,核心,系统
git-core,应用,核心,系统
kbd-misc,核心,其它,其它
llvm-googletest,系统,应用,应用
pacemaker-nagios-plugins-metadata,系统,应用,应用
freeipmi-bmc-watchdog,应用,核心,系统
gcc-offload-nvptx,系统,应用,应用
sendmail-cf,应用,系统,系统
pcre2,系统,应用,核心
nmap,系统,应用,应用
opensc,应用,核心,系统
libvirt-gconfig,系统,应用,应用
libnice,系统,应用,应用
quota,系统,核心,应用
gvfs-gphoto2,系统,应用,应用
libmicrohttpd,应用,系统,核心
python3-freeradius,应用,系统,系统
libtpms,系统,核心,应用
gnupg2-smime,系统,其它,应用
fuse-common,系统,应用,其它
kernelshark,系统,应用,应用
python3-libsvm,应用,系统,系统
containers-common,应用,其它,核心
xdg-utils,应用,系统,系统
libdb-cxx,系统,应用,应用
network-manager-applet,系统,应用,应用
pcp-import-collectl2pcp,系统,应用,应用
iptstate,系统,应用,应用
usb_modeswitch,应用,核心,系统
pkgconf-m4,核心,应用,其它
nss,系统,核心,核心
NetworkManager-dispatcher-routing-rules,系统,核心,其它
dmidecode,系统,核心,核心
clutter,系统,应用,应用
fpc-srpm-macros,系统,核心,其它
adwaita-icon-theme,应用,核心,核心
gpgmepp,系统,应用,应用
passwd,系统,核心,核心
procmail,应用,系统,系统
icu4j,系统,应用,应用
patchutils,应用,核心,系统
gvfs-afp,系统,应用,应用
libiptcdata,应用,核心,系统
mcstrans,应用,核心,核心
libnfsidmap,系统,应用,应用
redhat-rpm-config,系统,应用,系统
libassuan,系统,核心,应用
python3-brotli,应用,系统,系统
lksctp-tools,系统,其它,核心
libqrtr-glib,系统,其它,系统
php-recode,应用,核心,核心
system-config-printer-libs,系统,应用,应用
libdwarf-static,系统,应用,核心
rsyslog-gnutls,系统,核心,核心
python3-numpy-f2py,应用,系统,系统
openwsman-python3,应用,系统,系统
rtkit,应用,系统,系统
qemu-kvm,系统,应用,应用
augeas,应用,系统,核心
nss-tools,系统,核心,核心
redhat-support-tool,系统,应用,系统
pacemaker-schemas,系统,应用,应用
rpcgen,系统,应用,应用
libteam,应用,核心,系统
qemu-kvm-block-iscsi,系统,应用,应用
dejagnu,应用,系统,系统
libvirt-daemon-driver-storage-disk,系统,应用,应用
ftp,系统,应用,应用
pcp-selinux,系统,应用,其它
dbus-glib,系统,应用,应用
pulseaudio-utils,系统,应用,系统
python3-numpy,应用,系统,系统
