,name,label,predict
0,389-ds-base,工具,服务
1,389-ds-base-legacy-tools,工具,服务
2,389-ds-base-libs,库,服务
3,389-ds-base-snmp,工具,服务
4,python3-lib389,库,库
5,liba52,库,工具
6,aajohan-comfortaa-fonts,其它,其它
7,abattis-cantarell-fonts,其它,其它
8,abrt,工具,工具
9,abrt-addon-ccpp,工具,工具
10,abrt-addon-coredump-helper,工具,服务
11,abrt-addon-kerneloops,工具,服务
12,abrt-addon-pstoreoops,工具,库
13,abrt-addon-vmcore,工具,服务
14,abrt-addon-xorg,工具,库
15,abrt-cli,工具,库
16,abrt-cli-ng,工具,服务
17,abrt-console-notification,工具,库
18,abrt-dbus,服务,库
19,abrt-desktop,服务,服务
20,abrt-gui,服务,服务
21,abrt-gui-libs,库,工具
22,abrt-libs,库,库
23,abrt-plugin-machine-id,工具,库
24,abrt-plugin-sosreport,工具,工具
25,abrt-tui,工具,库
26,python3-abrt,库,库
27,python3-abrt-addon,库,库
28,python3-abrt-container-addon,库,工具
29,abrt-java-connector,库,库
30,accel-config,库,服务
31,accel-config-libs,库,工具
32,accountsservice,服务,服务
33,accountsservice-libs,服务,库
34,acl,工具,库
35,libacl,库,库
36,acpica-tools,工具,工具
37,acpid,服务,工具
38,adcli,工具,服务
39,adobe-mappings-cmap,工具,工具
40,adobe-mappings-cmap-deprecated,工具,工具
41,adobe-mappings-pdf,工具,库
42,adwaita-cursor-theme,工具,服务
43,adwaita-icon-theme,工具,工具
44,adwaita-qt5,库,服务
45,libadwaita-qt5,库,库
46,aide,工具,工具
47,alsa-firmware,服务,服务
48,alsa-lib,库,服务
49,alsa-ucm,库,服务
52,alsa-plugins-oss,服务,服务
53,alsa-plugins-pulseaudio,服务,服务
54,alsa-plugins-samplerate,服务,服务
55,alsa-plugins-speex,服务,服务
56,alsa-plugins-upmix,服务,服务
57,alsa-plugins-usbstream,服务,服务
58,alsa-plugins-vdownmix,服务,服务
59,alsa-sof-firmware,服务,其它
60,alsa-tools-firmware,工具,服务
61,alsa-utils,工具,服务
62,alsa-utils-alsabat,工具,服务
63,amanda,工具,库
64,amanda-client,工具,服务
65,amanda-libs,库,库
66,amanda-server,服务,库
67,anaconda,工具,服务
68,anaconda-core,工具,工具
69,anaconda-dracut,工具,工具
70,anaconda-gui,工具,服务
71,anaconda-install-env-deps,工具,服务
72,anaconda-tui,工具,库
73,anaconda-widgets,工具,库
74,anaconda-user-help,工具,库
75,annobin,工具,库
76,annobin-annocheck,工具,工具
77,anolis-indexhtml,服务,工具
78,anolis-backgrounds,服务,服务
79,anolis-logos,服务,工具
80,anolis-logos-httpd,服务,库
81,anolis-logos-ipa,服务,库
82,anolis-epao-release,服务,库
83,anolis-experimental-release,服务,库
84,anolis-gpg-keys,服务,库
85,anolis-release,服务,库
86,anolis-repos,服务,库
87,ansible-collection-microsoft-sql,工具,工具
88,ansible-core,工具,库
89,ansible-freeipa,工具,服务
90,ansible-pcp,工具,服务
91,ant,工具,库
92,ant-antlr,库,库
93,ant-apache-bcel,库,库
94,ant-apache-bsf,库,库
95,ant-apache-log4j,库,库
96,ant-apache-oro,库,库
97,ant-apache-regexp,库,库
98,ant-apache-resolver,库,库
99,ant-apache-xalan2,库,库
100,ant-commons-logging,库,库
101,ant-commons-net,库,库
102,ant-javadoc,库,库
103,ant-javamail,库,库
104,ant-jdepend,库,库
105,ant-jmf,库,库
106,ant-jsch,库,库
107,ant-junit,库,库
108,ant-lib,库,库
109,ant-manual,库,服务
110,ant-swing,库,库
111,ant-testutil,工具,库
112,ant-xz,库,库
113,ant-contrib,工具,库
114,ant-contrib-javadoc,工具,工具
115,antlr-C++,库,库
116,antlr-javadoc,库,库
117,antlr-manual,库,服务
118,antlr-tool,库,库
119,aom,库,库
120,libaom,库,库
121,aopalliance,库,库
122,aopalliance-javadoc,库,工具
123,apache-commons-beanutils,库,库
124,apache-commons-beanutils-javadoc,库,库
125,apache-commons-cli,库,库
126,apache-commons-cli-javadoc,库,工具
127,apache-commons-codec,库,库
128,apache-commons-codec-javadoc,库,工具
129,apache-commons-collections,库,库
130,apache-commons-collections-javadoc,库,库
131,apache-commons-collections-testframework,库,库
132,apache-commons-compress,库,库
133,apache-commons-compress-javadoc,库,库
134,apache-commons-exec,库,库
135,apache-commons-exec-javadoc,库,库
136,apache-commons-io,库,库
137,apache-commons-io-javadoc,库,工具
138,apache-commons-jxpath,库,库
139,apache-commons-jxpath-javadoc,库,库
140,apache-commons-lang,库,库
141,apache-commons-lang-javadoc,库,工具
142,apache-commons-lang3,库,工具
143,apache-commons-lang3-javadoc,库,工具
144,apache-commons-logging,库,库
145,apache-commons-logging-javadoc,库,工具
146,apache-commons-net,库,库
147,apache-commons-net-javadoc,库,工具
148,apache-commons-parent,库,库
149,apache-ivy,库,库
150,apache-ivy-javadoc,库,工具
151,apache-parent,库,库
152,apache-resource-bundles,库,库
153,apiguardian,库,库
154,appstream-data,库,服务
155,apr,库,库
156,apr-util,工具,库
157,apr-util-bdb,工具,工具
158,apr-util-ldap,工具,库
159,apr-util-mysql,工具,库
160,apr-util-odbc,工具,库
161,apr-util-openssl,工具,库
162,apr-util-pgsql,工具,库
163,apr-util-sqlite,工具,库
164,aqute-bnd,库,工具
165,aqute-bnd-javadoc,库,工具
166,aqute-bndlib,库,库
167,bnd-maven-plugin,库,库
168,arpwatch,工具,服务
170,aspell,工具,工具
171,aspell-en,工具,库
172,assertj-core,库,库
173,assertj-core-javadoc,库,库
174,at,工具,服务
175,atinject,库,库
176,atinject-javadoc,库,工具
177,atinject-tck,库,库
178,atk,库,库
179,atkmm,库,库
180,atlas,库,库
181,atlas-corei2,库,库
182,at-spi2-atk,工具,库
183,at-spi2-core,库,工具
184,attr,工具,工具
185,libattr,工具,库
