,src,bin,num_of_bin
0,389-ds-base: 系统库,"{'389-ds-base': '系统工具', '389-ds-base-legacy-tools': '系统工具', '389-ds-base-libs': '系统库', '389-ds-base-snmp': '系统工具', 'python3-lib389': '系统库'}",5
1,abrt: 应用工具,"{'abrt': '应用工具', 'abrt-addon-ccpp': '应用工具', 'abrt-addon-coredump-helper': '应用工具', 'abrt-addon-kerneloops': '应用工具', 'abrt-addon-pstoreoops': '应用工具', 'abrt-addon-vmcore': '应用工具', 'abrt-addon-xorg': '应用工具', 'abrt-cli': '应用工具', 'abrt-cli-ng': '应用工具', 'abrt-console-notification': '应用工具', 'abrt-dbus': '应用服务', 'abrt-desktop': '应用服务/桌面', 'abrt-gui': '应用服务/桌面', 'abrt-gui-libs': '应用库/桌面', 'abrt-libs': '应用库', 'abrt-plugin-machine-id': '应用工具', 'abrt-plugin-sosreport': '应用工具', 'abrt-tui': '应用工具', 'python3-abrt': '应用库', 'python3-abrt-addon': '应用库', 'python3-abrt-container-addon': '应用库'}",21
2,acl: 核心工具,"{'acl': '核心工具', 'libacl': '核心库'}",2
3,adwaita-qt: 应用库,"{'adwaita-qt5': '应用库/桌面', 'libadwaita-qt5': '应用库/桌面'}",2
4,amanda: 应用工具,"{'amanda': '应用工具', 'amanda-client': '应用工具', 'amanda-libs': '应用库', 'amanda-server': '应用服务'}",4
5,anaconda: 系统工具,"{'anaconda': '系统工具', 'anaconda-core': '系统工具', 'anaconda-dracut': '系统工具', 'anaconda-gui': '系统工具/桌面', 'anaconda-install-env-deps': '系统工具', 'anaconda-tui': '系统工具', 'anaconda-widgets': '系统工具/桌面'}",7
6,ant: 应用工具,"{'ant': '应用工具', 'ant-antlr': '应用库', 'ant-apache-bcel': '应用库', 'ant-apache-bsf': '应用库', 'ant-apache-log4j': '应用库', 'ant-apache-oro': '应用库', 'ant-apache-regexp': '应用库', 'ant-apache-resolver': '应用库', 'ant-apache-xalan2': '应用库', 'ant-commons-logging': '应用库', 'ant-commons-net': '应用库', 'ant-javadoc': '应用库', 'ant-javamail': '应用库', 'ant-jdepend': '应用库', 'ant-jmf': '应用库', 'ant-jsch': '应用库', 'ant-junit': '应用库', 'ant-lib': '应用库', 'ant-manual': '应用库', 'ant-swing': '应用库', 'ant-testutil': '应用工具', 'ant-xz': '应用库'}",22
7,audit: 核心工具,"{'audispd-plugins': '核心工具', 'audispd-plugins-zos': '核心工具', 'audit': '核心工具', 'audit-libs': '核心库', 'python3-audit': '核心库'}",5
8,authselect: 系统工具,"{'authselect': '系统工具', 'authselect-compat': '系统工具', 'authselect-libs': '系统库'}",3
9,autogen: 应用工具,"{'autogen': '应用工具', 'autogen-libopts': '应用库'}",2
10,avahi: 应用服务,"{'avahi': '应用服务', 'avahi-autoipd': '应用服务', 'avahi-compat-howl': '应用库', 'avahi-compat-libdns_sd': '应用库', 'avahi-glib': '应用库', 'avahi-gobject': '应用库', 'avahi-libs': '应用库', 'avahi-ui': '应用工具', 'avahi-ui-gtk3': '应用工具', 'python3-avahi': '应用库'}",10
11,babel: 应用工具,"{'babel': '应用工具', 'python2-babel': '应用库', 'python3-babel': '应用库', 'python38-babel': '应用库'}",4
12,bacula: 应用工具,"{'bacula-client': '应用工具', 'bacula-common': '应用工具', 'bacula-console': '应用工具', 'bacula-director': '应用工具', 'bacula-libs': '应用库', 'bacula-libs-sql': '应用库', 'bacula-logwatch': '应用工具', 'bacula-storage': '应用工具'}",8
13,bcc: 应用工具,"{'bcc': '应用工具', 'bcc-tools': '应用工具', 'python3-bcc': '应用库'}",3
14,bind: 系统服务,"{'bind': '系统服务', 'bind-chroot': '系统服务', 'bind-export-libs': '系统库', 'bind-libs': '系统库', 'bind-libs-lite': '系统库', 'bind-license': '系统服务', 'bind-pkcs11': '系统服务', 'bind-pkcs11-libs': '系统服务', 'bind-pkcs11-utils': '系统服务', 'bind-sdb': '系统服务', 'bind-sdb-chroot': '系统服务', 'bind-utils': '系统工具', 'python3-bind': '系统库'}",13
15,bind9.16: 系统服务,"{'bind9.16': '系统服务', 'bind9.16-chroot': '系统服务', 'bind9.16-dnssec-utils': '系统库', 'bind9.16-libs': '系统库', 'bind9.16-license': '系统服务', 'bind9.16-utils': '系统服务', 'python3-bind9.16': '系统库'}",7
16,bluez: 系统工具,"{'bluez': '系统工具', 'bluez-cups': '系统工具', 'bluez-hid2hci': '系统工具', 'bluez-libs': '系统库', 'bluez-obexd': '系统服务'}",5
17,brasero: 应用工具,"{'brasero': '应用工具', 'brasero-libs': '应用库', 'brasero-nautilus': '应用工具/桌面'}",3
18,brltty: 应用工具,"{'brlapi': '应用库', 'brlapi-java': '应用库', 'brltty': '应用工具', 'brltty-at-spi2': '应用库', 'brltty-docs': '应用工具', 'brltty-dracut': '应用工具', 'brltty-espeak-ng': '应用工具', 'brltty-xw': '应用工具', 'python3-brlapi': '应用库', 'tcl-brlapi': '应用库'}",10
19,bzip2: 核心工具,"{'bzip2': '核心工具', 'bzip2-libs': '核心库'}",2
20,cdparanoia: 应用工具,"{'cdparanoia': '应用工具', 'cdparanoia-libs': '应用库'}",2
21,ceph: 大数据,"{'libcephfs2': '应用库/大数据', 'librados2': '应用库/大数据', 'libradosstriper1': '应用库/大数据', 'librbd1': '应用库/大数据'}",4
22,cheese: 应用工具/桌面,"{'cheese': '应用工具/桌面', 'cheese-libs': '应用库/桌面'}",2
23,chrome-gnome-shell: 桌面,{'chrome-gnome-shell': '应用工具/桌面'},1
24,clang: 系统库/编程语言,"{'clang': '系统工具/编程语言', 'clang-analyzer': '系统工具/编程语言', 'clang-libs': '系统库/编程语言', 'clang-resource-filesystem': '系统库/编程语言', 'clang-tools-extra': '系统库/编程语言', 'git-clang-format': '系统库/编程语言', 'python3-clang': '系统库/编程语言'}",7
25,clufter: 系统工具,"{'clufter-bin': '系统工具', 'clufter-cli': '系统工具', 'clufter-common': '系统工具', 'clufter-lib-ccs': '系统库', 'clufter-lib-general': '系统库', 'clufter-lib-pcs': '系统库', 'python3-clufter': '系统库'}",7
26,cockpit: 应用库,"{'cockpit': '应用库', 'cockpit-bridge': '应用工具', 'cockpit-system': '应用库', 'cockpit-ws': '应用服务'}",4
27,colord: 应用服务,"{'colord': '应用服务', 'colord-devel-docs': '应用库', 'colord-libs': '应用库'}",3
28,corosync: 应用服务,"{'corosync': '应用服务', 'corosynclib': '应用库', 'corosync-vqsim': '应用库', 'spausedd': '应用服务'}",4
29,createrepo_c: 应用工具,"{'createrepo_c': '应用工具', 'createrepo_c-libs': '应用库', 'python3-createrepo_c': '应用库'}",3
30,criu: 应用库,"{'crit': '应用库', 'criu': '应用工具', 'python3-criu': '应用库', 'criu-libs': '应用库'}",4
31,cryptsetup: 核心工具,"{'cryptsetup': '核心工具', 'cryptsetup-libs': '核心库', 'cryptsetup-reencrypt': '核心工具', 'integritysetup': '核心工具', 'veritysetup': '核心工具'}",5
32,cups: 应用服务,"{'cups': '应用服务', 'cups-client': '应用工具', 'cups-filesystem': '应用服务', 'cups-ipptool': '应用工具', 'cups-libs': '应用库', 'cups-lpd': '应用服务'}",6
33,curl: 系统工具,"{'curl': '系统工具', 'libcurl': '系统库', 'libcurl-minimal': '系统工具'}",3
34,custodia: 应用服务,"{'custodia': '应用服务', 'python3-custodia': '应用库'}",2
35,cyrus-imapd: 应用服务,"{'cyrus-imapd': '应用服务', 'cyrus-imapd-utils': '应用工具', 'cyrus-imapd-vzic': '应用工具'}",3
36,dav1d: 应用工具,"{'dav1d': '应用工具', 'libdav1d': '应用库'}",2
37,dbus: 核心服务,"{'dbus': '核心服务', 'dbus-common': '核心服务', 'dbus-daemon': '核心服务', 'dbus-libs': '核心库', 'dbus-tools': '核心工具', 'dbus-x11': '核心工具'}",6
38,dde-file-manager: 应用服务/桌面,"{'dde-desktop': '应用服务/桌面', 'dde-disk-mount-plugin': '应用服务/桌面', 'dde-file-manager': '应用服务/桌面', 'libdde-file-manager': '应用库/桌面'}",4
39,deepin-anything: 应用服务/桌面,"{'deepin-anything-dkms': '应用服务/桌面', 'deepin-anything-libs': '应用库/桌面', 'deepin-anything-server': '应用服务/桌面'}",3
40,devhelp: 应用工具,"{'devhelp': '应用工具', 'devhelp-libs': '应用库'}",2
41,device-mapper-multipath: 系统工具,"{'device-mapper-multipath': '系统工具', 'device-mapper-multipath-libs': '系统库', 'kpartx': '系统工具', 'libdmmp': '系统库'}",4
42,device-mapper-persistent-data: 系统库,{'device-mapper-persistent-data': '系统工具'},1
43,dhcp: 系统服务,"{'dhcp-client': '系统工具', 'dhcp-common': '系统服务', 'dhcp-libs': '系统库', 'dhcp-relay': '系统服务', 'dhcp-server': '系统服务'}",5
44,djvulibre: 应用工具,"{'djvulibre': '应用工具', 'djvulibre-libs': '应用库'}",2
45,dnf: 系统工具,"{'dnf': '系统工具', 'dnf-automatic': '系统工具', 'dnf-data': '系统工具', 'python3-dnf': '系统库', 'yum': '系统工具'}",5
46,dnf-plugins-core: 系统工具,"{'dnf-plugins-core': '系统工具', 'python3-dnf-plugin-modulesync': '系统库', 'python3-dnf-plugin-post-transaction-actions': '系统库', 'python3-dnf-plugins-core': '系统库', 'python3-dnf-plugin-versionlock': '系统库', 'yum-utils': '系统工具'}",6
47,dnsmasq: 系统服务,"{'dnsmasq': '系统服务', 'dnsmasq-utils': '系统工具'}",2
48,docker: 应用服务/云原生,"{'docker': '应用服务/云原生', 'docker-client': '应用工具/云原生', 'docker-engine': '应用服务/云原生'}",3
49,dovecot: 应用服务,"{'dovecot': '应用服务', 'dovecot-mysql': '应用库', 'dovecot-pgsql': '应用库', 'dovecot-pigeonhole': '应用库'}",4
50,dpdk: 系统库,"{'dpdk': '系统库', 'dpdk-tools': '系统工具'}",2
51,Dragonfly: 应用服务,"{'Dragonfly-client': '应用工具', 'Dragonfly-supernode': '应用服务'}",2
52,dwarves: 应用工具,"{'dwarves': '应用工具', 'libdwarves1': '应用库'}",2
53,dyninst: 应用工具,"{'dyninst': '应用工具', 'dyninst-static': '应用库', 'dyninst-testsuite': '应用工具'}",3
54,e2fsprogs: 核心工具,"{'e2fsprogs': '核心工具', 'e2fsprogs-libs': '核心库', 'libcom_err': '核心库', 'libss': '核心库'}",4
55,efivar: 核心服务,"{'efivar': '核心服务', 'efivar-libs': '核心库'}",2
56,elfutils: 核心工具,"{'elfutils': '核心工具', 'elfutils-default-yama-scope': '核心工具', 'elfutils-devel-static': '核心库', 'elfutils-libelf': '核心库', 'elfutils-libelf-devel-static': '核心库', 'elfutils-libs': '核心库'}",6
57,evemu: 系统工具,"{'evemu': '系统工具', 'evemu-libs': '系统库'}",2
58,evince: 应用工具/桌面,"{'evince': '应用工具/桌面', 'evince-browser-plugin': '应用工具/桌面', 'evince-libs': '应用库/桌面', 'evince-nautilus': '应用工具/桌面'}",4
59,exiv2: 应用工具,"{'exiv2': '应用工具', 'exiv2-libs': '应用库'}",2
60,file: 核心工具,"{'file': '核心工具', 'file-libs': '核心库', 'python3-magic': '核心库'}",3
61,firewalld: 系统服务,"{'firewall-applet': '系统服务', 'firewall-config': '系统服务', 'firewalld': '系统服务', 'firewalld-filesystem': '系统服务', 'python3-firewall': '系统库'}",5
62,flatpak: 应用服务,"{'flatpak': '应用服务', 'flatpak-libs': '应用库', 'flatpak-selinux': '应用服务', 'flatpak-session-helper': '应用服务'}",4
63,freeradius: 应用服务,"{'freeradius': '应用服务', 'freeradius-krb5': '应用库', 'freeradius-ldap': '应用库', 'freeradius-mysql': '应用库', 'freeradius-perl': '应用库', 'freeradius-postgresql': '应用库', 'freeradius-rest': '应用库', 'freeradius-sqlite': '应用库', 'freeradius-unixODBC': '应用库', 'freeradius-utils': '应用工具', 'python3-freeradius': '应用库'}",11
64,freerdp: 应用工具,"{'freerdp': '应用工具', 'freerdp-libs': '应用库', 'libwinpr': '应用库'}",3
65,fuse: 系统工具,"{'fuse': '系统工具', 'fuse3': '系统工具', 'fuse3-libs': '系统库', 'fuse-common': '系统工具', 'fuse-libs': '系统库'}",5
