idx,name,y_true,y_predict
0,389-ds-base,系统,系统
1,389-ds-base-legacy-tools,系统,系统
2,389-ds-base-libs,系统,核心
3,python3-lib389,系统,系统
4,liba52,系统,核心
5,abrt,系统,应用
6,abrt-cli,应用,应用
7,abrt-cli-ng,应用,系统
8,abrt-dbus,应用,应用
9,abrt-gui-libs,应用,系统
10,abrt-libs,应用,应用
11,abrt-tui,应用,应用
12,python3-abrt,系统,系统
13,python3-abrt-addon,系统,系统
14,python3-abrt-container-addon,系统,系统
15,abrt-java-connector,应用,应用
16,accel-config,应用,应用
17,accel-config-libs,应用,核心
18,accountsservice,应用,核心
19,accountsservice-libs,应用,核心
20,acl,核心,系统
21,libacl,核心,核心
22,acpica-tools,系统,核心
23,adcli,应用,应用
24,adobe-mappings-cmap,应用,其它
25,adobe-mappings-cmap-deprecated,应用,其它
26,adobe-mappings-pdf,应用,其它
27,adwaita-qt5,应用,应用
28,libadwaita-qt5,应用,应用
29,alsa-lib,系统,核心
30,alsa-plugins-maemo,系统,应用
31,alsa-plugins-pulseaudio,系统,核心
32,alsa-tools-firmware,系统,应用
33,alsa-utils,系统,核心
34,alsa-utils-alsabat,系统,应用
35,amanda-client,应用,系统
36,amanda-libs,应用,核心
37,amanda-server,应用,系统
38,annobin-annocheck,应用,应用
39,ansible-freeipa,应用,其它
40,ansible-pcp,应用,其它
41,ant,应用,应用
42,ant-lib,应用,系统
43,ant-testutil,应用,核心
44,ant-contrib,应用,核心
45,antlr-C++,应用,核心
46,antlr-tool,应用,系统
47,apache-commons-beanutils,应用,系统
48,apache-commons-beanutils-javadoc,应用,核心
49,apache-commons-cli,应用,核心
50,apache-commons-collections,应用,系统
51,apache-commons-compress,应用,核心
52,apache-commons-exec,应用,核心
53,apache-commons-io,应用,核心
54,apache-commons-lang,应用,核心
55,apache-commons-lang3,应用,核心
56,apache-commons-net,应用,核心
57,apache-ivy,应用,系统
58,apiguardian,应用,其它
59,apr,应用,应用
60,apr-util,应用,应用
61,apr-util-bdb,应用,核心
62,apr-util-ldap,应用,核心
63,apr-util-mysql,应用,核心
64,apr-util-odbc,应用,核心
65,apr-util-openssl,应用,核心
66,apr-util-pgsql,应用,核心
67,apr-util-sqlite,应用,核心
68,aqute-bnd,应用,系统
69,aqute-bndlib,应用,核心
70,arpwatch,应用,应用
71,aspell,应用,应用
72,at,系统,核心
73,atinject,应用,其它
74,atk,应用,核心
75,atkmm,应用,应用
76,atlas-corei2,系统,应用
77,at-spi2-atk,应用,应用
78,at-spi2-core,应用,应用
79,attr,核心,核心
80,libattr,核心,核心
81,audit,核心,核心
82,audit-libs,核心,核心
83,python3-audit,系统,系统
84,augeas,应用,核心
85,augeas-libs,应用,核心
86,authselect,系统,系统
87,authselect-compat,系统,应用
88,authselect-libs,系统,核心
89,autoconf,应用,系统
90,autoconf213,应用,核心
91,autofs,应用,应用
92,autogen,应用,系统
93,autogen-libopts,应用,核心
94,automake,应用,系统
95,avahi,应用,应用
96,avahi-glib,应用,核心
97,avahi-gobject,应用,系统
98,avahi-libs,应用,核心
99,avahi-ui,应用,应用
100,avahi-ui-gtk3,应用,应用
101,python3-avahi,应用,系统
102,awscli,应用,其它
103,babassl,系统,核心
104,babel,应用,系统
105,python2-babel,应用,系统
106,python3-babel,应用,系统
107,python38-babel,应用,系统
108,libbabeltrace,系统,核心
109,babl,应用,核心
110,bacula-client,应用,应用
111,bacula-libs,应用,应用
112,bacula-libs-sql,应用,应用
113,bash,核心,核心
114,batik-util,应用,核心
115,bcc,应用,应用
116,bcc-tools,应用,应用
117,python3-bcc,应用,系统
118,bcel,应用,应用
119,bea-stax-api,应用,其它
120,beust-jcommander,应用,其它
121,bind,系统,核心
122,bind-export-libs,系统,核心
123,bind-libs,系统,核心
124,bind-libs-lite,系统,应用
125,bind-pkcs11-libs,系统,核心
126,bind-pkcs11-utils,系统,核心
127,bind-utils,系统,核心
128,python3-bind,系统,系统
129,bind9.16,系统,核心
130,bind9.16-dnssec-utils,系统,核心
131,bind9.16-libs,系统,核心
132,bind9.16-utils,系统,核心
133,python3-bind9.16,系统,系统
134,binutils,系统,系统
135,blktrace,系统,系统
136,bluez,系统,核心
137,bluez-hid2hci,系统,系统
138,bluez-libs,系统,其它
139,blur-effect,应用,应用
140,bolt,应用,系统
141,boom-boot,系统,系统
142,boom-boot-conf,系统,核心
143,boom-boot-grub2,系统,核心
144,python3-boom,系统,系统
145,boost,应用,应用
146,boost-atomic,应用,应用
147,boost-build,应用,核心
148,boost-chrono,应用,应用
149,boost-container,应用,应用
150,boost-context,应用,应用
151,boost-coroutine,应用,应用
152,boost-date-time,应用,应用
153,boost-examples,应用,核心
154,boost-fiber,应用,应用
155,boost-filesystem,应用,应用
156,boost-graph,应用,应用
157,boost-graph-mpich,应用,应用
158,boost-graph-openmpi,应用,应用
159,boost-iostreams,应用,应用
160,boost-jam,应用,核心
161,boost-locale,应用,应用
162,boost-log,应用,应用
163,boost-math,应用,应用
164,boost-mpich,应用,应用
165,boost-mpich-python3,应用,应用
166,boost-numpy3,应用,应用
167,boost-openmpi,应用,应用
168,boost-openmpi-python3,应用,系统
169,boost-program-options,应用,应用
170,boost-python3,应用,应用
171,boost-random,应用,应用
172,boost-regex,应用,应用
173,boost-serialization,应用,应用
174,boost-signals,应用,应用
175,boost-stacktrace,应用,应用
176,boost-static,应用,核心
177,boost-system,应用,应用
178,boost-thread,应用,应用
179,boost-timer,应用,应用
180,boost-type_erasure,应用,应用
181,boost-wave,应用,应用
182,brasero,应用,应用
183,brasero-libs,应用,应用
184,brasero-nautilus,应用,系统
185,brlapi,应用,核心
186,brlapi-java,应用,应用
187,python3-brlapi,应用,系统
188,tcl-brlapi,应用,核心
189,python3-brotli,应用,系统
190,bsf,应用,核心
191,bsh,应用,核心
192,bubblewrap,应用,应用
193,buildah,应用,应用
194,byacc,应用,系统
195,byaccj,应用,核心
196,byteman,应用,其它
197,byzanz,应用,应用
198,bzip2,核心,系统
199,bzip2-libs,核心,其它
200,cairo,系统,应用
201,cairo-gobject,系统,应用
202,cairomm,系统,应用
203,cal10n,应用,核心
204,c-ares,应用,核心
205,cdi-api,应用,其它
206,cdparanoia,应用,核心
207,cdparanoia-libs,应用,核心
208,dirsplit,应用,系统
209,icedax,应用,系统
210,libusal,应用,核心
211,wodim,应用,核心
212,libcephfs2,系统,应用
213,librados2,系统,应用
214,libradosstriper1,系统,应用
215,librbd1,系统,应用
216,certmonger,应用,核心
217,cgdcbxd,应用,其它
218,cglib,应用,核心
219,checkpolicy,系统,系统
220,cheese,应用,应用
221,cheese-libs,应用,应用
222,chkconfig,系统,核心
223,ntsysv,系统,核心
224,chrony,系统,应用
225,chrpath,应用,核心
226,cifs-utils,系统,核心
227,pam_cifscreds,系统,核心
228,cjose,应用,核心
229,clang,系统,应用
