idx,name,y_true,y_predict
0,389-ds-base,系统,核心
1,a52dec,应用,核心
2,aajohan-comfortaa-fonts,其它,其它
3,abattis-cantarell-fonts,其它,其它
4,abrt,应用,系统
5,abrt-java-connector,应用,应用
6,accel-config,应用,系统
7,accountsservice,应用,应用
8,acl,核心,核心
9,acpica-tools,系统,系统
10,acpid,系统,系统
11,adcli,应用,应用
12,adobe-mappings-cmap,应用,应用
13,adobe-mappings-pdf,应用,应用
14,adwaita-icon-theme,应用,核心
15,adwaita-qt,应用,应用
16,aide,应用,应用
17,alsa-firmware,系统,系统
18,alsa-lib,系统,核心
19,alsa-plugins,系统,应用
20,alsa-sof-firmware,系统,核心
21,alsa-tools,系统,系统
22,alsa-utils,系统,核心
23,amanda,应用,系统
24,anaconda,系统,应用
25,anaconda-user-help,系统,系统
26,annobin,应用,系统
27,anolis-indexhtml,核心,核心
28,anolis-logos,核心,核心
29,anolis-rawhide-release,核心,核心
30,anolis-release,核心,核心
31,ansible-collection-microsoft-sql,应用,系统
32,ansible-core,应用,系统
33,ansible-freeipa,应用,系统
34,ansible-pcp,应用,核心
35,ant,应用,应用
36,ant-contrib,应用,应用
37,antlr,应用,应用
38,aom,应用,核心
39,aopalliance,应用,应用
40,apache-commons-beanutils,应用,应用
41,apache-commons-cli,应用,应用
42,apache-commons-codec,应用,应用
43,apache-commons-collections,应用,应用
44,apache-commons-compress,应用,应用
45,apache-commons-exec,应用,应用
46,apache-commons-io,应用,应用
47,apache-commons-jxpath,应用,应用
48,apache-commons-lang,应用,应用
49,apache-commons-lang3,应用,应用
50,apache-commons-logging,应用,应用
51,apache-commons-net,应用,应用
52,apache-commons-parent,应用,应用
53,apache-ivy,应用,应用
54,apache-parent,应用,应用
55,apache-resource-bundles,应用,应用
56,apiguardian,应用,应用
57,appstream-data,应用,核心
58,apr,应用,核心
59,apr-util,应用,核心
60,aqute-bnd,应用,应用
61,arpwatch,应用,系统
62,asciidoc,应用,应用
63,aspell,应用,系统
64,aspell-en,应用,应用
65,assertj-core,应用,应用
66,at,系统,核心
67,atinject,应用,应用
68,atk,应用,应用
69,atkmm,应用,应用
70,atlas,系统,核心
71,at-spi2-atk,应用,应用
72,at-spi2-core,应用,应用
73,attr,核心,核心
74,audit,核心,核心
75,augeas,应用,应用
76,authd,系统,系统
77,authselect,系统,系统
78,autoconf,应用,系统
79,autoconf213,应用,核心
80,autoconf-archive,应用,系统
81,autofs,应用,核心
82,autogen,应用,应用
83,automake,应用,系统
84,autotrace,应用,应用
85,avahi,应用,应用
86,awscli,应用,系统
87,babassl,系统,应用
88,babel,应用,系统
89,babeltrace,系统,应用
90,babl,应用,应用
91,bacula,应用,核心
92,baobab,应用,应用
93,basesystem,核心,核心
94,bash,核心,核心
95,bash-completion,应用,应用
96,batik,应用,应用
97,bc,系统,核心
98,bcc,应用,系统
99,bcel,应用,应用
100,bea-stax,应用,应用
101,beust-jcommander,应用,应用
102,bind,系统,系统
103,bind9.16,系统,系统
104,bind-dyndb-ldap,系统,应用
105,binutils,系统,核心
106,biosdevname,系统,核心
107,bison,系统,系统
108,bitmap-fonts,其它,其它
109,blktrace,系统,系统
110,bluez,系统,应用
111,blur-effect,应用,应用
112,bogofilter,应用,核心
113,bolt,应用,核心
114,boom-boot,系统,系统
115,boost,应用,系统
116,booth,应用,应用
117,bpftrace,应用,核心
118,bpg-fonts,其它,其它
119,brasero,应用,应用
120,breeze-icon-theme,应用,核心
