name,label,pred,summary,description
bash-completion,工具,工具,Programmable completion for Bash ,"bash-completion is a collection of shell functions that take advantage
of the programmable completion feature of bash. "
libtool-ltdl,库,库,Runtime libraries for GNU Libtool Dynamic Module Loader ,"The libtool-ltdl package contains the GNU Libtool Dynamic Module Loader, a
library that provides a consistent, portable interface which simplifies the
process of using dynamic modules.

These runtime libraries are needed by programs that link directly to the
system-installed ltdl libraries; they are not needed by software built using
the rest of the GNU Autotools (including GNU Autoconf and GNU Automake). "
ipa-server-common,服务,工具, Common files used by IPA server," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If you are installing an IPA server, you need to install this package."
newt,库,库, A library for text mode user interfaces," Newt is a programming library for color text mode, widget based user
interfaces.  Newt can be used to add stacked windows, entry widgets,
checkboxes, radio buttons, labels, plain text fields, scrollbars,
etc., to text mode user interfaces.  This package also contains the
shared library needed by programs built with newt, as well as a
/usr/bin/dialog replacement called whiptail.  Newt is based on the
slang library."
elfutils,工具,工具,A collection of utilities and DSOs to handle ELF files and DWARF data ,"Elfutils is a collection of utilities, including stack (to show
backtraces), nm (for listing symbols from object files), size
(for listing the section sizes of an object or archive file),
strip (for discarding symbols), readelf (to see the raw ELF file
structures), elflint (to check for well-formed ELF files) and
elfcompress (to compress or decompress ELF sections). "
powermock-api-support,库,库, PowerMock API support module," 
PowerMock is a framework that extend other mock libraries
such as EasyMock with more powerful capabilities. PowerMock uses a
custom classloader and bytecode manipulation to enable mocking of
static methods, constructors, final classes and methods, private
methods, removal of static initializers and more.

This package contains support code for the PowerMock API extensions."
culmus-nachlieli-clm-fonts,其它,其它, Fonts for Hebrew from Culmus project," 
The culmus-fonts package contains fonts for the display of
Hebrew from the Culmus project."
texlive-xcolor,工具,工具, Driver-independent color extensions for LaTeX and pdfLaTeX," Provides easy driver-independent access to several kinds of
color tints, shades, tones, and mixes of arbitrary colors. It
allows a user to select a document-wide target color model and
offers complete tools for conversion between eight color
models. Additionally, there is a command for alternating row
colors plus repeated non-aligned material (like horizontal
lines) in tables. Colors can be mixed like
\color{red!30!green!40!blue}."
tmpwatch,工具,工具,A utility for removing files based on when they were last accessed ,"The tmpwatch utility recursively searches through specified
directories and removes files which have not been accessed in a
specified period of time.  Tmpwatch is normally used to clean up
directories which are used for temporarily holding files (for example,
/tmp).  Tmpwatch ignores symlinks, won't switch filesystems and only
removes empty directories and regular files. "
mingw64-winpthreads-static,库,库, Static version of the MinGW Windows pthreads library, Static version of the MinGW Windows pthreads library.
clutter-gst3,库,库, GStreamer integration library for Clutter," Clutter is an open source software library for creating fast, visually
rich and animated graphical user interfaces.

Clutter GStreamer enables the use of GStreamer with Clutter."
gnome-shell-extension-updates-dialog,服务,服务, Show a modal dialog when there are software updates, This GNOME Shell extension shows a modal dialog when there are software updates
plexus-interpolation,库,库, Plexus Interpolation API," Plexus interpolator is the outgrowth of multiple iterations of development
focused on providing a more modular, flexible interpolation framework for
the expression language style commonly seen in Maven, Plexus, and other
related projects."
osbuild-lvm2,工具,服务, LVM2 support," Contains the necessary stages and device host
services to build LVM2 based images."
texlive-luatex85,工具,工具, pdfTeX aliases for LuaTeX," The package provides emulation of pdfTeX primitives for LuaTeX
v0.85+."
texlive-pst-node,工具,工具, Draw connections using pstricks," The package enables the user to connect information, and to
place labels, without knowing (in advance) the actual positions
of the items to be connected, or where the connecting line
should go. The macros are useful for making graphs and trees,
mathematical diagrams, linguistic syntax diagrams, and so on.
The package contents were previously distributed as a part of
the pstricks base distribution."
texlive-texlive-docindex,工具,库," top-level TeX Live doc.html, etc"," These files are regenerated as needed, which is often, so we
make them a separate package.  See the tl-update-auto script
for the process."
qt5-qtbase-mysql,库,库, MySQL driver for Qt5's SQL classes, MySQL driver for Qt5's SQL classes.
osbuild-luks2,工具,工具, LUKS2 support," Contains the necessary stages and device host
services to build LUKS2 encrypted images."
python2-pluggy,库,库, The plugin manager stripped of pytest specific details, The plugin manager stripped of pytest specific details.
pcp-pmda-mic,服务,服务, Performance Co-Pilot (PCP) metrics for Intel MIC cards," This package contains the PCP Performance Metrics Domain Agent (PMDA) for
collecting metrics about Intel MIC cards."
python3-dnf,库,库, Python 3 interface to DNF, Python 3 interface to DNF.
redis,服务,库, A persistent key-value database," Redis is an advanced key-value store. It is often referred to as a data
structure server since keys can contain strings, hashes, lists, sets and
sorted sets.

You can run atomic operations on these types, like appending to a string;
incrementing the value in a hash; pushing to a list; computing set
intersection, union and difference; or getting the member with highest
ranking in a sorted set.

In order to achieve its outstanding performance, Redis works with an
in-memory dataset. Depending on your use case, you can persist it either
by dumping the dataset to disk every once in a while, or by appending
each command to a log.

Redis also supports trivial-to-setup master-slave replication, with very
fast non-blocking first synchronization, auto-reconnection on net split
and so forth.

Other features include Transactions, Pub/Sub, Lua scripting, Keys with a
limited time-to-live, and configuration settings to make Redis behave like
a cache.

You can use Redis from most programming languages also."
sat4j,库,库, A library of SAT solvers written in Java," The aim of the SAT4J library is to provide an efficient library of SAT
solvers in Java. The SAT4J library targets first users of SAT ""black
boxes"", those willing to embed SAT technologies into their application
without worrying about the details."
hunspell-fr,工具,工具, French hunspell dictionaries," French (France, Belgium, etc.) hunspell dictionaries."
mod_dav_svn,工具,服务, Apache httpd module for Subversion server," The mod_dav_svn package allows access to a Subversion repository
using HTTP, via the Apache httpd server."
gcc-toolset-10-systemtap-initscript,工具,工具, Systemtap Initscripts," This package includes a SysVinit script to launch selected systemtap
scripts at system startup, along with a dracut module for early
boot-time probing if supported."
elfutils-devel-static,库,库, Static archives to handle compiled objects," The elfutils-devel-static package contains the static archives
with the code to handle compiled objects."
gcc-toolset-11-runtime,工具,工具, Package that handles gcc-toolset-11 Software Collection., Package shipping essential scripts to work with gcc-toolset-11 Software Collection.
file-libs,库,库, Libraries for applications using libmagic," 
Libraries for applications using libmagic."
libwayland-client,库,库, Wayland client library, Wayland client library
glassfish-master-pom,库,库, Master POM for Glassfish Maven projects, This is a shared POM parent for Glassfish Maven projects.
