name,label,pred,summary,description
ipa-server-common,服务,工具, Common files used by IPA server," IPA is an integrated solution to provide centrally managed Identity (users,
hosts, services), Authentication (SSO, 2FA), and Authorization
(host access control, SELinux user roles, services). The solution provides
features for further integration with Linux based clients (SUDO, automount)
and integration with Active Directory based infrastructures (Trusts).
If you are installing an IPA server, you need to install this package."
osbuild-lvm2,工具,服务, LVM2 support," Contains the necessary stages and device host
services to build LVM2 based images."
texlive-texlive-docindex,工具,库," top-level TeX Live doc.html, etc"," These files are regenerated as needed, which is often, so we
make them a separate package.  See the tl-update-auto script
for the process."
redis,服务,库, A persistent key-value database," Redis is an advanced key-value store. It is often referred to as a data
structure server since keys can contain strings, hashes, lists, sets and
sorted sets.

You can run atomic operations on these types, like appending to a string;
incrementing the value in a hash; pushing to a list; computing set
intersection, union and difference; or getting the member with highest
ranking in a sorted set.

In order to achieve its outstanding performance, Redis works with an
in-memory dataset. Depending on your use case, you can persist it either
by dumping the dataset to disk every once in a while, or by appending
each command to a log.

Redis also supports trivial-to-setup master-slave replication, with very
fast non-blocking first synchronization, auto-reconnection on net split
and so forth.

Other features include Transactions, Pub/Sub, Lua scripting, Keys with a
limited time-to-live, and configuration settings to make Redis behave like
a cache.

You can use Redis from most programming languages also."
mod_dav_svn,工具,服务, Apache httpd module for Subversion server," The mod_dav_svn package allows access to a Subversion repository
using HTTP, via the Apache httpd server."
system-lsb-core,其它,库, LSB Core module support," The Linux Standard Base (LSB) Core module support provides the fundamental
system interfaces, libraries, and runtime environment upon which all conforming
applications and libraries depend."
infiniband-diags,工具,库,InfiniBand Diagnostic Tools ,"This package provides IB diagnostic programs and scripts needed to diagnose an
IB subnet.  infiniband-diags now also provides libibmad.  libibmad provides
low layer IB functions for use by the IB diagnostic and management
programs. These include MAD, SA, SMP, and other basic IB functions. "
alsa-plugins-vdownmix,服务,工具, Downmixer to stereo plugin for ALSA," The vdownmix plugin is a downmixer from 4-6 channels to 2-channel
stereo headphone output.  This plugin processes the input signals with
a simple spacialization, so the output sounds like a kind of ""virtual
surround""."
xorg-x11-server-source,服务,工具, Xserver source code required to build VNC server (Xvnc), Xserver source code needed to build VNC server (Xvnc)
gedit,服务,工具, Text editor for the GNOME desktop," gedit is a small, but powerful text editor designed specifically for
the GNOME desktop. It has most standard text editor functions and fully
supports international text in Unicode. Advanced features include syntax
highlighting and automatic indentation of source code, printing and editing
of multiple documents in one window.

gedit is extensible through a plugin system, which currently includes
support for spell checking, comparing files, viewing CVS ChangeLogs, and
adjusting indentation levels. Further plugins can be found in the
gedit-plugins package."
tigervnc-server-module,服务,库, TigerVNC module to Xorg," This package contains libvnc.so module to X server, allowing others
to access the desktop on your machine."
maven-reporting-impl,工具,库, Abstract classes to manage report generation," Abstract classes to manage report generation, which can be run both:

* as part of a site generation (as a maven-reporting-api's MavenReport),
* or as a direct standalone invocation (as a maven-plugin-api's Mojo).

This is a replacement package for maven-shared-reporting-impl"
maven-openjdk17,工具,库, OpenJDK 17 binding for Maven, Configures Maven to run with OpenJDK 17.
libjpeg-turbo-utils,工具,库, Utilities for manipulating JPEG images," The libjpeg-turbo-utils package contains simple client programs for accessing
the libjpeg functions. It contains cjpeg, djpeg, jpegtran, rdjpgcom and
wrjpgcom. Cjpeg compresses an image file into JPEG format. Djpeg decompresses a
JPEG file into a regular image file. Jpegtran can perform various useful
transformations on JPEG files. Rdjpgcom displays any text comments included in a
JPEG file. Wrjpgcom inserts text comments into a JPEG file."
keentune-target,服务,工具," Parameters setting, reading and backup models for KeenTune"," Parameters setting, reading and backup models for KeenTune"
kernel-core,服务,工具, The Linux kernel," The kernel package contains the Linux kernel (vmlinuz), the core of any
Linux operating system.  The kernel handles the basic functions
of the operating system: memory allocation, process allocation, device
input and output, etc."
clutter,工具,库, Open Source software library for creating rich graphical user interfaces," Clutter is an open source software library for creating fast,
visually rich graphical user interfaces. The most obvious example
of potential usage is in media center type applications.
We hope however it can be used for a lot more."
lorax-composer,工具,库, Lorax Image Composer API Server, lorax-composer provides a REST API for building images using lorax.
nss_wrapper,工具,库," A wrapper for the user, group and hosts NSS API"," There are projects which provide daemons needing to be able to create, modify
and delete Unix users. Or just switch user ids to interact with the system e.g.
a user space file server. To be able to test that you need the privilege to
modify the passwd and groups file. With nss_wrapper it is possible to define
your own passwd and groups file which will be used by software to act correctly
while under test.

If you have a client and server under test they normally use functions to
resolve network names to addresses (dns) or vice versa. The nss_wrappers allow
you to create a hosts file to setup name resolution for the addresses you use
with socket_wrapper.

To use it set the following environment variables:

LD_PRELOAD=libuid_wrapper.so
NSS_WRAPPER_PASSWD=/path/to/passwd
NSS_WRAPPER_GROUP=/path/to/group
NSS_WRAPPER_HOSTS=/path/to/host

This package doesn't have a devel package cause this project is for
development/testing."
